date,content
2019,"@ISUCaitLamm @a_heun First round developing new markets, finals alternative protein"
2019,"This right here is why we are passionate about alternative protein. 

Happy Day-After-Thanksgiving! 

#onehopcrickets @ Bear Creek Dairy https://t.co/E7X1tjeXu3"
2019,"Several food options for an alternative protein, zinc and B12 vitamin source. 🦗 #EntSoc19 https://t.co/G3jHmtZydR"
2019,Milk and whey  protein be giving me bad acne breakouts ... gotta find an alternative
2019,"Tim Hortons cutting Beyond Meat products from thousands of Canadian locations.

Beyond Meat burgers don’t go that well with Tim Hortons coffee. It’s dropping alternative protein products, just three months after introduction https://t.co/qEiboDwXjB"
2019,I’m all for alternative proteins and broadening food choice for consumers. But I don’t think we need to throw the baby out with the bath water here. 4/n
2019,"🍁Trade Commissioner took the stage during #AIS2019 in a hub of North American Food/Ag innovation to highlight 🇺🇸🇨🇦Bi-National Cooperation in Ag Innovation via the Protein Highway: Canada-US Alternative Protein Initiative. We're #AgPartners, let's move forward with #USMCAnow. https://t.co/q5Hdtag46m"
2019,"Need a healthier alternative to the pumpkin cold foam cold brew. Try this. 
2g of protein 
13g carbs
12g sugar
1.5g of fat
1g fiber
70 calories 
🤤🎃🍁☕️
Got this on insta and I’m obsessed https://t.co/BWuW0EiJSr"
2019,"Big news for North American alternative proteins, indeed! @Cargill @PURISfoods partnership showcases expanding opportunities in this sector https://t.co/UpymyIwrQh"
2019,The train has left the station or rather the cows have left the barn as regards alternative protein. @chrisabbott @cgcventures #altprotein #DataDrivenAg #renewables #Sustainability https://t.co/IA3jdyOhvp
2019,@smerconish @CNN @cnni Hamburgers are made of beef and still called ham Burgers. This is a great advancement and a wonderful alternative to people who cannot eat meat-based proteins
2019,"@Forbes reviewed the @TysonFoods Trendtellers Summer 2019 Food Trends, including the rise of alternative protein, frictionless food, and snacks and side dishes heating up. #RaisingExpectations https://t.co/MKgqJVsBZF"
2019,"#biowc19 Iademarco - “Alternative proteins is a hot space. Just look at the success of Impossible Foods and Beyond Meat” 
Melo - “The success of these new biotech-based food will depend ultimately on their taste”"
2019,"#nextgen coming atcha!! 🦗

💪🏽are you looking for an alternative protein source?🦗

🌎one that is also reducing your carbon footprint? 👣 

🦗why not try some cricket powder or cricket snacks?🦗 

📬direct message us to… https://t.co/EFNqk3afwo"
2019,@wagner_farms @mackhd2 After China gets this ASF under control/gets alternative protein production online it will help also.
2019,Sales of alternative proteins nearing $1B; 60% of #consumers reducing #meat consumption; 17% of US consumers claim to eat mainly #plantbased: @Rabobank's Christine McCracken @ #AAA19 @animalag #retail #grocery #protein @RaboFoodAgri
2019,"Proteins come in many shapes and sizes. While @BeyondMeat is the biggest alternative proteins company that @ImpactAssets donors are investing in, it isn't  the only one. @BlueNaluInc, @shiokmeats and @misfitfoods_  @barronsonline
https://t.co/UUlbOrRwBB"
2019,"Tyson Foods sold its stake in alternative protein company Beyond Meat, unclear who the buyer was.
https://t.co/iRjMpURW47"
2019,"Since we love all things sausage, we’re rolling out an exciting new alternative to our traditional German menu offerings: #vegan brats! Made by the @theherbivorousb, this plant-based, protein-rich meat alternative was promoted by @veglifekc during our @kcoktoberfest in 2018. https://t.co/pmriJjy6Sp"
2019,So what is with the vegan trend @TODAYshow? Non-dairy and  no meat on all of your cooking segments. Alternative dairy in your 2019 trends to watch. Doctors and dieticians agree that animal protein is healthy. No thanks on your #agenda in 2019.
2018,"@jackmurphylive @byHeatherLong @scottlincicome China is doing that and we aren’t. Soy is the perfect example, where China is changing trade flows, seeking alternative sources of feed protein and ordered soy rations for livestock cut from 20% to 12%. The largest market for US soy will never bounce back to pre-tariff levels."
2018,Healthy alternative to creamer for your coffee. Vanilla protein powder. So good.
2018,"My hospital gave me two of these drinks to take before my surgery... but I’m #vegan and these have milk in them.😒

Anyone at @AbbottGlobal or in the #vegancommunity know how to #veganize this? Or, have an alternative? I’ll use @manitobaharvest for the protein. TY #HospitalVegan https://t.co/f8D22LVWJQ"
2018,"“Alternative proteins aren’t going away- how will the industry adapt?” Christine McCracken, Rabobank #WIAS18"
2018,“Alternative Proteins: Hype or Hope?” Christine McCracken - Rabobank #WIAS18 https://t.co/5WKWjWEBKQ
2018,"Taste and trust go hand in hand, if you trust it, and it tastes bad, you have to be a really special person to want to eat alternative protein. #AIS2018"
2018,#AIS2018 taste is the main driver in acceptance of alternative protein. @AgShowcase
2018,Wellness Wednesday is Meatless Wednesday - Try a high protein alternative to red meat. #imasafemaker #cpcdsafety @ADStreit @jrindafernshaw @sdaniels3ups @scotthepler3 https://t.co/49dRECLuCa
2018,.@TysonFoods CEO @Tom_Hayes at #BeefMeet today. Alternative proteins are part of the equation. Points to #sustainability as an important issue for food industry. https://t.co/cM0GTRpiqx
