date,content
2019,#plantbased protein power this a.m. Fantastic post workout and a delicious #healthconscious alternative to dairy derived proteins. Try @drink_KiiTO at Mendez Fuel 🙌🏼💪🏽 #drinklocal @ Mendez Fuel https://t.co/mtKY0yYTE3
2019,@_paolamontalvo honestly most americans have way too much protein in their diets. Sticking with a whole foods plant based diet a few times a week is good for u + the environment (plus alternative like beyond are expensive). If you can’t go without— beyond and impossible! I love seitan too https://t.co/YtyQc1wJmQ
2019,"I don’t like what I have learned lately about animal proteins, especially dairy. #oatmilk is a great alternative, but I’m going to give #blackcoffee a whirl.           Kind of a cool pic, maybe I’ll get some… https://t.co/Jphl6qCeYI"
2019,@always_GoHARDER It’s not necessarily bad but getting your food off a plant based diet is better than any meat.. fish are used as a healthy alternative to chicken and beef bc they have good protein and low fat.. but crabs/crustaceans normally have a lot of cholesterol..
2019,Fish replacement may be the next big wave in alternative protein development: https://t.co/9b3461S3Bo #Fishreplacement #Hervanics #Defuzyx
2019,"Plant-based proteins are on the rise, but many consumers are unaware of alternative options. 

According to Herbalife Nutrition expert Susan Bowerman, RD, the rising demand for… https://t.co/FfSz1c6Oyj"
2019,"A #biodegradable plastic alternative is being developed from squid proteins!

https://t.co/bsfLuW8bt1"
2019,Love love when I offer plant protein as a cleaner and more nutritional alternative to whey or egg protein and ppl actually buy it. Like yasssssss
2019,"Talking about the future of food and alternative proteins with Chef Gabriele Corcos aka @thetuscangun and  Chef Hugo Ortega @ChefHugoOrtega 
.
sobewff
food Network
cookingchannel… https://t.co/poJHqIDNfl"
2019,"@Perspex11 @AndrewSoHangry @joshgould24 I have tried it, I’ve been vegan for five years. I was a meat eater the majority of my life. I know you are trolling but I thought I would go ahead and give you hey civil response. Sweet Earth brand benevolent bacon is a great tasting alternative with identical protein."
2018,Hi all!This a.m. I mixed 2 scoops of @Organisource vanilla protein powder w/raw brown sugar into my coffee☕️It’s a tasty&amp;healthy alternative to fattening coffee creamers😋➡️https://t.co/ssP1cYHbgg for 15% off 💁🏻‍♀️ #organisourceambassador #organisourcearmy #CoffeeLover https://t.co/9HljXdFkVj
2018,"After a small hiatus, @bsneric and @aaronsingerman are back to talk about alternative protein sources in this episode. There seems to be a move towards vegan protein; is it due to beliefs… https://t.co/JCfbehGeB8"
2018,"Our raw muesli to get your morning started.  The cereal is loaded with fiber, protein and naturally sweeten with fruit and dates. It’s a natural alternative to boxed cereal and it’s raw… https://t.co/XoBKytkdov"
2018,"Oatmeal Almond Protein Bars! Delicious alternative ingredient bake today. Looking for a healthy snack packed full of protein, no dairy or gluten. Delicious!! Full story and recipe on my… https://t.co/rb55fduwci"
2018,@KeepNupwitK I️t can be challenging but I️ felt so good it’s important to find alternative sources of protein you like though.
2017,If you r using protein powder this organic one great alternative @RawGreenOrganic https://t.co/CB6bpyHNKA
2016,I add a little shot of ☕️ to my delish Alternative Proteins herbalife morning shake! 👌🏼… https://t.co/kSInVvNM2h
2016,THERES ALTERNATIVE PROTEIN CHOICES YOURE BEING CRUEL STFU DUMB BITCH https://t.co/E4mUZBFdBu
2016,No meat Friday? Wonder what else we can use as another source of protein... #alternativeprotein… https://t.co/Xs8hxX2dPE
2015,"These #raw #cookiedough #chickpea  #protein bites are soft, #tasty and an indulgent alternative… https://t.co/6IJFss9nQq"
2015,Looking for a superfood snack option? Or a healthy alternative to your basic protein bar? Then we at… https://t.co/ZQTvofcEpS
2015,6 Alternative Protein Recipes for Packing on More Muscle http://t.co/EHGdAU9kRg
2015,"Organic Sunflower Protein...15g of protein per 1 oz serving with 90 cal or less, the alternative to whey or soy. http://t.co/MuXLFeXqUl"
2014,"Portobello Pizza! A High Protein, Low Carb Alternative. Yum:) Marcy Northrup Palmeri
http://t.co/0VuQ8LyOC4 http://t.co/xkdzqAE3pv"
2014,"Jacksonville's Naturally Smart launched in Nov. as a delicious, high protein, all natural alternative to ice cream! #EUsparks #OneSpark2014"
2014,Needed a little variety today. Threw together this hummus alternative. High protein vegan… http://t.co/nZpQXCIK6S
2014,“@LiveHealthTips: Pickles are simply cucumbers soaked in water - healthy and CLEAN! Great low calorie alternative to protein bars 👌” what
2014,We just got the new Supreme Protein!!!!! A delicious breakfast alternative with no sugar added!!!!… http://t.co/Crh9IUP1uu
2013,"If you haven't heard already, #NaturallySmart is a high protein, delicious alternative to ice cream.. Check it out on FB! :)"
2013,Want to add a little flavor to your protein shake ? Mix crystal  light in as an alternative to just plain water
2012,"Looking for another gluten free alternative?  Buckwheat is gluten free, its not wheat!  High in fiber and protein."
2012,@MilePosts @gnclivewell lucky!! I really want to try the soy protein :) I think it's awesome that there is an alternative now #FitFluential
2012,@SarahWiley8 @SwannyDPM Men over 50 should not eat animal protein and dairy products.  Alternative care is productive. http://t.co/5qvyBPtZ
2012,"@CallMeTasteless Concentrated tomato paste, no animal protein or dairy.  Alternative care works.  http://t.co/5qvyBPtZ"
2012,@22_Minutes Now they tell us animal protein and dairy products are a main cause.  Try alternative care.  http://t.co/5qvyBPtZ
