date,content
2019,"This is HUGE news! Sustainable food solutions are real and possible. A growing population that will stress our protein supply is also real! One of the biggest obstacles to implementation is human behavior and adoption of alternative, plant based protein. This is a big deal https://t.co/nT7FKzaBH9"
2019,"Increasing Enteral Protein Intake in #CriticalCare Trauma and #Surgery Patients - for infants, Beneprotein frequently used in #PedsICU, but we are exploring potential use of Similac Liquid Protein Fortifier as a safer alternative. https://t.co/swUUKvzgtJ #nutrition"
2018,@vegateam 's new Protein Cashewmilk Yogurt Alternative packs a punch with 13 grams of plant-based protein! 👊🏼 It's the perfect ready-to-go snack before or after a lifting workout in my… https://t.co/A25XtVNbQM
2018,Exploring alternative sources of animal protein at #ASAS #Innovate2018 @CritterChatter. Who’s down for some camel or kangaroo? 🐫🐪 #FutureofFood https://t.co/TIrZtsv8sr
2018,"Yes!!!  Pick up heavy stuff, put it down, and repeat.  Drink milk and eat pb&amp;js as a NATURAL/Known alternative to synthetic protein shakes (often fake/placebo powdered).  Sleep more.  Less fortnite. https://t.co/JXgQkxvCzk"
2018,Protein shakes are my greatest struggle so this week I will be experimenting with alternative ways to use protein powder. Cookies? Oatmeal? We shall found out if any of it works
2016,"BREAKING @TysonFoods creates venture fund, $150 million to fuel alternative protein start-ups. World is changing!  https://t.co/GhcVDVeX0L …"
2016,@TheyCaIIMeJJ protein shakes next best alternative
2015,Nature's Own Herb Shop has a variety of meal replacement protein shakes also has an alternative to meat or meals.! https://t.co/iXku6IIRyE
2015,A better alternative to Chickfila biscuit bfast...@Starbucks protein box &amp; coconut milk cappuchino. #eatthisnotthat http://t.co/O9cshGjvds
2014,I have perfected the alternative protein shake. Go me. #fitlife
