date,content
2019,"#sponsored Game day ready 🏈 ....
Wow-  raisedandrooted so crispy on the outside, tender on the inside and perfect for bringing plant protein into your game plan. I’ve never found a meat alternative product that… https://t.co/EY1Ke1s9ZK"
2019,"Lunch Like the French - Relax enjoy a Salad, a Protein Entree and always a Sweet Treat. Mignon is a great French alternative in West Plano. 

Reservations 972-943-3372 or https://t.co/wseeNIgkBt

#Mignon #Bestfoodplano #Lunch #Lakesidemarket #Planoeats Planofoodie #Patio #French https://t.co/sGOgFCuz4m"
2019,"How Big Food is responding to the alternative protein boom
https://t.co/eSt7WQoxY3"
2019,"We need your help - vote for our panel at #SXSW2020! Our EVP Alternative Proteins &amp; Chief Sustainability Officer joins @FoodIntegrity at #SXSW for a panel discussion - Protein ... It's And, Not Or. Log in &amp; vote for our panel to get selected: https://t.co/61Bt64J0uF"
2019,"“Fish replacement may be the next big wave in alternative protein development” via @TechCrunch 

https://t.co/7XwsTEo0ja"
2019,"This is really important for people to understand.  Science is great(!), but at the end of the day these alternative protein slurries being marketed as “meat” are a step backward to the ultra-processed “convenience” foods of the 1950’s. https://t.co/z9T0Le7D88"
2019,"@the_meat_lady 1. IDK
2. You break the efficiency the packers have currently, and you open the door for fresh frozen beef from other countries to enter &amp; other alternative proteins."
2019,New definition of wild Friday night. Listening to applications of alternative proteins from @RyanBethencourt of @wildearthpets at the Veterinary Innovation Summit at @TAMU
2019,"Snack time!

#alternativeprotein #crunchysnack #eatlocal #gotexan #cricketstastelikesunflowerseeds #heb @ San Antonio Food Bank https://t.co/IdUe0TwDks"
2019,"Morning of the 2019 #meatconference in #Dallas. Looking for the Nutritionally Better alternative? Stop by and learn about #omega3 enrichment for proteins. @FMI_ORG  @MeatInstitute @BuckeyeHannah Well done Eric, the show attendance continues to grow. https://t.co/z8NeHSNssi"
2019,"Found a great snack alternative! This pouch of vanilla almond butter by rxbar It tastes so good, is #glutenfree #dairyfree #soyfree and #sugarfree 9 grams of protein will keep me full and… https://t.co/YhOatd1khc"
2018,"Believe it or not but insect eating, or entomophagy, is a great sustainable food alternative to meat consumption. 100 grams of beef provides 29 grams of protein with 21 grams of fat, while 100 grams of crickets provides 20 grams of protein and only 6 grams of fat. https://t.co/F5IpuCgAsM"
2018,"We love donuts...like a lot. 
And we like @KamilahPowell too, she’s not bad 😜🍩
-
Check out @TheEliteSweets for a protein packed and better alternative to those  traditional delicious… https://t.co/zgFtAqkPL6"
2017,Go lean with bean protein. Beans are an affordable and healthy alternative to meats and are wonderfully filling.
2017,"The #healthy alternative to the classic breakfast. #Protei filled crepes, they use #Vegan  protein powder instead of flour #HealthyEating https://t.co/wmmUg0wCLM"
2017,Meat companies need to do a better job of stressing variety to help win back consumers turning to alternative proteins. #meatconference
2016,I've never thought it was my job to lecture some people I went to high school about alternative ways to get  their protein
2015,"I started back on my protein shakes today. Without them I'm legit skinny.😐😒Pretty annoying, but that's better than the alternative."
2015,@Heyy_Tonyy yeah but this isn't a healthy alternative when its just crushed up fruit and protein powder lol
2015,@Carlos_Ba3  I found my alternative late night snack. This has more protein per calorie than meat  #Broccoli http://t.co/YbgQWTGYaX
2015,Need alternative protein sources? Check out this article. http://t.co/1bFSadIW1N #cleaneating #fitness
2013,@DaveSasson best alternative is using a high quality protein (they are typically fortified) and supplementing with trace minerals
