date,content
2021,#craftmeat #orbillion #cellculturedmeat #futureoffood #alternativeprotein #cultivatedmeat #startup #foodie #sustainable #innovators #growth #scaleup #foodsecurity #biotech #careers #hiringnow #premiumproducts #altprotein #sustainability #newteam #meettheteam
2021,Meat and fish made from fungi? Chicago companies pursue next frontier of alternative proteins https://t.co/YRU9eWZTQl
2021,"Today, another generation of Californians is calling for a consumer-led food system change — saving the planet by dismantling industrial animal agriculture and choosing alternative proteins over conventional meat.

https://t.co/OCNWZMkh87"
2021,"Today, another generation of Californians is calling for a consumer-led food system change — saving the planet by dismantling industrial animal agriculture and choosing alternative proteins over conventional meat.

https://t.co/OCNWZMkh87 https://t.co/ChyJdGkaMV"
2021,"US biotech startup Shiru has closed a $17 million Series A round to help it grow its business of identifying and developing novel ingredients for food items, starting with alternative proteins. https://t.co/uO5FSBN692"
2021,"‘It is the next logical step of the food transition’: How fermentation can help solve the ‘protein crisis’
https://t.co/DQDs92H1CQ
Fermentation is likely to be a key technology supporting the transition towards higher consumption of alternative proteins, with protein conversion e"
2021,"Whether you prefer a locally sourced beef burger enjoyed in stylish surroundings or a light, alternative protein option that you can eat on the run, these 10 essential Toronto burgers satisfy every kind of craving. https://t.co/xjtr6ACssr"
2021,"The ProteinX Series and events are focused on novel non-animal alternative proteins, ingredients and sustainable packaging. 

Curious about the future of food? Concerned with environmental, health, nutrition and animal welfare issues?

Explore: https://t.co/QdypY1O3CL

#foodtech https://t.co/pbvztRt7A4"
2021,"@DAILYWORKOUT @dersuasion @SenSchumer Exactly. Now, if we could also curb our  carnivore cravings for meat. Plant protein is a viable alternative. Some products I’ve sampled are astonishingly good. “I can’t believe it’s not bacon.”"
2021,"Potential immune responses to Cas9 are one reason it's important to develop alternative Cas proteins such as our ultra small Cas14 and CasΦ. Learn more about Cas9 immunity in this blog post:

https://t.co/EAL5jF26Qs

#CRISPR #GeneEdting #GenomeEditing"
2021,The potential of alternative proteins to address ocean conservation challenges is underappreciated. Excited to see this sector getting more attention lately. https://t.co/Ya0AxYbaiz
2021,We tried more than 25 alternative proteins. These were the best (and worst) - @latimes  https://t.co/yG4bcSCNul
2021,"It can sometimes be a bit hard to tell how much alternative protein innovation is happening in China, but GFI's team in APAC did some digging to uncover some telling signals.

This is an innovation ""arms race"" I can get on board with! https://t.co/FXM1DQlR4H"
2021,"There is an entire universe of alternative proteins that mimic beef, chicken, pork and fish.

What follows are the results of our taste test of more than two dozen alternative proteins:
https://t.co/KtSkfZjl87"
2021,"Plant-based meat entrepreneurs launched the alternative-protein movement, and cultured meat scientists followed. 

Now there’s another group of innovators who hope a third realm of life — fungi.

https://t.co/tqYzG5UajJ"
2021,Ditching meat? Where to find alternative proteins at fast-casual restaurants. Where to find #plantbased meat products at fast-casual restaurants in #LosAngeles and Orange County - @latimes  https://t.co/4QWa6nRkhv
2021,"RT The solution can't be to tell people to stop eating meat. Instead, policymakers and environmental groups should support efforts to develop alternative protein sources and low-impact methods of livestock production. https://t.co/9S2Ib0rqZ6"
