state,before-covid,after-covid
Alabama,2,0
Alaska,0,0
Arizona,7,2
Arkansas,0,0
California,81,65
Colorado,9,3
Connecticut,0,0
Delaware,0,1
Florida,35,14
Georgia,11,4
Hawaii,0,0
Idaho,0,0
Illinois,0,0
Indiana,3,2
Iowa,4,2
Kansas,0,0
Kentucky,0,1
Louisiana,0,5
Maine,0,0
Maryland,14,6
Massachusetts,8,5
Michigan,3,3
Minnesota,0,0
Mississippi,0,1
Missouri,0,1
Montana,0,0
Nebraska,0,0
Nevada,0,0
New Hampshire,0,0
New Jersey,6,1
New Mexico,0,2
New York,0,0
North Carolina,6,2
North Dakota,0,0
Ohio,5,3
Oklahoma,0,0
Oregon,0,0
Pennsylvania,0,1
Rhode Island,0,0
South Carolina,0,0
South Dakota,0,0
Tennessee,2,1
Texas,22,17
Utah,0,1
Vermont,0,0
Virginia,3,1
Washington,7,2
West Virginia,0,0
Wisconsin,0,0
Wyoming,0,0
