date,content
2019,"JLJ2 (8): “I ordered a @BeyondMeat burger today because I couldn’t stop thinking about the meat processing plant we saw.” 

#J3toSFNM"
2019,"Did I make too much? Or not enough? @beyondmeat Hot Italian Sausage, raoshomemade Marinara, @miyokoscreamery Fresh Mozzarella,violife_foods Shredded Mozz, spinach and penne. #delicious 
.
.
.
#bakedziti #ohmy… https://t.co/1bXNYadkeZ"
2019,@realDonaldTrump @SavageNaija1 @SecondLady @BeyondMeat @Ericthomasbtc https://t.co/WBEKauv97y
2019,"#Vegan News 🌱 Good news; animals' lives are being saved; thanks to #ImpossibleFoods &amp; #BeyondMeat; more will be saved because the future is #CrueltyFree &amp; more people are waking up! #BanFactoryFarming that industry is disgusting &amp; cruel. Save yourselves💚
https://t.co/njhMz4hYPd"
2019,"@dangreene @adashek @BeyondMeat @Verlana @alaraway7 Swims with fishes, cement shoes, waste management, Tommy two times, two times. 

I'm not here to amyoozh yooz"
2019,"@dangreene @adashek @BeyondMeat @Verlana @alaraway7 *punches. 

Dumbest autocorrect since ""ducking"""
2019,"@dangreene @adashek @BeyondMeat They look pretty good, but we're preparing a day ahead... 50 person party this evening (1 vegetarian!) for @Verlana's gym. 

@alaraway7 doesn't pull any lunches, though, so we'll get a clear read, guaranteed. https://t.co/KV62qLchU7"
2019,@adashek @BeyondMeat Not sure. ...but our boy @dangreene is CRO there.
2019,"Now that we have a vegetarian in the house, we're making @BeyondMeat meatballs and some kind of vegetarian sausage. 

Seems like it's gonna work. 🤞they hold up in the gravy. https://t.co/qLmcBs6cZE"
2019,@SaltandC has a fantastic #vegan menu for #breakfast. I thoroughly enjoyed the #locomoco #brokedamout and the vegan #yogurt. Highly recommend it. #plantbased #beyondmeat @BeyondMeat https://t.co/zhCPM1kk7d
2019,"I made sliders and they are fucking delicious! 
Made with @beyondmeat Burger, @Hellmanns vegan sandwich spread, frankshotsauce and fried onions on whole wheat rolls.
.
.
.
#beyondburger #FranksRedHot… https://t.co/2XVixrT6EM"
2019,"@KristinBentz @FoodDive @TravisOkamoto @WhiteClaw You bring the @WhiteClaw , I will bring the @BeyondMeat and we’ll have a party!"
2019,"Had my dad enjoy half of my burger at Yardhouse. It was actually a @BeyondMeat burger. He couldn’t taste the difference, Awesome😎"
2019,@KristinBentz Love ❤️ @BeyondMeat 🍔 🌱
2019,"Fried Shark Tacos and Sandwiches, Fried Chicken Sandwiches, Grassfed Beef Burgers, Beyond Meat, and Wild Game Burgers! Plus Jones Soda! Find us in Trinidad, Colorado at the Cannaco parting lot! #tacos #burger #foodtruck #colorado #Trinidad #shark #nom #tasty https://t.co/K5KYqlVXRd"
2019,Made a little instructional video for you all. It's been almost 2 years that I haven't eaten meat. Now with more non soy non meat products coming out @beyondmeat is definitely one of my favorites. Here's a little… https://t.co/bth2OiEWHG
2019,HAWAII MADE THE CUT 🥳 See you at Costco @BeyondMeat https://t.co/7pYNRaFSRn
2019,@BeyondMeat https://t.co/24kkcmaqRX
2019,Beyond Meat do you sell in #Costco stores within a month. #Bloomberg News. #BeyondMeat
2019,@bigdaddykuhn @Veganella_ @newstart43 @imLucyWatson or just use @BeyondMeat
2019,"@ChrisDos @sheetz @BeyondMeat You know East Side Burgers, in Paris?"
2019,Hehe I meant the Beyond Meat Burger haha!
2019,"#NBA team Los Angeles #Lakers have teamed up with #BeyondMeat to help promote veganism to athletes and sports fans alike! 🏀 🌱 #GoVegan
https://t.co/Lop3BMqKvd"
2019,"@mbird12 By the way, we prefer beyond meat to impossible"
2019,"@SubwayListens Would love to see the Beyond Meat Meatball sub in Hudson, WI location."
2019,Hey @tacobell get your shit together and get on Del tacos level w/ the beyond meat.
2019,@MattSerweKETV Do you mean the Beyond Meat Climate Bowl?
2019,"Hey, @DelTaco! You need to offer Beyond as an option for your new tamales! cc: @BeyondMeat"
2019,"@LoriMoreno @suziday123 @BeyondMeat @DivaVinophile @magee333 @winetraveleats @Dracaenawines @RedWineCats @ccatmpt @lifesanattitude Much love, @LoriMoreno! 😘😍❤️"
2019,@ccatmpt @BeyondMeat @DivaVinophile @magee333 @winetraveleats @Dracaenawines @RedWineCats @NoDramaNamaste @hmgivingsoul @suziday123 @lifesanattitude A 1/3 of a day! 😂😂😘
2019,"@SUBWAY More locations for the vegan @BeyondMeat meatball sub, #plz! 🍝🤲🏼"
2019,"My post yoga plant-based @BeyondMeat protein bowl with organic veggies ~ broccoli florets, corn niblets, red onions, cherry tomatoes, avocado, quinoa, and basil-cashew pesto. #yogi  Yum 🌻 #HealthAndWellness https://t.co/jkDo7n4hGK"
2019,"@NickiJhabvala @Sportstog_DEN Hey, Del Taco has Beyond Meat tacos now. Delicious"
2019,"Powered through hiking today, just because I wanted to stuff my face with these @beyondmeat tacos🌮 with violife_foods 🧀 @ Boulder, Colorado https://t.co/rLrr4c2Vmv"
2019,I tried the new Beyond Meat breakfast sandwich from Dunkin Donuts today. It's really good; nice spicy bite but real vegans beware: it does have cheese and egg.
2019,"Too obsessed with @beyondmeat these days 🔥get the recipe for these stuffed peppers 🌶 on the blog now, direct link in profile ☝🏽 @ Boulder, Colorado https://t.co/ADYkMF7HGG"
2019,"Vegan update: so I’m weighing in about 172 as the new normal, started this journey around 178-180 normal weight. Also tried a plant based burger by @BeyondMeat and i must say I was VERY impressed. Tasted like beef to me 🤷🏽‍♂️"
2019,"This is a favorite of mine at Down to Earth Kailua made with Beyond Meat, sautéed shiitake mushrooms, vegan swisscheese. #100% #vegan #veganbacon #noonehadtodie #friendsnotfood @ Down to Earth Hawaii https://t.co/wbz0F6oa2K"
2019,Hello I’m just here to say Beyond Meat burgers are the best burgers of all time
2019,"@samtotp @dunkindonuts @BeyondMeat Is your whole band veg? I know jake told me last night he is. Also, is it good? I've been meaning to try it!"
2019,Seth Goldman of @BeyondMeat dropping knowledge at the #sri30 conference . “Eat the change you wish to see in the world” - Seth Goldman https://t.co/XFHHGmdHzW
2019,"Seth Goldman invested in @BeyondMeat because his wife wanted Beyond Meat to be successful ""as her birthday present""! #WomenWhoLead https://t.co/WrqXuUBPnU"
2019,"Seth Goldman, early investor of @BeyondMeat started @HonestTea at his house because he couldn't find a drink after his run that was not high in calories. @SRIConference https://t.co/AeQxLiiq80"
2019,I REALLY like their sauce 😋 #DelTaco #BeyondMeat #EpicBeyondCaliBurrito #ItsWhatsForLunch #DelInferno @ Del Taco https://t.co/mICfchLSDv
2019,@wong5150 @BeyondMeat I can’t believe you would eat that processed 💩!  Eat real food!!🥩
2019,Minsky’s has beyond meat crumbles for their pizza and holy SHIT it was good 🤤
2019,KFC rolls out first plant-based fried 'chicken' with Beyond Meat – but we have no idea yet if it will come to South Africa https://t.co/EvS8utv6Gx via @BusinessInsider
2019,@PhlawlessPharm @BeyondMeat I have lots of recipes that are carnivore approved. 😆 Boyfriend still eats meat but eats all the same food as me at home.
2019,@PhlawlessPharm I initially cut out red meat and pork. Eventually stopped eating poultry too and have been pescatarian for over 7 years now. Things like @BeyondMeat are game changers for cooking at home.
2019,That @beyondmeat sausage sandwich at @dunkindonuts is fire! Try a free bite-sized sample of the sausage today from 8am-10am. #Vegan #STL #BeyondMeat #Dunkin @ Dunkin' https://t.co/g9drEzBljK
2019,@Peacevoter @BeyondMeat and is it in st. louis missouri?
2019,"@Peacevoter thx.
what kinda bread is the @BeyondMeat sausage put on?"
2019,@SnoopDogg @dunkindonuts @BeyondMeat 💋💨💨💨 @SnoopDogg stopin by the shop 💯
2019,Dunkin’ Offers ‘Beyond Meat’ #Breakfast Sandwich—Here’s How to Make It #Vegan! https://t.co/L731ranGDt via @peta @BeyondMeat 🙌🏼 🍩 ☕️
2019,"@briOKC @Braums_Inc @BeyondMeat Not the impossible, instead the invisible"
2019,@tdsellars @Braums_Inc Is that one of those fancy new @BeyondMeat burgers?
2019,"If you haven't noticed I have introduced BEYOND MEAT vegetarian additive to my weekly dinner menus which are visible and available on my website and Via social media.

Please do not confuse this with the Impossible… https://t.co/MPzq629Lhd"
