date,content
2019,"[Chritsmas] 

Family member: So Troy I bought a new stock I want to know what you think?

Me: Oh nice, what is it?

FM: Beyond Meat

Me: 

FM: it’s really gone down recently thought it might be a good value

Me: *in my head* “value” 

Me: proceeds to go into 30 min soliloquy"
2019,"@JesseKellyDC “Nutrition research” is BS pedaled to promote big Agro-Corp at the expense of the health of the citizenry examples: food pyramid pushes way too many grains; “Beyond Meat” is more poison than food, but allows Agro-Corp large profit margins on cheap inputs"
2019,"In efforts to do better, starting is the key!!!

Plant-Based...not plant only, we're working on it!

Brussel Sprouts,  Butternut Squash &amp; Red Onion.

I Love @beyondmeat this Burger is Dooooope!!! @ Birmingham, Alabama https://t.co/y630zDxxeR"
2019,@MercyForAnimals @McDonalds @BeyondMeat No thanks. I'm good. https://t.co/i8Ubmyz1pD
2019,If you think Tredas should fly me from Bama to Nebraska for monthly meetings/cookouts like this with unlimited Busch Lights please like and share this post! I had to video conference and watch while they smashed burgs n beers! (Also that’s all Nebraska beef! No Beyond Meat BS) https://t.co/JSoLydEoQB
2019,@maxk48beast @jfc_3_ About shorting Beyond Meat (on paper) ..id rather not talk about it.
2019,@BeyondMeat your Original Bratwurst is amazing and versatile. I remade a southern classic Biscuits and gravy vegan. Couldn’t tell a difference! https://t.co/Lsg3XSjsDx
2019,Beyond Meat and Impossible Foods chase the ultimate prize: McDonald's  https://t.co/f6ktO6XrL4
2019,i got @BeyondMeat burgers to try and i’m confused on how i feel about them
2019,.@BeyondMeat = $$$ https://t.co/DWCMe3GVPm
2019,#Vegan #news about @BeyondMeat via @WSJ https://t.co/noS0xBnqaa
2019,@clnbrns Never heard of Beyond Meat until just now
2019,"@burgerfi beyond meat burger in bed = best BooBoo ever taking care of his owie wife! #LupusWarrior @ Tuscaloosa, Alabama https://t.co/eltHwEmhFt"
2018,"Vegan ‘chicken’ noodle soup. #hotforfood #beyondmeat @hotforfood @jennajulienpod @ Autaugaville, Alabama https://t.co/c94ZxEnn4r"
2018,I finally found Beyond Meat burgers!!!
2018,"Because I think I'm Great and I'm deserving... #TreatYouRight

#Day75NoMeatBeefPorkFishPoultryShellfish 

#BeyondBeefCrumblesFeisty #BeyondMeat #RedStripeLager… https://t.co/lIldLe3uFS"
2018,@AreefaStankin I'm trying to wait till Raven gets home. I been on this Green smoothie diet I'm about to eat some beyond meat vegan burgers lol
2018,"#BeastBurger for the win!!! @beyondmeat

#NoMeat day 3

#PlantBased… https://t.co/wPqAxXlKsn"
2017,I just found out Burger Fi has a @BeyondMeat veggie burger and I've never been more excited in my entire life.
2017,I had the most satisfying plant-based burger for dinner. Thanks @BeyondMeat 🤘🏼
2017,Tried the @BeyondMeat plant-based beef crumbles with spaghetti today and it's really good!
2016,@BeyondMeat I'm having a hard time finding SW Style Strips @wholefoodsbham Can you help?
2015,My New Favorite Place because they have #beyondmeat #tropicalsmoothie http://t.co/sBJeBjiFw0
2013,Vegetarian? Come in and try our new beyond meat chicken on any of our wraps or salads and receive 10% off! #flipflopday #dailydiscounts
