date,content
2019,@SarahKSilverman @CarlsJr @BeyondMeat 👎🏻👎🏻👎🏻
2019,Real burger &gt;&gt;&gt; Beyond Meat Burger
2019,@DevinCow @fishisforpunks @BeyondMeat Gaffigan is not my go-to source on matters regarding fitness and nutrition.
2019,"@THV11 @BeyondMeat &amp; @gardein rn 
 https://t.co/zoNUgkwuN7"
2019,@SnakeAndBake His hobby is tryna punish Beyond Meat
2019,"@JanieNocturna @BeyondMeat No I have not, but I'll make Phil go to Whole Foods so we can try it if it isnt too pricey."
2019,@JanieNocturna @BeyondMeat I rarely go to whole foods but once a year but it was worth braving WF..... best veggie burger I've had. Hadn't had meat in 15 yrs but tasted very legit
2019,Phil and I tried the @BeyondMeat burger today.... best veggie burger out there tbh
2019,"#Rigatoni w/spicy #ragu made with @beyondmeat’s spicy #italiansausage.  #parmesan #parmesanoreggiano #veggiepowered #veggiewednesday @ Memphis, Tennessee https://t.co/KYElXmdXBG"
2018,@BeyondMeat our first try of the Beyond Burger!  Delicious!!!  We will be adding this to our weekly dinner menu!  Tastes just like a real burger!!! https://t.co/G6bE0HMTXp
2018,"I tried a @BeyondMeat boiga today and there’s a whole lotta wtf-ism going on about it, but in a great way.  Like like like! A lot!"
2018,Wow! We in Arkansas don't have that yet. Is it GOOD? I love the burgers!!! Yum. We're having a Juicy  Lucy cheese burgers tonight! 😊 always @BeyondMeat https://t.co/HWfOyBnBvA
2018,I wanted #spaghetti! 🍝Still on the #nomeat #21DayFast @kroger had @beyondmeat #beefcrumbles 🤔… https://t.co/b820BTfAxQ
2017,"We're excited to announce our increased investment in @BeyondMeat. Global demand for protein is high and we’re passionate about meeting that demand sustainably. #RaisingExpectations

https://t.co/YS6yLz2B0z"
2016,@BeyondMeat thank you for existing
2015,@BeyondMeat Our video https://t.co/IhakLe2kkB discloses fracking fluid contaminates in bottled water! https://t.co/2IRqXigWZW
2014,"HEY @BEYONDMEAT, I WANT TO
#FEEDTHEBEAST! PICK ME TO WIN A FREE BEAST KIT BEFORE IT HITS STORES THIS Fall"
2014,"@VeggieWHAT @TheVeganSociety @veganvibeco @VegNews 
Free Pack of #BeyondMeat Coup! http://t.co/mnTK1KyyVI”"
2014,@alisonleah @travisnelson  Free Pack #BeyondMeat Coup!  http://t.co/mnTK1KyyVI”
2013,@BeyondMeat Are your faux meats gluten free? I have three little vegetarian kiddos that are GF that want fake nuggets &amp; burgers.
2013,.@BeyondMeat at @TSmoothieCafe is the best. For reals! Even the @nytimes says so! http://t.co/Cbmhs0kyig
2013,"""Chicken"" stir fry! Using my new best friend #beyondmeat  My veganism has been saved again!… http://t.co/4D7gBQLZ5Z"
