date,content
2019,"I resolve to do my part to help the planet in 2020 by eating more #plantbased #laboratory #food 🧪⚗️👨‍🔬#endtimespoetry #beyond #meat #beyondmeat #bees #birds #environment @beyondmeat @ Los Angeles, California https://t.co/HYDW48MP6K"
2019,"Photo by @dbootleg Thank you, Sir.
#bgcmla #dblofirm #dbloteam #notaryservices #porschedtla #beyondmeat #vurgerguyz. It's been a Fabulous Year.#amen .🙏🏽 @ Dominique Banos Law Offices https://t.co/xpU48XgByL"
2019,Cool thread.  It’s those damn Beyond Meat and Impossible Burgers! 😜 https://t.co/iZw8tXbeBs
2019,"We double dog dare you! 🌭🌭
.
.
.
Make any hotdog #vegetarian with our @beyondmeat dogs 🌱
#joyofhotdog @ Fremont Street https://t.co/IqHnlyjFG9"
2019,"So you get a beyond meat burger from @BurgerKing, but they cooking the regular meat &amp; beyond meat on the same grill, literally next to each other 🤣🤣 thanks for coming to my @TEDTalks"
2019,"My granddaughter Zoey and I made vegetarian enchiladas. We used beyond meat, onions, green chilis and cheese for the filling. #mmmm #vegetarian #enchiladas https://t.co/P7kGfJ8aUm"
2019,"@panny2112 Yay for you Julie! 👏🏾👏🏾👏🏾 If you find it challenging, I recommend trying @BeyondMeat! They’re one of my favorite Plant based companies"
2019,@biz @dunkindonuts @BeyondMeat Nice. Visit @TheBurgerPatch in Sacramento and we’ll make you 100% plant-based eggy/sausage breakfast sammie that will blow your mind. Next one is on me.
2019,"Double @BeyondMeat cheese burger for lunch before I go to Cueva Bar Café to serve tapas, small plates, beer and wine https://t.co/0axvF3ApWw"
2019,@Lil_Mrs_H @MrsWebbGarcia @gardein @MorningStrFarms @BeyondMeat @Walmart @SaveMart @raleys https://t.co/YsIB0GpCMO
2019,@Lil_Mrs_H @MrsWebbGarcia @gardein @MorningStrFarms @BeyondMeat @Walmart @SaveMart @raleys Thanks for all the education and tips
2019,@Lil_Mrs_H @MrsWebbGarcia @gardein @MorningStrFarms @BeyondMeat @Walmart @SaveMart @raleys Did it take awhile to get used to the flavor and texture? Asking for a friend
2019,"@sk8rgurl1776 @BeyondMeat Good for you. But I really don't believe Beyond meat is healthy. It is still a processed food.....processed oils.
I eat mostly fresh vegetables, fruit shakes, mostly banana, mango, blueberry with whey protein.
No beef and ferry little chicken and pork.
Just made vegetarian chilli"
2019,"@sk8rgurl1776 @BeyondMeat Plant a tree
Refuse to buy anything plastic
Use your own imagination 
Try to influence others and government to do the same
Get other states to adopt the standards of CA and NY"
2019,"@sk8rgurl1776 @BeyondMeat And there's more
Just think if everyone planted 1 tree a year
Or just think if everyone refused to buy things made of plastic
Or just think if......."
2019,"@sk8rgurl1776 @BeyondMeat 1 stop burning coal
2. Use renewable energy
3. Stop flaring natural gas and methane
Do I need to go on?"
2019,"@sk8rgurl1776 @BeyondMeat Meat products will not disappear in our lifetime.
There are better ways to reduce our carbon footprint.
If you think beyond meat is healthy- eat away
I would never eat any meat with 15 to 20 % fat.
I would season my 95% beef patty with garlic and salt free substitute ,SO COMPARE"
2019,@vogeliowa Omg lol.  no Beyond Meat is made of “isolated” aka fractionated pea protein - is similar to making coffee.  Do you hate coffee? Impossible’s is made of soy.  Why do beef farmers hate it so much?  Why so biased.
2019,@BeyondMeat Noooooooooooooooooo
2019,Just had my first ever @BeyondMeat it tastes disgusting 😖😖😖 $BYND NEVER AGAIN!!!
2019,Ima make this “ beyond meat “ shit and see wassup lmao
2019,"Happy #christmaseve! #followthebabyface to #abbotkinney TODAY from 11AM - 3PM and grab our Nacho Ordinary Nachos for a LIMITED TIME ONLY TODAY! House fried tortilla chips topped with black beans, #nutfree cheese, #pico, and #guac! Add #beyondmeat for $3 extra! Safe #holidays! https://t.co/ZCr1z8s23N"
2019,Hubby is excited about the new @beyondmeat options at carlsjr #vegetarianfastfood #beyondbiscuit #beyondburrito @ Carl's Jr. https://t.co/EBamN5NboM
2019,"New episode of #RockNRollCook featuring @BeyondMeat in a #meatless #StirFry while discussing the classic album by @BlondieOfficial #ParallelLines

https://t.co/Lx3U1ch3nl https://t.co/VMiYQNkLcr"
2019,"@final_station @BeyondMeat I really don't think people are concerned about the life span of a cow or a pig or a chicken.
But I don't eat beef.
I think processed oils and pea isolate are probably very unhealthy, but we probably won't know for sure for at least 5 years. But I don't eat fast food either."
2019,@adashek @ral1 @BeyondMeat @ImpossibleFoods Truth
2019,@ral1 @adashek @BeyondMeat @Verlana @alaraway7 Let me know how it goes. Figured it was for your annual “Swims with Fishes” dinner. ;)
2019,@ral1 @adashek @BeyondMeat How’d it come out?
2019,"@BeyondMeat how am I supposed to cook this. Had it in my fridge. Requesting a refund, was going to cook these for my kids. https://t.co/Jyc4nlaUid"
2019,"@patricklarkin @BeyondMeat Most people seem to think it's healthy because it not real meat.....it's mostly processed oils mostly from pea isolate. They think it's ""vegetarian"".  I wouldn't eat it, but I don't eat beef either.
Eat real vegetables .......that is something good for everybody."
2019,@BoatsNHoess @BeyondMeat I love them so much
2019,"I allotted extra commute time this morning to stop and try both! @BeyondMeat #Sausage, #Egg, and #Cheese #biscuit and a #SausageBurrito. So excited! @CarlsJr #vegetarian #vegan #plantbased"
2019,"@bigskybabs @BeyondMeat No, processed meats are a class 1 carcinogen"
2019,"@bigskybabs @BeyondMeat If it's sold at fast food restaurants, it can't be good .
Use your head
AND the IARC has said with ground beef or beef in general it's about high heat as deep fried, extreme hot grills and BBQs that make it Carcinogenic. 
It's not carcinogenic from the cow.
Look it up on internet"
2019,"@bigskybabs @BeyondMeat 1. You don't know that.....it's so new, the IARC or any other instance hasn't made any analysis. There have only been a couple of nutritional  experts that have said,
It is processed peas and a few other things not real veges.... and nothing processed is good"
2019,The beyond meat biscuit at Carl’s Jr. Is bomb lmaoo
2019,"@loughnane_rosa @BeyondMeat @DelTaco Students finishing up reassessments and tutoring for finals!  Now, I'm grading... Late night ahead!"
2019,When it's almost 8pm and you just left work... @BeyondMeat burrito at @DelTaco
