date,content
2019,"[Chritsmas] 

Family member: So Troy I bought a new stock I want to know what you think?

Me: Oh nice, what is it?

FM: Beyond Meat

Me: 

FM: it’s really gone down recently thought it might be a good value

Me: *in my head* “value” 

Me: proceeds to go into 30 min soliloquy"
2019,"@Hardees is going beyond with their new plant-based menu. They’re offering 4 new Beyond Meat menu items starting 12/30. 

Will you give them a try? 👀 https://t.co/pBELQOHpoh"
2019,@BeyondMeat Because of this add on @twitter I will buy this product.
2019,THEY HAVE BEYOND MEAT!!!! IM GOING FERAL
2019,Beyond Meat Pie for dinner 🧹 Promptly after gym. If I make him wait he’s a complete d*ck.
2019,"Then you let the cream cheese marry the broth &amp; Mushrooms. Viola 😘 BeyondMeat / #BeyondMeatballs 
Also we need an animation person &amp; cinematography"
2019,I took my Destin hoodie off when the twin waitresses offered complimentary queso while we waited on la dinner. #BeyondMeat
2019,Reminds me I’m out of it rn. Beyond Meat 🥧
2019,Tried the new Beyond Meat sandwich this morning at Dunkin’ Donuts 😋 Brought my own vegan cheese 😃 #beyondmeat #vegan #vegansofig #veganfoodshare #vegandunkindonuts @ Dunkin' https://t.co/5lqt0AmbEG
2019,All I have to work w is Morning Star. Had to add artificial chorizo to give it flavor like Beyond Meat. 🥧 The parentals are having Johnny Marzetti. Followed by KFC
2019,Tonight is Beyond Meat 🥧 They probably won’t eat that.
2019,@BeyondMeat @dunkindonuts @gwils_17 famous!
2019,@dunkindonuts released the @BeyondMeat sausage sandwich and I am in love. 😍 https://t.co/whUGwR5dnf
2019,@chrisxthornton @BeyondMeat Check out the documentaries on @netflix too. Fascinating stuff. And congrats on your dietary successes!
2019,"I told M we were out of #BeyondMeat. He says that’s fine, #Improvise. 
I said nope. We’re dancing tonight and I’ve already been to #Publix 😉"
2019,@kingdaymion @BeyondMeat Yes it does
2019,@kingdaymion @BeyondMeat Yes
2019,@KeijonD @BeyondMeat Come on!
2019,@_thestrategist @BeyondMeat .. and you know that area https://t.co/6zuQgK3KLE
2019,"@_thestrategist @BeyondMeat Lol. Well be on the lookout, try looking in the midtown area they may have it since it would be closer to you."
2019,@theDEBONAIRone @BeyondMeat Thank you!
2019,@_thestrategist @BeyondMeat I bought the “meat” from Kroger. They just started offering it.
2019,@GoodVybzDEL @BeyondMeat It looks good
2019,@consistent_him @BeyondMeat 😋☺️
2019,@HisMajestyJT @BeyondMeat Thank you! One of my hidden talents
2019,@GoodVybzDEL @BeyondMeat 😋
2019,My plant based pasta. @BeyondMeat is everything. https://t.co/r9udaZVYQE
2019,"Thank you so much @DelTaco for the delish @BeyondMeat tacos! What an unexpected, delish treat to find! Now y’all come to North Carolina! #vegan"
2019,"I really love all of these fast food chains adding vegan beyond meat options to their menus- I was worried it wouldnt catch on, and am very happy to see that it actually has ✌🏻"
2019,"Great Taste, Plant-Based: Dunkin’ Partners with Beyond Meat® to Introduce New Beyond Sausage® Breakfast Sandwich in Manhattan https://t.co/U38dWD2Ijz"
2019,"+Fam+ Much Love to my brotha @jarobiwhite! As y’all can see we both love and enjoy what we do. Not only did him and his team blessed us with some eats @ the Food Truck, they also served the kid some @beyondmeat… https://t.co/aPZinqEMoa"
2019,"Tonight's menu:⁣
⁣
Pizza! 🇮🇹⁣
⁣
Apparently today is National Sausage 🍕 Day...🤔?⁣
⁣
Anywho...to commemorate I decided to create 2 versions:⁣
⁣
On the left: Turkey Sausage w/arugula ⁣
On the right: @beyondmeat Sausage w/arugula ⁣
⁣
#pizza #worldcuisine #Vegan https://t.co/dL6SCgIRGY"
2019,My homegirl had vegan shrimp on her beyond meat burger https://t.co/flTLx3BiNN https://t.co/H1HoRKDc2D
2019,100% delicious. 0% dead animal. The excellent Beyond Meat Burger at BRG the Burger Joint in Midtown Atlanta’s Atlantic Station. @ BGR the Burger Joint https://t.co/Z4NFjPvJw0
2019,"Tonight's Menu⁣
⁣
So...I'm a day late on taco day, but whatever...⁣
⁣
I have before you a triumvirate of tasty tacos 🌮🌮🌮⁣
⁣
Tacos de pavo molido, y tacos de @beyond meat, y tacos de pollo...served with deconstructed elote y arroz con frijoles negros 🇲🇽

#TacoDay #chefdad https://t.co/TgvdHas9r0"
2019,"The apex is I’ve never milked a cow before. But I was very Charlottes Web and cried and begged for the adults not to kill the animals 🌽 
Btw, #Quorn is just as good as #BeyondMeat"
2019,I’m considering a tennis skirt throwback today while making meat pie 🥧 We call it that. It’s actually #BeyondMeat but we can’t taste the difference. I don’t remember the last time. The ability of mind over matter is #magnetic 🧲
2019,"I mean , I can try them w #BeyondMeat. We just need a substance to make them hold together. Like Balls 😃"
2019,If #BeyondMeat made meatballs we’d get them. I’m having to use a crockpot so I don’t touch the real thing
2019,Maybe the #BeyondMeat gang could whip something up. I actually like it better than the real thing. Routine blood work is better than ever too so no one can say it isn’t nutritious
2019,"Tonight's menu: ⁣
Orecchiette w/ Italian turkey sausage and broccoli 🇮🇹. ⁣
⁣
I got inspired to make this by a video on my feed from @tastemadeuk...it was delicious! ⁣
⁣
The kids had spaghetti and @beyondmeat meatballs...which I forgot to take a picture of 😬.  ⁣
⁣
 #yum https://t.co/G8fUx9F70t"
2019,"@sctwea @McDonalds @BeyondMeat @CakeBakerMo hellll yesss, Mickey D's is back on the menu!"
2019,Just tried the impossible whopper...tastes just like a regular whopper.  Good work @Burgerking @BeyondMeat
2019,My @BeyondMeat meatballs bled while they were cooking and I’m not sure how I feel about that. https://t.co/o4kTLnk8kq
2019,@tacobell @LauraNedbal can we get beyond meat??
2019,"I like pretty food, but I prefer Pretty F@cking Delicious Food!

@beyondmeat Hot Italian Sausages and #mashedpotatoes with #mushroom #gravy
.
.
.

#vegan #plantbased #dinner #cooking #easy #quick #whatveganseat… https://t.co/j9JoXA6ig4"
2019,"⁣
This sandwich was sooooo good. It’s called the rising sun. It has hummus, mixed veggies, &amp; beyond meat on it. [📸:@ImVeganFoodPorn]⁣
🥦⁣
🌶⁣
🍅⁣
🥒⁣
🥬⁣
🍋⁣
🥥⁣
🥭⁣
 #imveganfoodporn #vegan #vegano #vegetarian #vegetariano… https://t.co/SyAvyJd6eu"
2019,@BeyondMeat https://t.co/XUxuYrRzsx
2019,@drjkahn @BeyondMeat But also a lot of coconut oil.
2019,I love those beyond tacos.. from del taco!!! 🌮 🌮 🌮 #deltaco #beyondmeat  #yummy https://t.co/xbjJVZYrEV
2019,"@tonygraves3 @alexNdriaaaaa S/O all the people falling in the traps... vaping was a easy one to see and dodge. Just like the beyond meat, and government controlled weed"
2019,M: Bet you wish you ate a #burger. Me: Not unless it’s #BeyondMeat or some ish. I’d get ill if I had the real thing
2019,@maxk48beast @jfc_3_ About shorting Beyond Meat (on paper) ..id rather not talk about it.
2019,"Dammit. Had a #Eureka about #heat rising &amp; relations w the #Ozone. Literally on the tip. Beyond Bitches is almost ready. Male , Female and those in between friendly. Just added jalapeños &amp; shrooms etc. Side salad w cabbage shreds. It’s bagged in #LosAngeles. #BeyondMeat"
2019,#BeyondMeat pie or fasting ? Please say fasting 😃 I’m already dressed &amp; ready for #TheVillage 💗 Opposite end of. #Sienna 👧🏼
2019,"@KMJeezy It’s wild. Beyond meat chicken. No meat burger. Nah B, I’m good."
2019,Beyond meat is so mf good
2019,@BeyondMeat @VicOladipo @_1zuk
2019,"I haven’t had KFC in years, but I’m interested in this beyond meat item."
2019,"Beyond Chicken🐔! And they sold out! Can’t wait to try hbu?! #winning @beyondmeat @kfc. Follow us @theguacaholics 
.
.
.
.
#vegannews #govegan #atlanta #and #beyond #veganos #theguacaholics #jealous #savethechickens… https://t.co/vV3qxLpuqd"
2019,"Overweight vegans confuse me.. 

I could just eat regular meat, if beyond meat gonna keep me overweight too"
2019,Yes please !!! 😋 #KFC and #BeyondMeat are testing plant-based 'chicken' nuggets and wings https://t.co/Nl4FN6C3QI
2019,"Was the vegan @kfc #BeyondFriedChicken worth the 2-hour wait in Atlanta? This blind taste test video w/ my meat eater husband will tell you what you need to know about these @BeyondMeat nuggets and boneless wings: 
https://t.co/UrUZ7BxxsJ https://t.co/hepNqhsO8I"
2019,@BlackPhysicists @RbhSr1 @kfc @BeyondMeat @terrylwhite @Stazzonephoto
2019,@RbhSr1 @BlackPhysicists @kfc @BeyondMeat @terrylwhite I’m sure they stopped by too
2019,@JR_OnTheRun @kfc @BeyondMeat @terrylwhite He said the lines wrapped around the bldg twice to conserve space.
2019,@BlackPhysicists @kfc @BeyondMeat @terrylwhite I think it’s more of the exclusivity of the day and the fear of missing out.
2019,"Hearing from an IG friend on @kfc’s one-day test of @BeyondMeat nuggets + boneless wings at its Smyrna location. @terrylwhite waited *2 hours* in the drive-thru 😱but says crowds were perfectly managed. He says the plant-based chicken tasted good, not great #MorningRushATL https://t.co/9y31Fo5cMO"
2019,@kfc @BeyondMeat Not in the community Urban community tried several locations workers had no idea what we were talking about
2019,I will not buy products that use genetically modified crops but I love genetically modified meat? Where is the logic? #eatclean #BeyondMeat #BeyondChicken #GMOs #glutenfree @americancattle @FoodiePatutie @TylerFlorence @BeyondMeat https://t.co/TI18Km64ON
