date,content
2019,Beyond meat down to $103 drop to $99 so I can make that purchase
2019,Beyond meat is down to $106 🤣 damn I wanna buy now but what if it drops below 100 here soon
2019,Beyond meat dropped to $125 a share .. make that purchase
2019,Had my first @BeyondMeat burger last night. The mouth feel is what sealed the deal. Nice job!
2019,@lahiffei @McLoughlinDPJ @AdvancedMgmt @SmurfitSchool @AJConnolly1 @YaleSOM @Bordbia @TomLyonsBiz @IEbusiness @egade @BerkeleyHaas @AbacusBioNZ Most felt the future is bright at #ONE19. Is this just a 1% discussion? Isn’t beyond meat just an overpriced GMO veggie burger? Lots of great talks and discussions here:  https://t.co/CwzJkksKbv
2019,Hey @ashhankio here is the @BeyondMeat I was talking about. https://t.co/4CSreDMTQ2
2019,@jimcramer Do you like Beyond Meat or Zoom if you had one to buy?
2019,@BeyondMeat It’s not the same!
2018,@nedsegal @BeyondMeat All the best Ned Segal. Hope you still find Twitter more meaty than BeyondMeat 😊
2018,@TailgatingChall @BeyondMeat I want to start eating better and help the planet at the same time.
2018,@BeyondMeat @UMich I am so excited to try this new product!
2018,"@LeoDiCaprio @BeyondMeat Nor do they contain hormones.
And they're delicious."
2018,@whosryanneff @BeyondMeat Seriously the best for sure. 💙
2018,"@AbraxasDerezz @BURGERFI @BeyondMeat They're excellent, and I'm not a veggie burger girl, I usually prefer my black bean burgers overall."
2018,"FYI:
@BURGERFI sells @BeyondMeat burgers which is a really high class #VeggieBurger brand that actually tastes pretty good.
If you're trying the #vegetarian thing I highly #recommend giving it a shot, although you do pay a little bit more for the quality."
2018,@runningshoesTV @bonktothefinish @BeyondMeat Thank you! 😊
2018,just watched cowspiracy &amp; i am officially switching to beyond eggs/beyond meat
2018,@sdlogg @BeyondMeat I am Groot!
2018,"I'm starting to feel a bit better from yesterday. My heart rate is getting back to normal. So that means nutrition active recovery. Got these @beyondmeat Beast Burgers! They took like 5 minutes to cook and taste AMAZEBALLS! Meatless protein, for the win! #FeedYourBeast https://t.co/N1jS38tQLW"
2017,"So @wfm_louisville is the only place around that has the @beyondmeat : The Beyond Burgers, and… https://t.co/GNJwUBWqn8"
2017,"I wish our @krogerco carried the @beyondmeat patties, but I settled for the crumbles. I've heard a lot on how good these not only taste, but they have a great meat like consistency. Holy Crap, I'm a fan! SO, SO GOOD!! #Kroger #BeyondMeat https://t.co/tGDmFDfG1R"
2017,"The beyond meat package with spaghetti sauce on the front of it, should never be put in spaghetti, it taste so bad."
2015,@BeyondMeat is there anyway to get test samples?
2015,"HEY @BEYONDMEAT, I WANT TO
#FEEDTHEBEAST! PICK ME TO WIN A FREE
BEAST KIT BEFORE IT HITS STORES THIS FALL!"
2014,"@ChynaJoanLaurer @YouTube all but one!  Anoter question -Did you check toe ""Beyond Meat?""   Meat that is not ""meat!'  http://t.co/89TIVkXEYU"
