date,content
2019,"Read @CenterForBioDiv’s endorsement of plant-based products such as @ImpossibleFoods and @BeyondMeat for their contribution to a global shift towards a plant-forward diet. Thank you, @KieranSuckling! 

https://t.co/56lFUOW3Nn"
2019,@Tofurky @BeyondMeat @ImpossibleFoods We love you all!!!!! https://t.co/34xy39Ng2c
2019,Beyond meat bibimbap. https://t.co/fAh6XzqiTS #bibimbap #koreanfood https://t.co/NojdSkLsKg
2019,@SnoopDogg @dunkindonuts @BeyondMeat Tim Hortons been on this. It's actually not that bad
2019,🖤🖤 @BeyondMeat https://t.co/ggZ0BH4dhL
2019,I sent @BeyondMeat an email requesting this change on 16 June 2019. This is very exciting!!!
2019,"When a company takes sunflower oil out of their products a few months after you write to them! Seaux happy! @BeyondMeat I can enjoy a climate-friendly, allergy-safe burger experience with my family!!! (I’m catastrophically allergic to sunflower). https://t.co/lbK5A1fVbc"
2019,about to make meatless spaghetti ft. beyond meat &amp; banza chickpea pasta 👀
2019,Hooked up @BeyondMeat with some @LA_Fish_Fry seasonings and WOW.
2019,Try our classic meat-lovin’ cheeseburger 😍 or top notch @BeyondMeat Burger with cheese this #NationalCheeseburgerDay 💪🏽❤️🍔 Which one is featured in the photo? 🤔😊 #ParkwayforPoorboys #followyournola #onetimeinnola https://t.co/nxsIBg8Q5L
2019,"@jgrano305 @rick_scinta @ImpossibleFoods @BeyondMeat Yes, definitely."
2019,"Plant-based foods continue to march into fast food: KFC’s plant-based chicken, from @BeyondMeat, sold out in a few hours https://t.co/upv6IK44y7 Typical new strategy statement: KFC isn’t targeting vegans. “Our target customers for this product are ‘flexitarians’”"
2019,@SarahKSilverman @CarlsJr @BeyondMeat Same with Burger King
2019,@Etoyrakue1 @kfc @BeyondMeat @PandaExpress @BurgerKing @Wendys @tacobell @DairyQueen Okay that’s true!!! I’m still team spicy potato taco forever tho 😂
2019,"@Etoyrakue1 @kfc @BeyondMeat @PandaExpress @BurgerKing @Wendys @tacobell @DairyQueen Taco Bell is actually pretty veggie friendly! You can get the spicy potato taco, bean burrito, or do a bowl (black beans, rice, pico, veggies, salsa). Also, if I’m not mistaken you can order any of the menu items (for example a chalupa) &amp; have them replace meat with black beans!"
2019,@kfc @BeyondMeat In case you may have thought to yourself for a brief moment that this would be a healthy alternative.. I am here to tell you no Sir/Ma’am
2019,@PaleTanner As far as seasonings almost all of them are vegan friendly so you just use that shit on replacement products to recreate your fave tastes!! I.e. @ChefPaul_Magic Meat Magic on a @BeyondMeat burger
2019,I ain’t tryna be a vegan or anything but that beyond meat taste good.
2019,"Behold, the Beyond Burger 
1900 N. Claiborne ave. 
.
.
.
.
#tastytreatfoodtruck #tastytreatrestaurant #tastytreatseasoning #beyondburger #beyondmeat #vegan #vegans @ Tasty Treat Food Truck &amp; Restaurant https://t.co/Fbwu08Gh3L"
2019,"Investing in @BeyondMeat has been, by far, the best financial decision I’ve made as of recently https://t.co/8C5rKNIKbL"
2019,Splurge meal of the week: Atomic Burger! So very excited that they have options for the non-beef eaters in the form of either a portobello mushroom sandwich or (what I enjoyed today) the beyond meat patties.… https://t.co/6SFeWT8r9Q
2019,@BeyondMeat going to be massive!
2019,"@fuuuckkatie Make a regular gumbo and use vegan products honestly, you can add chickpeas, you can sub sausage with vegan sausage (beyond meat has really good stuff) 
The roux itself is vegan cause it’s just flour, so vegan gumbo is actually really simple!"
2019,@BeyondMeat When are you going to eliminate canola oil? Surely you know the highly-processed polyunsaturated fatty acids in this industrial seed oil fuel inflammation.
2019,"Tried #sluttyvegan at their pop up shop @Essence and it was everything the reviews said it would be😋Definitelybetter than beyond “meat” #sluttysaturday #sluttyveganatl #sloppytoppy #believethehype @ New Orleans,… https://t.co/obP911ZxtF"
2019,"Mommy Cooked Plant Based Tacos ♥️🍃 Mushrooms, @beyondmeat Meatless Meat, mccormickspice Taco Seasonings topped off with  violife_foods Dairy Free Cheddar Cheese 
.
.
.
.
.
#love #natural #essentialoils #plantbased… https://t.co/qysWBahKe9"
2019,TRIVIA night 8pm with @MonkeyBR &amp; @teetzyscatering’s pop-up Kitchen!  Vegan Stir-Fry &amp; Hot Tamales with @beyondmeat + beef Tamales &amp; chicken stir-fry!  Happy hour until 7pm with @langetwins wine specials!  OPEN LATE!… https://t.co/lBfGr94fwI
2019,can’t compete with actual plant based Beyond Meat when u don’t take the fucking meat out!! 100% dumb!!
2019,"Reading @TIME, was excited they had a profile of @ethanbrown72! Turns out though, it was another Ethan Brown. The guy who invented @BeyondMeat! What if they’re the same and he keeps it secret, and now I’ve blown his cover..."
2019,"@MissElise84 yes, Beyond Meat is the best plant base I’ve ever had. It’s the real deal."
2019,@Jason @krispykreme @ImpossibleFoods @BeyondMeat I created some awesome protein dessert recipes at https://t.co/Nb9rdVRZeA including protein donuts
2019,"@SassBaller ""Beyond Meat"" sounds like a Chippendales knockoff. https://t.co/NjllmdI1Gt"
2019,"In honor of accidentally missing the #BeyondMeat IPO , went out and got some of these lil bbs. https://t.co/jU8S5fcllW"
2019,"@DanMunition31 @CP3 @BeyondMeat Can confirm having eaten multiple Beyond burgers and won 0 nba games personally: this is, in fact, and I can’t stress this enough, it, chief"
2019,"Really impressed with @AtomicBurg Baton Rouge! Beyond meat burgers, optional cauliflower bun, or lettuce for the bun! Keto &amp; gluten free options as well"
2019,@PremiumPete @BeyondMeat Loly
2018,Had a “Beyond Meat” veggie burger and it wasn’t bad. Was surprised how good it was.
