date,content
2019,"I'm making veggie spaghetti from scratch minus the noodles
Stay tuned.
#vegetarian #spaghetti #beyondmeat   #cheflife #foodbytheeggman https://t.co/2z0tuBvpSw https://t.co/YTyDLDSDhx"
2019,My parents bought me stock in @BeyondMeat for Christmas 😎
2019,My sister literally brought Impossible and Beyond “meat” to my aunts house for Christmas so she’d cook vegan Mexican dishes
2019,@TheLadyFuchsia @KoganGad @mariemamiii It's just shitty greasy fast food. They rely on salt and fat to get patrons addicted to their food. It works well. If I want a greasy burger I'll just buy one from beyond meat instead of paying for people to kill innocent cows.
2019,"@MaeveTheFox Would some Beyond Meat work? Shitakes, maybe?"
2019,I love beyond meat cos now I can rub ground beef all over my my neighbors toddler without any of the guilt!
2019,"Just had the beyond meat sausage on a croissant , omg it was sooo Goood , I see you @dunkindonuts ! Thanks :))"
2019,@BeyondMeat @k_obrand @Henry_delaG you need to try this  bro and @VansMarie12 I  been plant base for over a month and I feel amazing  my vitiligo going away !!!
2019,@BeyondMeat @SnoopDogg @dunkindonuts I love this
2019,"Finally tried a @beyondmeat burger over at @dontknowtavern and I must say.....this bad boy is 💣💣💣  With fried onions and mushrooms, greens, tomatoes, I added my curley fries for good measure with extra heinz @ Don't… https://t.co/zgktNwF6M3"
2019,A BIG THANK YOU to my good buddy and #techtitan @tienwong for inviting me to your awesome #connectpreneur event! Hearing the story of Seth Goldman and honesttea and @beyondmeat was remarkable! Loved the #rocketpitch… https://t.co/09rq1cRlFG
2019,"Getting to meet Seth Goldman, Executive Chairman of Beyond Meat...and look, he’s drinking an Honest Tea! @ Marvin Center Theatre - George Washington University https://t.co/9lTJU466pS"
2019,.@BeyondMeat - Why become Executive Chair. “I wanted to jump into the deep end again and I saw the CEO was open to advice...”
2019,"@HonestSeth shares some funny and insightful insights into how he grew a business, at @Connectpreneur’s Winter Forum. Pretty incredible journey to success at @HonestTea and now with @BeyondMeat. #Innovation #ChooseDelaware #MidAtlantic https://t.co/wUQk4kQQBI"
2019,i had the beyond meat plant-based burger yesterday and... 😍 https://t.co/SmHCKEDVoz
2019,What do you think about @BeyondMeat and @ImpossibleFoods ?  Will you deliver them too? https://t.co/cSPsl4bx2p
2019,"@dunkindonuts there are no free samples of @BeyondMeat sandwiches at your store at 2201 Wilson Blvd. Arlington, VA despite your radio advertisements to the contrary - funny though, they had the sandwich...#FakeNews ? https://t.co/7NZ8a645FA"
2019,"Just ate this, it was AMAZING!!!

@dunkindonuts 
@beyondmeat @ Dunkin' https://t.co/nKfYFAbDu7"
2019,"Thanks @Ohyourethatguy1 from @DunkinBaltimore for dropping off the new great- taste, plant- based @BeyondMeat Sausage from @dunkindonuts @Todays1019 &amp; @1057TheFan it’s here &amp; it’s delicious ! https://t.co/n7Kym6piWK"
2019,Pigs are intelligent and sensitive. Please choose plant based whenever you can 🌱 @BeyondMeat has some killer plant based sausage!! https://t.co/P08dod0fhF
2019,"Today’s public service: I suffered through Dunkin’s new beyond meat sausage sandwich so you don’t have to. Heed my warning: if you try it, you will suffer."
2019,@dunkindonuts just tried the beyond meat sandwich. Not bad but the sausage needs more spice: black pepper and maybe a hint of garlic? Most real sausage has a bit more flavor to it. Add that and I think you have something!
2019,Pleased to see fellow @dcnetimpact-er @HonestSeth of @BeyondMeat + @HonestTea opens the @ChesFoodSummit with clear climate smart goals to achieve a healthy sustainable nation and how he's tackling this issue in the food sector to achieve @UN #SDG2 #ChesFoodSummit https://t.co/HkNbF5fkSS
2019,@thehorizonfound invited us to #chesapeakefoodsummit 2019. First up #Moco neighbor Seth Goldman of @HonestTea @BeyondMeat &amp; @DCHunger leader Beverly Wheeler https://t.co/pQiuZ2nlc9
2019,Isn’t beyond meat a male prostitution company idk https://t.co/14WeNN1ZSn
2019,"@Umweltgutachter @DrJDrooghaag @antonioguterres @AminaJMohammed @FAONorthAmerica @ggonzzalezz @MaherNasserUN @ArtBaselGallery @SMarinescu_UN @Chavivohra @BeyondMeat @SDG2030 @GlobalGoalsUN We need both- policy and personal responsibility. 

Let’s start by reading the #NoMammalManifesto :-)"
2019,"Happy #Flourishfriday! Let’s #connecttothesource for a brighter future. Here is one of our favorite quotes from a legendary friend of ours @beyondmeat : “Who says meat has to come from animals?” 
It all starts with… https://t.co/z4wo1AbdZT"
2019,@ShauriRMientus @BeyondMeat i love it! all of their products that i’ve tried have been so delish
2019,Something about that beyond meat doesn’t seem right lol 🧐
2019,"also, lemme just say how excited i am about the package of @BeyondMeat , meatless ground beef i’m going to be making my pasta sauce with for tomorrow 😂🎉"
2019,"We had a great time learning about global branding at tonight's event! Thanks again to @HonestSeth for sharing his experiences with @HonestTea and @BeyondMeat 
#branding #entrepreneurs #startups https://t.co/SwYgvvFDvT"
2019,"Come try a @beyondmeat burger at our pop-up on academic row, in front of Starbucks. This 100% plant-based burger has 20g of protein and is gluten and soy free! 🍔🌱 @ UMBC https://t.co/Y0IlDAB3aK"
2019,"Did someone say #WorldVegetarianDay?! 🥕

#TrademarkYourself with one of our @BeyondMeat specials today! https://t.co/VElD5tUrEu"
2019,@DONTBEATON @DevinCow @BeyondMeat @ImpossibleFoods I boycott them.
2019,When @highestlama tells me she made me beyond meat sausage and peppers https://t.co/VQRyNWK8iL
2019,"@DONTBEATON @DevinCow @BeyondMeat @ImpossibleFoods No I don't Mr Dontbeaton , where?"
2019,Great investor panel @Reducetarian answering big questions around scalability of #plantbased &amp; how to pick the right companies at such an early stage. Big takeaway? @BeyondMeat IPO changed everything inc much more dealflow &amp;investor interest #ReducetarianSummit @kbw_investments https://t.co/975ZUN2ZRW
2019,@BeyondMeat thanks I called it. My stock investment looking great. #plantbased #heretostay https://t.co/2fY7RPM9c2
2019,can’t wait to try the new @BeyondMeat nothingburger
2019,"@McDonaldsCorp @McDonaldsCanada Why can’t you do this in America?  We will support this if you give it to us. Come on @McDonalds, we deserve a break today! #BeyondMeat"
2019,@JohnOberg @McDonaldsCanada @BeyondMeat @McDonalds It won’t taste the same not everyone is a vegan you
2019,"Huge news: @McDonalds is testing out the @BeyondMeat burger at 28 locations in Canada. They’re calling it the “P.L.T.” - Plant, Lettuce, Tomato. 

https://t.co/rtWsSOzsf0"
2019,"Having now tried both Impossible Foods' and Beyond Meat's plant-based burgers, I'm somehow even more impressed by Impossible. I'd expected genetic engineering to produce the higher-quality product, but experimental confirmation of my sentiment is still intriguing."
2019,"You want to get liquidity for your investors before they ask. @HonestSeth, Executive Chair of @Nasdaq-listed @BeyondMeat, wraps up @NACD #NACDSummit with innovative perspectives and stories on shifting consumer values around environmental issues. https://t.co/P2qyemePCS"
2019,Fascinating to hear @HonestSeth talk about the innovation that led to the creation of @BeyondMeat and the impact it is having on the consumer and the planet at the @NACD. #NACDSummit https://t.co/yFNS0PC4n5
2019,"CoFounder of @HonestTea, &amp; Executive Chair of @BeyondMeat Seth Goldman @HonestSeth now on stage w/ @NACD’s @ErinEssenmacher @ #NACDSummit https://t.co/wou1vyOmHb"
