date,content
2019,Random white man stops me at the grocery store and asks “are you a rapper?” Can I purchase my beyond meat burgers in peace please
2019,Beyond meat? Loool isn’t that from invader zim XD https://t.co/C7DBo7z2Bu
2019,@mheadd @ImpossibleFoods Give @BeyondMeat a try as well and go listen to Pat Brown @ImpossibleFoods on @richroll podcast https://t.co/UGMutqb28o
2019,@bensonbuilt9 @tigray2 @BeyondMeat https://t.co/06HRaZc79p
2019,So good!! @BeyondMeat https://t.co/h6O6u8v9Lb
2019,@BeyondMeat So good!! https://t.co/eHlO5x3p32
2019,"@hannah__ks Oh yeah I sautéed half an onion and garlic before browning the beef and added a bunch of onion and garlic powder, oregano, pepper, etc stuff I’d season real meat with, plus a little soy sauce to try to beefify it a bit and it came out great but still distinctly beyond meat"
2019,Does anyone have beyond meat hacks that makes it taste better
2019,"@dunkindonuts @BeyondMeat this sausage patty is too thick y’all, it feels like a burger 🥴"
2019,I’m BEYOND excited that @dunkindonuts is now serving their Beyond Sausage Patty made with @beyondmeat ‘s plant- based protein patty.  I love that there’s finally a breakfast option full of protein to start my day!… https://t.co/tCcf4M6jhY
2019,Is it too soon to introduce “beyond plant” where the plant-based meat substitute is actual meat? #beyondmeat #beyondplant
2019,@ZERTZ_86 @BeyondMeat @DunkinPhilly Is this an AD Zack have you tried
2019,Good morning!  Starting my day off with @dunkindonuts new Beyond Sausage Sandwich.  It’s made with a @beyondmeat plant based protein patty and I promise it tastes like the real thing.  Grab yours at your local Philly… https://t.co/7CtchXBa0y
2019,We had to do it! @beyondmeat Beyond Sausage sandwich at @dunkindonuts is now nationwide! Order vegan with no egg &amp; no egg! They gave us an extra patty as the “sample!” We thought it was a good option for quick on… https://t.co/CeyvlxPi9l
2019,They sell beyond meat at shoprite now I’m going vegan
2019,"Friday night and we ordered off the #veggie menu at the bar??? Who are we?  @BeyondMeat burger with cheddar for him, @beyondmeat hot sausage with peppers and onions for me. Both come with sweet potato fries. Home runs! Heinenken for me, too. #Friday https://t.co/cZMUQfgZsj"
2019,So Wawa is testing in various locations the beyond meat. Look out for it. @ BB&amp;T Pavilion https://t.co/pSKf3IAWfv
2019,I'm having these beyond meat burgers for lunch to see what they hitting for.
2019,"@Akuma_no_uta @Wawa @BeyondMeat There might be, these are just the PA/NJ ones I was given. Check your local stores."
2019,"As of today, thru 11/13, @Wawa is test marketing @BeyondMeat sausage in sandwiches and bowls in several stores. Here are the nearby locations https://t.co/F3GFWaorKx"
2019,@RolledGoldBeats @BeyondMeat Now it’s more like a challenge to myself. 3 days strong in my head I’m like hmmm can I make it 4. Fuck yeah I can
2019,3 days no meat. @BeyondMeat was on sale at Giant too so this don’t look to change anytime soon.
2019,@BeyondMeat hot sausages *chefs kiss*
2019,Trying my first meatless Monday. Let’s see how this goes. Gonna rock these @BeyondMeat sausages for dinner.
2019,@plcphd @BeyondMeat https://t.co/6M3mR2kPoA
2019,Just made some @BeyondMeat burgers for the first time they came out amazing. One step closer to moving away from meat
2019,"@ImpossibleFoods so question re: cooking your “ground beef” - would smash burger style on a cast iron griddle be advisable?? I guess same question to you, @BeyondMeat."
2019,My play on a mousakka filling is vegetarian made with beyond meat substitute topped with a Boursin goat cheese pommes purée  #chef #chefarmond #chefs #cheflife #chef💯 #chefitup #chefstalk #cheflife🔪 #chefofinstagram… https://t.co/f7SHvNmzqo
2019,"Pizza is no longer on my diet......except when it's made/ baked by my adorable hubby myfurnitureworkshop 😜😜using @beyondmeat 
.
Now I know that my pizza has the best of ingrediets in it..... yum yum yummy🍕… https://t.co/A7gQbjLdz6"
2019,"@R_4rishabh @Riteishd @geneliad @ImpossibleFoods @GoodFoodInst @BeyondMeat started this, others following now."
2019,@BeyondMeat 👌🏾
2019,@SteveSebelius @CoryBooker @RepHorsford @BeyondMeat https://t.co/kfEanDxff8
2019,"Where is Becky &amp; Chad at with the clipboards making sure these vegans are registered to vote like they are in line for these @BeyondMeat chicken wings at this @kfc in Georgia today!

We need to flip these red states over!! They need to be voting blue! https://t.co/fHTf4ptSXU"
2019,"@C_He3PO @vertography @VegNews @kfc @BeyondMeat I’m personally disgusted by consuming animal products, not just the cruelty behind it. Even w/ vegan ingredients, if it’s cross contaminated in the preparation it’s no longer vegan for me. My tweets don’t answer for all people, only myself. I don’t need a debate if you disagree."
2019,@chaosmotic @kdhochman @kfc @BeyondMeat Same.
2019,"Hey @TryVeg have you seen this interview with @kfc? Can you put pressure on them and @BeyondMeat to not make this horrible move, cooking a vegan product in the meat fryers? Such a bummer. https://t.co/1DHYVTV7T2"
2019,#vegans and #vegetarians - please read and share. Tweet at this @kfc exec and urge them to do this right so those of us who the product targets can actually enjoy it! #BeyondMeat #kfc #vegan https://t.co/inha6PdfXs
2019,@kdhochman I’m vegan and was stoked to hear about @kfc selling @BeyondMeat - then I read this super depressing interview about how y’all will just cook it with meat anyway: https://t.co/1DHYVTV7T2
2019,"If it’s true you all don’t care about the #vegan market and are just like F it let’s fry it in the same fryer, vegans will push @BeyondMeat to find a vendor who actually cares about selling to us. 
https://t.co/1DHYVTV7T2 https://t.co/OYb689JVce"
2019,@kfc @BeyondMeat Don’t fry em in the same fryer as the chicken or a bunch of vegans will be bummed.
2019,@sweetcarolinee You should try the beyond meat fiesta crumbles when you make tacos.
2019,@FeliciaDearly_ No beyond meat that is plant base and deliocus 🤠
2019,THIS JUST IN! @beyondmeat #BeyondBeef has just arrived at V! Our #veganmeatloaf game has truly changed! Hope yours will too! @ V Marks the Shop https://t.co/6gJz6gzxDY
2019,So is impossible meat and beyond meat like synthetically engineered?
2019,@dances I will be right next to you with beyond meat burgers for the low my guy !
2019,@dannbostock i recommend anything gardein or beyond meat im not sure what grocers are close to you but they’re pretty widely available
2019,@EricTrump @BeyondMeat
2019,@plexiglasssgate @Dreamngtreehugr @daiyafoods @tofuttibrand @BeyondMeat lmao how is it possible tht you seen this tweet which is exactly a year old to the day🤔
2019,"@garyvee didn’t see the @BeyondMeat stocks coming, I DID.... #ThursdayThoughts 👀😂📈🌱💰✌🏻💨⬆️"
2019,@Skoal_GG @dxnielit @BeyondMeat https://t.co/7rOoJvTx4D
2019,@looksthatkale @BeyondMeat I AM YELLING IM SO EXCITED
2019,@BeImpressive2U Beyond meat burgers and sweet potatoe tots W/spinach and spring mix tossed salad.
2019,@BeyondMeat Stocks on the rise 📈 👀 https://t.co/uynUBQ1RM7
2019,"@emorwee I think about this a lot. Specifically, every time I see an add for a processed burger-looking beyond meat thing with a side of fries and the tag line “basically a salad”"
2019,"Beyond meat, pause for the creeps. Sausage and burgers go crazy 😂 https://t.co/BmOQtAk1GF"
2019,"This right hurrrrr. I had to double check the package to make sure it was vegan bacon damn this was good with my beyond meat burger#oloc#pma#pedrotheroadie #faknbacn#vegan#meatless @ Philadelphia, Pennsylvania https://t.co/zerrBpKaSh"
2019,"@beyondmeat burgers for #memorialday @ Washington Township, Gloucester County, New Jersey https://t.co/8eGYgoiSrq"
2019,"snoopdogg @beyondmeat @ Tabernacle, New Jersey https://t.co/GOZ1PvKGRx"
2019,@_KFrazier @BeyondMeat Oh nooo not the smell 😩😩
2019,Beyond Meat becomes largest IPO boom since 2008-09 financial crisis | #OATT https://t.co/dJVNIGC0Od
2019,"Just tried my first @BeyondMeat burger 🍔... 

This will NOT be my last! 🔥😝👍🏾"
2019,Beyond Meat will be oversubscribed and will fly on its IPO https://t.co/gxNGSHZeWf
2019,@beyondmeat @veggiegrill @NimaiDelgado veganinformation @ New Jersey https://t.co/q4maMZ8DrW
2019,Made me a beyond meat teriyaki last night🖤✊🏿....made the fam chicken wings n what not....
2019,Shout out to the vegans.. I tried a beyond meat burger and it’s beyond nasty😂.
2019,"THANK🙏🏼YOU @questlove 
So delish! How you made a cheesesteak so fantastic is @beyondmeat :: @phillies #phillies #plantbasedmeat #cheesesteak #thisfakemeatisthetruth #vegetarian… https://t.co/qv40Dzb1Tb"
2019,@Potthoff @BeyondMeat
2019,Philly folks or folks traveling there: Jack Duggan's in Terminal A East has the @BeyondMeat burger.
2019,ok not to brag but i made a vegan chicken cheesesteak w beyond meat strips chopped up + mixed peppers + cheese. i really just threw everything in a pan &amp; hoped for the best but it turned out AMAZING
2019,"Yum! 😋 #plantbased #nosoy #nongmo #peaprotien #algaecasing #sausage #noanimalsharmed #beyondmeat #beyondsausage #vegetarianrecipes #vegetarian #pescatarian #pescetarian @ Somerdale, New… https://t.co/1QsrXd86Et"
2019,The beyond meat burger from friday’s was so good omg
2019,"Beyond Burger with cheese, lettuce,  tomato, pickles, and BBQ and ketchup mixed @beyondmeat!!! #vegetarian @ Philadelphia, Pennsylvania https://t.co/IJAOaVGKbx"
2019,"#VeggieBurger #BeyondMeat 
Well folks tonight was my first taste of a “Beyond Meat” burger. Cheryl fooled me good! First few bites were great, however I knew… https://t.co/waiVScbFjo"
2019,"@sewage_jesus I’m gonna go out and buy some more @BeyondMeat burgers in your honor. Happy Birthday, dude!"
2019,@MercyForAnimals Woe! That may get me to buy @tacobell again.  Its been soooo long! @BeyondMeat
2019,@MalcolmJenkins @BeyondMeat Already!!  Appreciate that bro!!!
2019,.@72TraThomas checkout @BeyondMeat !!! It will help the transition! Lol 🍔🌭 https://t.co/thM2TxpfI7
2018,@beyondmeat #nofilter @beyondmeat @ New Jersey https://t.co/Sm8Spuyt3H
2018,"Had another great kitchen consult @SyscoPhilly with Chef Joe. I always learn so much! Thanks Bernadette!

Side note...It's pretty astonishing what @BeyondMeat is doing with the plant-based proteins! https://t.co/HS3lWBJVaN"
2018,Beyond meat burgers are so fucking good. This is hilarious https://t.co/NuJWfPiry0
2018,Was hoping Beyond Meat's ticker symbol would be $BEAT https://t.co/buwYM93YoQ
2018,"@KellyPriceJr As far as vegan meats go gardein is the best brand and after that beyond meat .. for hot dogs / sausages I recommend tofurky , the Italian sausages are good but the brats are the best  especially grilled/pan fried"
2018,@BeyondMeat Just had your Brat at the Newportville Inn.  Crazy delicious.  And this is a German restaurant.  I am a German teacher.  I know good Bratwurst.
2018,"BEYOND AMAZING!! The #Vegan Sausage Scallopini #Sandwich!  @BeyondMeat sweet Italian sausage with sautéed onions, peppers and garlic on a long roll served with our house made chips and a side of marinara. Buon Appetito! https://t.co/hPSQPLk4bY"
2018,I love @BeyondMeat burgers. They are vegan heaven and I need a whole freezer full tbh. 🌱 #sponsorme #forrealtho #Vegan
2018,I was very curious about Beyond Meat vegan burger patties so I checked it out while I was in Whole Foods. The ingredient list doesn’t look good 🤢 #beyondmeat #veganfood #vegandiet #wholefoods https://t.co/hINvrCdtzf
2018,"@CKTfurs violife isn’t actually readily available in many places yet, try follow your heart or chao cheese if you can’t get your hands on it! Also I recommend beyond meat chick’n if you want grilled chick’n but gardein if you’re in the mood for nuggets, Chinese, or anything of that sort."
2018,I want to find the Beyond Meat Burgers
2018,Had to make it to @bareburger ... regardless if that meant dinner had to be at 4:30pm today.  #beyondmeat vegetarian deliciousness @ Bareburger https://t.co/RImAbDA2yv
2018,Thanks!!! I’m new to the Beyond Meat game but I’m loving everything I am trying https://t.co/2eRqK25fu5
2018,"#vegantacos #beyondmeat #pineapplecabbageslaw #prettyfood #yummyinmytummy #yummy #pescatarian #vegetarian #thanksjimmy @ Somerdale, New Jersey https://t.co/CP1V2UEjtd"
2018,"Just serving up all the @beyondmeat burgers at our 4th of July BBQ — can we get a sponsorship? ☺️😂 @ Philadelphia, Pennsylvania https://t.co/49h1KWmmOK"
2018,Was about to tweet that my only complaint about the @BeyondMeat sausages is that they feel a little weird raw... then I remembered what they replace are lips &amp; assholes jammed inside an intestine.
2018,@BeyondMeat I’m addicted to these burgers
