date,content
2019,What are my odds of finding Beyond Meat in a grocery store where people are open-carrying?
2019,@dunkindonuts Seems like everyone is getting into the beyond meat sandwich. Haven’t seen anything like this at Outback
2019,The @serenawilliams burger (made with the @beyondmeat burger) from Inconceivable Cafe inside of @sanctuarybrewing was so delicious 🤤 #vegan https://t.co/mOa6RZ9FYA
2019,"Also, even though no one asked, I’ve been debating between two meat substitutes, @gardein and @BeyondMeat and the conclusion is this:
#Gardein is great for things where it IS NOT the primary focus of the dish, like chili
#BeyondMeat is great for things where it IS, like casserole"
2019,"Dear @Starbucks ... you run the coffee world but don’t have #vegan options.... just like get some peanut butter for bagels .... #confused #getittogether 

@BeyondMeat can you help here? 

Asking for a friend... 

Love 
Kyle"
2019,@LongLiveDenzy Thick Madame 💁🏾‍♂️ period. But I’m bout to go back to how i was 😩 ima get some beyond meat shit from the store when i get off! https://t.co/8czcJ7pXNW
2019,"Today's #dinner is my #plantbased #burrito made with pinto beans, basmati brown rice, avocado, and @beyondmeat feisty crumbles. Also don't forget the #valentina salsa picante (Hot sauce)!

#veganeats #vegan… https://t.co/8SbG0Hdmvr"
2019,trying to meal prep again vs frozen meals 🥰. TY @JonathanRKnight and @BeyondMeat for inspiring me to be healthier! https://t.co/xcoqVsbvze
2019,tried this tonight n NOT disappointed 🥰. TY @BeyondMeat and @JonathanRKnight 🥰. https://t.co/hausBTKKz8
2019,@WhatIveLearned @tovalafood @BeyondMeat #IoT win
2019,@lexloafin I always eat vegan food. The beyond meat the only thing I question.
2019,Beyond meat is human meat b. Plants don’t bleed
2019,"BEYOND MEAT IS PEOPLE! 

I’m just waiting for someone to yell that in the streets."
2019,"For the record, we came for donuts...not a sausage breakfast sandwich. But I believe in flexibility and adventure... @beyondmeat #gobeyond @dunkindonuts @ Dunkin' https://t.co/UGz9ryXNHt"
2019,The kid considers this meal before diggin’ in... @beyondmeat #gobeyond @dunkindonuts @ Dunkin Donuts https://t.co/mArrT35oBf
2019,"Let’s try this beyond sausage sandwich from Dunkin’ Donuts #beyondmeat #plantbased #dunkindonuts @ Lenoir, North Carolina https://t.co/4SwHjy89tV"
2019,I am definitely also a fan of @BeyondMeat — via #zinburger.
2019,"Beyond Meat Sausages, Delicata Squash Fries, and Baby Bok Choy with Garlic and Ginger @ Saxapahaw, North Carolina https://t.co/cMPT7RmPdZ"
2019,"My Beyond Burger today! I like to flatten my patty out more. DELICIOUS!!! #tracygwynn #truckerwife #beyondburger @beyondmeat @ Danville, Virginia https://t.co/1j8SQl4aUn"
2019,"@realwillmeade MW Beyond Meat's McDonald's trial hasn't been a 'blowout,' Bernstein analysts say

Ceo comes to bloomberg and says not selling shares"
2019,tried a beyond meat burger today and i’m shook at how fyi this junk really is 😭
2019,"Hey @BeyondMeat!  We are adding you to our sauté tonight. So good! 🙏

https://t.co/MbD7AaHUNf https://t.co/jmBasgqoVH"
2019,I’m eating a cheeseburger at the end of this day and I’m not talkin no beyond meat idc idc idc
2019,@peta @SUBWAY @BeyondMeat I stopped eating @SUBWAY years ago. Even the all veggie sandwich. I'll keep making my wraps and sandwiches at home.
2019,"“The carbon footprint of his pasture-raised beef measured significantly less than conventional beef, chicken and even the Beyond Burger, a plant-based burger from Beyond Meat.” https://t.co/wrSXXXXQD4"
2019,@ClaudesBBQ @BurgerKing @BeyondMeat True. And now I’m hungry! 😊😊😊😊
2019,@ClaudesBBQ @BurgerKing @BeyondMeat Not for dinner. 😉😊🐍
2019,#Awesome - hey @kfc put a test location in #Charlotte - will personally eat a bucket of @BeyondMeat a day if you do... #ForReal https://t.co/w4kGRpVOFK
2019,Y’all realize eating a bucket of beyond meat with mash potatoes and gravy ain’t no diff right 🤦‍♂️🤦‍♂️ https://t.co/BIZqyC0S9y
2019,"THE FUTURE IS VEGAN! 🌱
For one day only, at one location in Smyrna, GA, KFC is testing Beyond Meat vegan chicken. If all goes well, it could be a game changer for all the chickens out there!!… https://t.co/SElAtX7udH"
2019,I've also been using the @BeyondMeat Crumbles in pasta instead of ground beef for a while too and liking that.
2019,"@urbanmode I also grill burgers, though I've switched to Beyond Meat ones."
2019,"I admit that I am still an omnivore. I guess a good thing about it is I was able to do a side-by-side comparison with the Beyond Meat Burger vs beef and I posted my results on FB. (Thumbs up, BTW). (I won’t post pictures here because meat in the pic) @otepofficial However..."
2019,"It tastes really good, I don’t think I’ve ever had an impossible burger before but I have had beyond meat and it’s pretty similar"
2019,Vegan 🌱 Shgetti w/ @BeyondMeat https://t.co/hyliFgqDOp
2019,@kweenkayla_ Yeah their beyond meat burger is solid
2019,"Impossible Burger vs. Beyond Meat Burger: Taste, ingredients and availability compared
https://t.co/Lcg0C6E7UG"
2019,"Beyond Meat’s competitor Impossible Foods plans to launch in grocery stores in September after getting FDA approval
https://t.co/yoXKM67pQ4"
2019,Why didn’t I buy Beyond Meat
2019,There's lots of Beyond Meat stuff in the financial news lately. All I know is I tried it once and ended up in the bathroom all night #realmeatisbest
