date,content
2019,@sheetz do the locations cook the @BeyondMeat burger on separate grills or are they cooked in the same location as meat? #askingformygirlfriend
2019,"#tuesdaymotivation 
#tuesdayvibes
#burger
#tacotuesday 
#opa 
#740eats
#delawareohio 

Today is Tuesday and you all know the grill...we are cooking burgers all day long! Come try a @beyondmeat or  thewesternbuffalo… https://t.co/lEv1UwBbkx"
2019,@realhomechef @BeyondMeat That's awesome! I can't wait to try more delicious meal options whenever I feel like going meatless.
2019,Yeah...No more Beyond Meat for me...
2019,"Making the black beans to compliment my Beyond meat street tacos which also has dirty rice, tomatillo salsa, spicy avocado salsa and pico de gallo
#weeklymeals #weeklymealplan
#weeklymealdelivery  #personalcheflife… https://t.co/5jMFDQbZDo"
2019,@CarlsJr @BeyondMeat https://t.co/MjBDiX71w6
2019,Tried the beyond meat sausage sandwich at Dunkin Donuts!!  Very good sandwich!! I highly recommend it! https://t.co/NqKut9pDum
2019,The beyond meat breakfast sandwich from Dunkin SLAPS
2019,@SnoopDogg @dunkindonuts @BeyondMeat I'd have to be high AF to eat that. You did say you were looking out Snoop!?
2019,The beyond breakfast sandwich is delish! Love me some @beyondmeat! @ Dunkin' https://t.co/Y6YY1v4xV7
2019,Dunkin beyond meat sandwich is a solid 7.5/10 would definitely recommend
2019,@LetsTalkBucs @dunkindonuts @BeyondMeat @DunkinPgh It’s really good! I like the turkey sausage too!
2019,@BeyondMeat and @dunkindonuts why wouldn’t you invest in vegan cheese and an egg alternative. The whole point of being plant based is to not consume animal products. This partnership is pointless otherwise.
2019,I just made @BeyondMeat burgers for the first time and I’m convinced I can LITERALLY do ANYTHING.
2019,@genarolozano @BeyondMeat Looks like shit!
2019,"I will be honest with you all. I love @beyondmeat!! Although I no longer live a vegan lifestyle, I still love to get a lot of my protein from plants. These 2 patties are made with non GMO and whole plants with 40g… https://t.co/DqZE0eeCyh"
2019,"Seafood without sacrifice! @goodcatchfoods tuna sub &amp; clam chowder for lunch today, delicious! Could this company be the next @BeyondMeat?! #savethefishes #plantbased 🐠🐙🐡🐬🐟🦀🦞🦐🐳🦑 https://t.co/ZKVlizKqJz"
2019,"@pull_mybeard beyond meat ""ground beef"" and manwhich sloppy joe mix 👌👌"
2019,"You guys should rename your podcast to Tiny Beyond Meat Gang for like a week, just to broaden the listeners. @codyko @thenoelmiller"
2019,beyond meat ain’t beyond me
2019,@padreJuanM @BeyondMeat Ha ha.  Hubby is from UK. He had never eaten one. That is a culinary crime!
2019,"Big Think: McDonald’s rolls out Beyond Meat burger, the ‘P.L.T.’.
https://t.co/XV05rdYFlK

via @GoogleNews"
2019,Me me me me me me me me ME!  #plants @BeyondMeat #vegan https://t.co/Wkuth1ajHL
2019,@BeyondMeat burgers with all the fixings! 😍 #veganfood #grilling https://t.co/eAQ2QmLg70
2019,@tyillc @lisaabramowicz1 Investors aren’t interested in buying what you say you’re going to do. They want to buy what you’re doing. Beyond meat is the exception.
2019,@carriemo @Arbys @bostonmarket @AndyRossTheBoss @BeyondMeat @ImpossibleFoods @Dirty_McFatts So funny!!!
2019,Eating a beyond meat burger with vegan mayo and vegan cheese with a giant side of Mac n cheese made with.... real cheese. But hey... progress is progress right
2019,@scheplick Yeah those companies realized as much value as they could before going public. Kudos to Tesla and Beyond meat for leaving some on the table at IPO.
2019,Highly recommend the beyond meat burgers! So good. https://t.co/HgQEtoUhXa
2019,Doing my best to fill the void left by all the beyond meat people. https://t.co/QjP8fMsvZE
2019,"@BeyondMeat love the products, but where can I find the nutritional data? #gobeyond"
2019,"I tried the @beyondmeat #beyondbeef tonight for the first time. I’m a fan of their pre-made #plantbasedburger but I have to tell you, it was surreal tonight sautéing up ‘beef’ for my tacos.  Almost scary real.… https://t.co/zTmfuDLaWh"
2019,"@BeyondMeat burgers, tots, sweet corn! Summer isn’t over yet! #veganfoodshare https://t.co/jBNedBcBPh"
2019,@SarahKSilverman @CarlsJr @BeyondMeat Might as well troll them because they do not cater to your exact wishes - just like EVERYTHING else in our world that you bitch about. No wonder you aren't married. 😂 #AnotherSHOCKER
2019,@SarahKSilverman @CarlsJr @BeyondMeat Defeats the purpose.
2019,"@seriouslyclara I’ve been vegetarian for 10 years now and the beyond meat stuff tastes so weird to me, but Impossible burgers cooked like a real damn burger with cheese sauce good bun (Cheesecake Factory surprisingly was amazing) are amazing. Ex Carnivore checking in"
2019,"@cnn One min @cuomoprimetime is speaking to Bill Nye about the evils #deforestation for #animalagriculture, the next min it's a conversation with @donlemon about Popeyes Chicken Sandwich ? How about covering the @KFC @BeyondMeat Beyond Chicken' trial run in Atlanta instead !"
2019,"Hey! @kfc ... does this mean that you'll make @BeyondMeat chick nationwide?... Please say, ""YES!"" 🙏

But if not... can you bring it to Cbus, OHIO?... 😁 
THANKS!  
#chickenfreechicken https://t.co/htSNzBGLCp"
2019,@BeyondMeat I'm ready!!!!
2019,"@BurgerKing's Impossible Whopper is #AWESOME so I expect good things here!!
👇👇👇❤❤

#KFC is 
testing Beyond Meat #PlantBased fried chicken

🙂🙂👍👍
https://t.co/ybRgzqinn8"
2019,"Not explained.  How, if at all, are the Beyond Meat products superior to those of existing veggie-based products from say MorningStar Farms?"
2019,@BeyondMeat  burgers! @daiyafoods  Garden fresh veggies! #SummerSlam https://t.co/5Fmf4D4H4E
2019,@claco You should try a beyond meat sandwich at Dunkin. Also good.
2019,I hope it’s near by us! @BeyondMeat @Subway https://t.co/TFnlYkZM7P
2019,got a chest tattoo and found some beyond meat patties at a drug mart. today has been good 🥰
2019,@TheStalwart There’s a difference between beyond Meat twitter and crypto twitter.
2019,@jimcramer @tim_cook 🤔 and then you flow right into 🍻 statistics... and Beyond Meat.
2019,"#Dunkin' is launching a breakfast sandwich with #BeyondMeat sausage

😁👍😁👍😁👍
https://t.co/BLIdq9FzoB"
2019,Beyond Meat is trading this morning at $240. It IPO’d in May at something like $25. $BYND https://t.co/Ks9v1e8QJ0
