date,content
2019,@SnoopDogg @dunkindonuts @BeyondMeat 💋💨💨💨 @SnoopDogg stopin by the shop 💯
2019,"@briOKC @Braums_Inc @BeyondMeat Not the impossible, instead the invisible"
2019,@tdsellars @Braums_Inc Is that one of those fancy new @BeyondMeat burgers?
2019,"Dear @Whataburger,

When are you jumping on the @ImpossibleFoods or @BeyondMeat wagon? 

Because I am READY for it!

#veganWhataburger

Sincerely, 
Hungry"
2019,......the beyond meat veggie burgers at carls jr........y'all mind if i  t̶̻́̿̇͝r̶͕̘͒a̸̝̦͖̣̟̓n̸̨̖̪͒͋͂͋s̷̠̺̹̉̑͂ċ̴̢̺͇͐͠͝ė̶̻̭̩́n̴̙̜͉̰̆̈́͆̓d̷̤̰̳͈̺͌̄̈́̓̆ https://t.co/qLX3pm1ZVj
2019,"Has he heard of Beyond Meat? Looks like quite a succesful company due to free market capitalism and providing what consumers want, not due to liberal attack on beef. https://t.co/A2WBEYSbfj"
2019,"@kfc @BeyondMeat We need it in Wichita, KS"
2019,Just had a @BeyondMeat burger from @CarlsJr and it was the best burger ever!! I ate it too fast to even take a picture #SaturdayThoughts #Vegan #beyondmeat #burger
2019,"Impossible Foods and Beyond Meat are coming to campuses, offices, and stadiums. Yeehaw! I hope that includes @okstate @OSUFirstCowgirl @OSUDining @OSUgreen https://t.co/E6PF3FClNT"
2019,@CarlsJr @BurgerKing @BeyondMeat 🌱🍔😍❤️ https://t.co/KxiEJE6DUR
2019,I tried @BeyondMeat tacos from Del Taco and now i’m never eating meat again 🤤🤤
2019,@Machiz @dunkindonuts @BeyondMeat We've been eating the burgers and the sausage. Legit.
2019,@Machiz @dunkindonuts @BeyondMeat Anytime. New England boy loves his Dunkin. And I've been into beyond meat lately too
2019,Congrats @dunkindonuts and @BeyondMeat on the new sandwich. I'm definitely giving it a try!! https://t.co/zfgp9BubH2
2019,"///FOURTH OF JULY SPECIALS///
-Burn Co BBQ jalapeño sausage spec
-Beyond Meat Brats
-Banh Mi Hotdogs
-Burgers
-Watermelon Boats
-Blue Birthday And Watermelon SoftServe
-A M E R I C A  F* Y E A H
L W. #howlyeah @… https://t.co/tphhVLzUhr"
2019,"Vegan Spaghetti made by yours truly! Good job Chef. Thanks students! Carrot spirals, Beyond meat my own special spices and then my wrists special whip! @ Midwest City, Oklahoma https://t.co/qj0IVDuRCj"
2019,🙌🙌🙌@DelTaco🙌🙌🙌@BeyondMeat🙌🙌🙌 #veggielove
2019,@5NEWSErika @Walmart @BeyondMeat Wait I need these!!!!
2019,"DEL TACO
It’s @beyondmeat day today. carlsjr deltaco @veggiegrill @bareburger @theepicburger are all participating. If you have the Del Taco mobile app you get a coupon for a free Beyond Taco with any purchase. If… https://t.co/IjDwJHfQ6V"
2019,I just had almost everything with beyond meat at del taco and i’m still nutting. what a time to be vegan wow.
2019,@JessicaKnapik @DelTaco @BeyondMeat https://t.co/giXJXDnmvg
2019,Heard on @Freakonomics Radio that @BurgerKing is testing an @ImpossibleFoods Whopper in their St. Louis stores. Bring that to OKC RIGHT NOW! @CarlsJr is killing it with the @BeyondMeat patty. Ask @DelTaco how their test with Beyond Meat is doing in OKC.
2019,"I eat tacos about once a week, but this time, it's MEATLESS. The @beyondmeat crumbles make for a surprisingly good taco filler and have cemented a place in my diet thanks to quick cooking… https://t.co/f6KbURIVSk"
2019,I haven’t been able to get a “real” crunchy taco at a fast food joint in about 10 years since I’m vegetarian.  Finally that has changed.  @beyondmeat deltaco… https://t.co/KZoWLJoyRK
2019,Yep. @DelTaco is the first Mexican fast food chain to offer plant-based Beyond Meat® tacos two ways: BEYOND TACOS loaded with fresh shredded cheese 🧀🧀🧀 and #vegan BEYOND AVOCADO TACOS 🥑🥑🥑. You can sub @BeyondMeat in any Del Taco menu item! #AD https://t.co/D7pSu8KVYh
2019,"YOU GUYS. Everyone's been buzzing about @deltaco's new @BeyondMeat TACOS, so we had to check 'em out! 🌮  These are available at all 7 locations throughout Oklahoma. GETCHA A TACO OR FOUR! 👉🌮 #AD https://t.co/fLDfU3SNQG"
2019,Taco Thursday with Free @BeyondMeat tacos at @DelTaco today for #ValentinesDay2019 ad #plantbased https://t.co/xbUckATeyR
2019,".@DelTaco is rolling out @BeyondMeat tacos, so I'm trying them out side-by-side with their regular tacos. Full article to come, but this stuff is legit. https://t.co/aBkVvPmZZH"
2019,"Taco Tuesday!  Bought a few @deltaco @beyondmeat avocado tacos and added some Valentina, @tofuttibrands sour cream and @followyourheart cheddar shreds. So good!  And all vegan!

#tacotuesday #tacos #taco #hardtaco #softtaco #deltaco #vegansofokc #okcvegan #veganokc #singlevegan https://t.co/bC5H0mNCAD"
2019,#thankyou @CarlsJr &amp; @BeyondMeat for normalizing a #vegan #burger !  I can finally go have a tasty burger like everyone else ! I think it’s awesome that an #American #iconic #fastfood #restaurant is leading the way and realizes we are many and we spend $$. Too!  #yummy
2019,@Dzlton if you’re ever craving meat at all try beyond meat from Whole Foods :-)
2018,"@TailgatingChall @Sprtngrl45 @BeyondMeat done, I have been nearly 100%vegan for 10 yrs.  My reasons are food safety, environmental,heath. I also  abhor factory farms and do not want to support them. RT'd as requested."
2018,@missauntdana @LeoDiCaprio @BeyondMeat.   LOVE beef!... &amp; it is what's for dinner!
2018,Nothing like relaxing and drinking a good drink when it’s raining outside. @beyondmeat #vegan #veganfood #veganfoodporn #whatveganseat #whatbrokeveganseat #whatfatveganseat #veganburger @… https://t.co/MyhfhVbW8Z
2018,Good article. I agree the Beyond Meat and Grilled Prime are my faves. The TJ masala burgers remind me of the dollar store patties. Seriously... they're good! https://t.co/iWYTSzSJxT
2018,@Japamber @BeyondMeat You have some green stuff on your burger. 😦
2018,"@sophierosettee @BeyondMeat I’ve been to two whole foods, a fresh market and a target and each of them are sold out. I’ll be there in 12 hours"
2018,I think it’s time that I accept the fact that I’m never going to get my hands on the @BeyondMeat Burger
2018,"Today is #meatlessmonday!  Don't know what to make?  How about some vegan beef stroganoff?  Recipe can be found here: https://t.co/QuiSbmuGqc  Please #rt #share #regram

@beyondmeat #beyondmeat @meatlessmonday #veganshare #veganfollow #stroganoff #vegan #whatveganseat"
2018,@meatymcsorley @BeyondMeat You are going to end up looking like me if they keep that good shit up!
2018,@meatymcsorley @BeyondMeat How are you cooking them?
2018,Damian is stoked they have @beyondmeat burgers at Twin Peaks now! @… https://t.co/joro8Cy3Bn
2018,@AaronGoodwin @BeyondMeat @WholeFoods I hope your getting all your meat for free since you just advertised big time for beyond meat and whole Foods!!
2018,@AaronGoodwin @BeyondMeat @WholeFoods You eat a lot of hamburgers 🍔🍔🍔🍔🍔🍔
2017,Meat Giant Tyson CEO On Beyond Meat Investment: 'If You Can't Beat Em - Join Em https://t.co/akgwHuWshK via @plantbasednews
2017,@James_BTInst @JaysonLusk @BeyondMeat A Market disruptor. The last cowboy?
2017,@michellevisage @BeyondMeat  @michellevisage you IS da BOMB!!! Love ya!!!
2016,@sjames_fit @Fitnika101 have either of you tried Beyond Meat's beast burger?
2016,OMFG! @BeyondMeat Where have you been all my LIFE!?! I am recently #Vegan &amp; I  Love your products! I am NEVER going back to meat! Not ever!
2015,"HEY @BEYONDMEAT, I WANT TO
#FEEDTHEBEAST! PICK ME TO WIN A FREE
BEAST KIT BEFORE IT HITS STORES THIS FALL!"
