date,content
2019,The Beyond Meat sausage sandwich from Dunkin Donuts tastes like lies and hopelessness served with... what I can only assume is fake egg with an English muffin bun. 😒 https://t.co/q1aiU4pMrG
2019,@sheetz @BeyondMeat @PlantsvsZombies @EA @Twitch Woot woot!!!
2019,"Where are my vegan/beyond meat cookers? 

What should I season this beyond burger with 👀"
2019,"So I'm trying on brand beyond meat and it's much easier to cook than the off brand I tried 

It feels like ground beef so I'm able to do more"
2019,There was some sale on Beyond Meat at my local grocery store and oh my gosh
2019,"Rainbow unicorn socks, and some @BeyondMeat breakfast from @dunkindonuts because they've got almond milk for the coffee, too.

Positive Friday energy abounds!

Make it a great day friends! https://t.co/Z4jACPqqai"
2019,I want a beyond meat cheeseburger from Friday’s and somebody to make me some crabs legs.
2019,@BeyondMeat @SnoopDogg @dunkindonuts https://t.co/wuRJO8mfGd
2019,Took emma to @dunkindonuts for the first time and they messed up her coffee and our @BeyondMeat breakfast sandwich/over charged us. What gives?
2019,@mhudelson @Wawa @BeyondMeat I heard about this and I also need the Wawa that is supposed to build near me build faster
