date,content
2019,"@WholeFoods I almost teared up when I saw the separate vegan bar. In Boulder I cried when I saw the @BeyondMeat Burger bar two years ago. #happytears Your salad bar has saved me on numerous trips since I have so many food intolerances, gluten free and like to eat #wfpb"
2019,Oooo Dunkin’ has a Beyond Meat sausage sandwich 😮 I’ve never liked real sausage patties but find vegan ones delicious so I wonder how this will compare
2019,"fr though, if @BeyondMeat came out with beyond chicken, @ChickfilA would change the game FOREVER."
2019,"@JonFrew @kfc @BeyondMeat I’m not a vegan, I was just asking a question"
2019,"Main course of the dinner that Elizabeth made for us yesterday evening. Savory meatloaf, except without a dead cow. Made from Beyond Meat’s Ground Beyond Beef and 100% vegan. Served alongside green peas and homemade… https://t.co/tIojFzcIYE"
2019,"Main course of the dinner that Elizabeth made for us yesterday evening. Savory traditional meatloaf, except without a dead cow. Made from Beyond Meat’s Ground Beyond Beef and 100% vegan. Also 100% delicious. @ The… https://t.co/lTNCOeqo3J"
2019,@SnoopDogg @BeyondMeat @dunkindonuts Well that makes it even easier to try. Thanks Snoop! ✊🥰
2019,"Just tried a @BeyondMeat burrito at @DelTaco. It was my first experience with a meatless product thing. It was fine, but honestly the ratio of beans to everything else on the burrito was too high so I didn’t get much of a feel for the beyond meat. It didn’t taste weird though!"
2019,Just when I was looking forward to trying something from Beyond Meat. $BYND https://t.co/DXqkQlXGDj
2019,Fabulous vegan skewers made with with sliced veggies and fruits interspersed with Beyond Meat’s savory Beyond “Sausage” that Elizabeth and I grilled up alongside some fresh corn in the husk. Succulent. @ The… https://t.co/hwIMOUhro7
2019,Got my first @beyondmeat #vegetarian 🌮-  so tasty❤️- love deltaco - bye Taco Bell 👋 @ Del Taco https://t.co/LWlP1y2vCc
2019,"Vegan taco salad made with Beyond Meat’s Beyond Beef® Beefy Crumbles sautéed with diced onions, minced garlic, mild chunky salsa, cumin, black pepper, and oregano, and served with white… https://t.co/P4JEHFxXry"
2018,"What!!!! @BeyondMeat !?! My local @kroger irmos,sc.  Makes consumers request to buy the beyond meat burger.  They have it but have quit putting it in case. Shame @kroger!"
2018,"#beyondmeat plant based burger with portobello mushrooms ,marinated… https://t.co/yWGI9SQXe8"
2018,@EileenRAuthor I LOVE the beyond meat burgers!! Yum yum yum
2018,"@TheHumaneLeague @BeyondMeat I know someone, personally, who is involved with the start up of their “clean meat” lab in Chula Vista! The times they are a changing…"
2018,@jpcacho @MoMo_SanDiego @cityandsand @FoodTravelist @eatlivetraveldr @RoadtripC @Casualtravelist @DarleyNewman @DanaHFreeman @DCWriterMom @CharlesMcCool @fullvanfun @always5star @twodriftersxo @MyVirtualVaca @MadHattersNYC @miliman12photos @suziday123 @SouthernerSays @BarnetteJason @EatWorkTravel @foodwinechickie @ourtastytravels @BackpackBritts @DonNadeau @shellonline @Poohstraveler @Jansfrance @180books @shakeshack @DitkasPlace @BeyondMeat @innoutburger Incrediburgible 🍔
2017,@coyxtreme @Odogg02 @DavidLeoni I dated one. Check out Beyond Meat
2017,My poop smells like @BeyondMeat burgers. I think I have a problem.
2016,Delicious lunch! Jamaican Jerk Flatbread! @TSmoothieCafe with @BeyondMeat chicken! #vegan https://t.co/RbU1sWeZqr
2015,SeaWorld's profits dropped $10 million this year and the former CEO of McDonald's joined the board of Beyond Meat. ✊🏻
2015,Win @BeyondMeat coupons &amp; T-Shirt from @realadvicegal #FutureOfProtein https://t.co/E8ZQ0ySkA3
2015,Win @BeyondMeat coupons &amp; T-Shirt from @realadvicegal #FutureOfProtein https://t.co/E8ZQ0ySkA3
2015,"Try plant-protein now! @BeyondMeat #FutureOfProtein challenge,win prizes! Check out @realadvicegal Beyond Beef Tacos https://t.co/x4AgSzZKqM"
2015,"Try plant-protein now! @BeyondMeat #FutureOfProtein challenge,win prizes!Check out @realadvicegal Beyond Beef Tacos https://t.co/x4AgSzZKqM"
2015,"Try plant-protein now! @BeyondMeat #FutureOfProtein challenge, win prizes!Check out @realadvicegal Beyond Beef Tacos https://t.co/x4AgSzZKqM"
2015,Take the @BeyondMeat #FutureOfProtein challenge for a chance to win prizes! See @realadvicegal Beyond Beef Tacos http://t.co/x4AgSzZKqM
2015,Have you tried plant-protein? Check out @realadvicegal @BeyondMeat #FutureOfProtein challenge - Beyond Beef Tacos http://t.co/x4AgSzI92c
2015,@target Pretty please start carrying @BeyondMeat and other #vegan food at your
2015,"Summer ""go-to"" dinner. Home garden herbs and veggies+chao 'cheese' and @BeyondMeat plus a lovely reisling #veglife http://t.co/qww7umiAxo"
2015,"My breakfast, but could be lunch or dinner. Onion, carrot, corn, kale and @BeyondMeat . #weekend #easy #vegan #wins http://t.co/kRAeNdAaXh"
2012,@BeyondMeat when will the Southeast get to try it? #waiting #waiting #vegan #plantbased
