date,content
2019,"Here’s what this morning’s creative kitchen session brought: #vegan soup w okra, green beans, lima beans, potato, mushrooms, tomatoes, peas, carrots, @BeyondMeat AND this season’s #HatchGreenChile  bought, roasted, peeled, chopped, bagged &amp; frozen by Momma herself. #MadeWithLove https://t.co/t2JDy7PlQd"
2019,@JimmyWayne “Those @BeyondMeat sausages ready?”
2019,@jamenta @BeyondMeat @BurgerKing Ohh! Ok! ☺️
2019,@jamenta @BeyondMeat I had one @BurgerKing and it was amazing! Gluten free now so I order w/o the bun. It’s the BEST!!!
2019,"🚨NEW LISTING🚨
Above market cap rate with 10% increases directly off the Interstate -
Dm for OM -
#cre #tennessee #nashvilletn #qsr #nashville #beyondmeat #cheeseburger #qsr #marcusmillichap #nnn #absolutenetlease… https://t.co/ApY5zU2V45"
2019,"Vegan Chili:  
Cook @BeyondMeat as directed. Add 1 drained can of each: kidney beans, pinto beans, black beans, whole kernel corn, diced tomatoes. 
Stir in: 1 packet Hidden Valley dressing, 1 packet @oldelpaso taco seasoning. Simmer for 15 mins. Serve w/ cornbread or saltines. https://t.co/1wc6TiPRaS"
2019,@GoodVybzDEL @BeyondMeat I love Kroger sales them. I only fuck with the chickn tbh but it's legit as tf
2019,@ErikaJGlover @BeyondMeat Yea! Been wanting to experiment with this “ground beef” 😉 &amp; today it’s the perfect rainy Saturday to do it!!
2019,It’s a @BeyondMeat Chili in Crock Pot kind of day! #allthatandicancooktoo ✔️ #rainyday https://t.co/HdGAXYoeHw
2019,"@BeyondMeat @SUBWAY I tried one in KY. It was pretty tasty. Had a ""meatball"" sub on Italian with spinach, banana peppers, salt and pepper."
2019,@peta @JimmyWayne @BeyondMeat We’re all about @BeyondMeat @peta! (Also use shampoos and other products not tested on our furry friends.)
2019,@peta @BeyondMeat It’s hard to believe how good @BeyondMeat taste and minus the grease.
2019,"#MyView on October 11, 2019 at 12:23 PM/c One more perk having a Spanish-Hungarian lady — she makes some incredible meals.#PintoBeans @BeyondMeat #Sausage @AncientHarvest #Quinoa #Organic #Kale @TexasPete @MtOlivePickles #BananaPeppers https://t.co/9X3FKoek3u"
