date,content
2019,"Ending 2019 with a healthier mindset so that I can be a better version of myself in 2020.
Burrito- Beyond Meat, Veggies, Guacamole, Black Beans, Pico deGallo, Tomatillo Sauce in Spinach… https://t.co/0hD5hVVpTP"
2019,"@AndrewWinston @HarvardBiz @GretaThunberg @dwallacewells @FT @amazon @Walmart @BurgerKing @ImpossibleFoods @BeyondMeat Great write up, lots of inspiring stories!

Would have loved to seen “scaling sustainable aviation fuel” in your section in things to watch for 2020 though😃

Btw...chk out the equally inspiring 2019 recap by @makower in @GreenBiz"
2019,#vegan Chimichanga made with @BeyondMeat is our special of the day. Even @GordonRamsay would rate this a 10/10 https://t.co/TSs9LdSgGt
2019,@vegan_vexation @CarlsJr @BeyondMeat Done !
2019,@VeggieMari @CarlsJr @BeyondMeat I have had stomach pain The last two hours and it hurts so bad
2019,@VeggieMari @CarlsJr @BeyondMeat they told me it was vegan haha /:
2019,@pdxvegans @CarlsJr @BeyondMeat It’s new!!!’
2019,@fTcSHOT @BeyondMeat It’s actually good lol
2019,"@beyondmeat + crispy pickled red onion + @followyourheart cheese 🧀  + pickles + BBQ Ranch Sauce =  HAPPINESS 😍⁣⁣ ⁣⁣ ⁣⁣⁣⁣⁣⁣
⁣
Celebrate Fast Food Friday with Earth Burger! 🙌🏻🍔🍟 

What is your favorite thing from Earth Burger? Let us know down below! 👇🏻😍 ⁣ https://t.co/fMTViHkeml"
2019,"What Beyond Meat, WeWork teach us about IPOs of next decade https://t.co/yaEZMvaTwC"
2019,"Alright, Let’s See What this is All About! #BeyondMeat #BeyondBeef https://t.co/zSM7TrJAHB"
2019,"@uscattlemen @BeefUSA @DebFischerNE
@RogerMarshallMD @JenETLC

https://t.co/RTWlHnoIXa

#plantbased #plantbasedmeat #fakemeat #replicameat #realmeatact #beef #usda #fda #beefusa #usacattleman #3naturalN #nutrition #performancenutrition #beyondmeat #impossibleburger"
2019,"👋👋👍👍😀😀

@uscattlemen @BeefUSA @DebFischerNE
@RogerMarshallMD @JenETLC

https://t.co/BtxHOEjQnW

#plantbased #plantbasedmeat #fakemeat #replicameat #realmeatact #beef #usda #fda #beefusa #usacattleman #3naturalN #nutrition #performancenutrition #beyondmeat #impossibleburger"
2019,@jellyfishfarts Thanks I’ll try them!! I just tried gardenia tonight and I have the beyond meat burgers and hot links for later this week!
2019,The perfect breakfast bowl. #BeyondMeat @ Unleavened Fresh Kitchen https://t.co/w63TsH6wEz
2019,@GlennRubenstein @SamiZayn @WWEDanielBryan @WrestlingInc They need to get @BeyondMeat involved some how.
2019,I had beyond meat tacos last night and they were really good!! Like personally couldn’t tell it wasn’t ground beef.
2019,"Trying a Beyond Meat Breakfast Sandwich (at @DunkinDonuts in Houston, TX) https://t.co/A8qnOb0pSO https://t.co/5qGck4Coay"
2019,"While in Cancun last summer, a Canadian guy struck up a conversation with me while we were drinking by the hotel pool. Said he was a financial analyst and advised me to invest in Beyond Meat. I took his advice and saw a ~40% return in less than a month. Wish I got his name lol"
2019,@BeyondMeat you're doing it right. Second time eating it and it's always good when seasoned right.
2019,"@BeyondMeat @k_obrand @teletessie @littlehotvegan 
I just had your sausage and it’s one of my fav products! Thank you for being an incredible vegan brand."
2019,"$BYND
I’ve made thousands shorting beyond meat poison, and I will continue to until it’s is delisted. #BYND #BeyondMeat #Garbage https://t.co/JCMFckd0Gw"
2019,"@Avery7553 And a vegan diet tends to be...overly expensive and not many can afford it.
Meats also expensive but not as expensive as a pair of beyond meat burgers can get"
2019,"Roasted corn, baked sweet potato bites and beyond meat burgers..... ya girl is doing the thaaaaang"
