date,content
2019,"@dangreene @adashek @BeyondMeat @Verlana @alaraway7 Swims with fishes, cement shoes, waste management, Tommy two times, two times. 

I'm not here to amyoozh yooz"
2019,"@dangreene @adashek @BeyondMeat @Verlana @alaraway7 *punches. 

Dumbest autocorrect since ""ducking"""
2019,"@dangreene @adashek @BeyondMeat They look pretty good, but we're preparing a day ahead... 50 person party this evening (1 vegetarian!) for @Verlana's gym. 

@alaraway7 doesn't pull any lunches, though, so we'll get a clear read, guaranteed. https://t.co/KV62qLchU7"
2019,@adashek @BeyondMeat Not sure. ...but our boy @dangreene is CRO there.
2019,"Now that we have a vegetarian in the house, we're making @BeyondMeat meatballs and some kind of vegetarian sausage. 

Seems like it's gonna work. 🤞they hold up in the gravy. https://t.co/qLmcBs6cZE"
2019,"Hey, @DelTaco! You need to offer Beyond as an option for your new tamales! cc: @BeyondMeat"
2019,@wong5150 @BeyondMeat I can’t believe you would eat that processed 💩!  Eat real food!!🥩
2019,I ate two #BeyondMeat tacos on accident before I realized the truth. https://t.co/Fc0E6KbyK9
2019,"https://t.co/dnnKuJRuQZ: The backlash against Impossible and Beyond Meat burgers going mainstream.
https://t.co/vnQiueODNM

via @GoogleNews"
2019,@AustinLieb @McDonalds @BurgerKing @BeyondMeat They don’t really care about social responsibility. They just saw a market full of suckers?
2019,"Hey @SUBWAY - how are the sales of your @BeyondMeat meatball subs going? I grew up devouring these subs but stopped eating animals a decade ago. 

I’m tired of walking by Subway locations in most places I visit because you haven’t gone National with the Beyond meatball subs! https://t.co/47WIXzmb1C"
2019,I got a beyond meat Cali burrito from @DelTaco and it fucking SLAPPED https://t.co/AMYZRvVxza
2019,"The best use of @BeyondMeat I’ve tasted - katsu curry from Kuya Del, one of the businesses in Spice Kitchen Incubator. https://t.co/A6NwvIPHnH"
2019,"The @ImpossibleFoods burger is the new brown 💩 instigator.  Get yours today and plan out the next 24 hours to be sitting on the porcelain throne constantly. I’ve read this about @BeyondMeat burgers too. The new #exlax😂
https://t.co/gdnyDXjAsB 

https://t.co/UZ3ZOtS0c6"
2019,@fancypirate8 @darkcrystal @BeyondMeat @ImpossibleFoods @BillGates @BigMachineMusic @CDCgov @BayerPharma The series looks great.
2019,@fancypirate8 @darkcrystal @BeyondMeat @ImpossibleFoods @BillGates @BigMachineMusic @CDCgov @BayerPharma On the big screen?
2019,"I’ll say it. @darkcrystal could be sponsored by #Monsanto, @BeyondMeat, @ImpossibleFoods, @BillGates, @BigMachineMusic, @CDCgov, or even @BayerPharma and I will still watch! There I said it.  This will be amazing!! They’ve had my essence since the ‘80s. https://t.co/PfcodyxCEU"
2019,@lildumbassseal honestly there are so many great meat substitutes that you can cook your favorite meals with. beyond meat is an awesome plant based no soy protein source and i also use gardinia a lot! pretty much any recipe can be modified and made vegan :-)
2019,Got that @BeyondMeat upgrade! Thanks @CarlsJr! https://t.co/F89BBBRvqa
2019,"This panel discussion brought to you by plant based protein. And, it's delicious @BeyondMeat @brandstorytv #plantbased #disruption #elevate19 https://t.co/W1kDCoS1DN"
2019,Jim Cramer: Ethan Brown and Beyond Meat - A Story Worth Exploring https://t.co/gzHDqaoR6K via @RealMoney
2019,"Kein Fleisch burger 🍔 done right w/ @beyondmeat 2.0 burgers, @followyourheart gouda cheese &amp; mayo🧀, mushrooms, garlic, tomatoes, @dtfarmersmarket arugula, sauerkraut &amp; mustard on a ciabatta bread 🥖! Thank’s… https://t.co/iBh3xFCQBq"
2019,@kristiina_and @DelTaco @BeyondMeat That would be a game changer!
2019,I ate the Beyond 8 Layer Burrito from @deltaco (sans two layers of cheese and sour cream) and it was tasty. I liked it better than the Beyond Taco. @BeyondMeat is more palatable with beans. 🌯
2019,Free beyond meat will not convince me to like d*l t*co or repress my resentment for those of u dragging me there
2019,Im faker than beyond meat
2019,There's only beyond meat between them now https://t.co/yQ2CqtVyMO
2019,"Results! This came down as expected! It’s not about who won( @McDonalds) it’s about who came in ahead of @ImpossibleFoods &amp; @BeyondMeat. Fucking late night stoner craving, onion infused, nasty ass, White Castle sliders.  😝. Impossible &amp; Beyond, you should be ashamed. 😂 losers. https://t.co/NPc3QJOVRM"
2019,@MSTheCause @ImpossibleFoods @BeyondMeat @McDonalds @WhiteCastle Sure. Some.
2019,"@bunkybun I keep thinking of the biblical ban on pork.
No longer like any pork, very rarely chicken or fish, still struggling with beef. Working on it.
Next will be animal milk, then eggs.
Read about Been &amp; Jerry's began ""ice cream,"" and Beyond Meat in meat aisle."
2019,We tried the @BeyondMeat sausage tonight and it was tasty! https://t.co/tedlpsG3dS
2019,"@DelTaco your beyond meat tacos taste good, very nice very cool"
2019,"Never been to any @wingersrg but now I have a reason with four @beyondmeat veg options on the menu that can be made vegan! #beyondmeattakeover #yumyum #veganforeverything #vegandays #wingers @ Salt Lake City, Utah https://t.co/cDhDWG3Cdr"
2019,@jesseprice_ @CarlsJr @BeyondMeat How was that? Not sure when I'll be able to get back to Canada
2019,"@abortmeplease @CarlsJr @BeyondMeat Yeah same. Luckily I'm able to hit all these spots while on the road (see also, I went to Del Taco last night for the Beyond Avocado Tacos)"
2019,"@xUrbanCowboyx @CarlsJr @BeyondMeat No Carls Jrs in my area and I just haven't been near one while hungry on the road yet, haha"
2019,Finally tried @CarlsJr 's take on the @BeyondMeat Burger. (order without cheese and mayo and it's vegan!) I approve. https://t.co/u1x1XQ1tB3
2019,"@JamesHartagram @DelTaco @BeyondMeat Well nevermind then, haha"
2019,I tried Del Taco’s Beyond Meat taco and it was great. And sustainable
2019,@WillTheHeat Bro go to Whole Foods and get beyond meat burgers and sausage
2019,"Y’all. I tried a Beyond Meat burger.

As a meat eater, I was curious about all the fuss about these and Impossible Burgers.

I have to say, I was thoroughly impressed. The texture, the taste, everything was 99.9% spot-on! The taste varied ever so slightly from the real thing 1/2"
2019,"The future is here!! Well more then it was...yes these crappy, delicious beyond meat tacos 🌮 were scarfed down today w/ fries 🍟 I didn’t need the fries but, oh well - I wanted the full… https://t.co/gCyu0FQq1i"
2019,@jkpeterson777 @DelTaco @BeyondMeat @foodbeast I saw and I kinda had a change of heart
2019,"So close to my dinner, you might get your eyes wet.

#vegan #diner #beyondburger #beyondmeat #veganburger #spicybois #pickle #ilovepickles #mmmdelicioso @ Blue Plate Diner https://t.co/wb6NqHUatx"
2019,@ChaseThomas89 @BeyondMeat Next you’re gonna bulldoze my house and ground all planes. WAIT
2019,First time eating @BeyondMeat burger. Always wanted to try. It was worth the wait. Absolutely amazing. Better than the real thing
2019,"Lab-grown meat! When science and public demand align, amazing things can happen. Traditional producers will have to adapt in more interesting ways than defending the word 'meat.' @BeyondMeat"
2019,"@amyythevegan Meat: Gardein, Tofurkey, Beyond meat, Field roast 
Cheese: Diaya, Chao, Vio life (my personal fave), Miyokos 
Milk: Silk brand has soy, cashew, coconut, almond etc. you can find many brands of plant based milk in almost every store. 
Just to name a few!"
2018,okay. #FreeBirds is good. and there’s beyond meat beef here. so. vegan friendly.
2018,@givinguponhope @CarlsJr @BeyondMeat Wut??
2018,"Hey @DelTaco, bring the @BeyondMeat options to Salt Lake City, Utah. I need more options. Thanks."
2018,I'm in. Who else is buying? Beyond Meat is going public https://t.co/nagsHphAAS
2018,"Meal preppin’ a bit. Corn, vegan cashew cheese queso, pinto beans and beyond meat crumble. #onsundayweprep #tacoserrrday #fitfelines #vegansofig @ Murray, Utah https://t.co/LYgKjAxLmB"
2018,How I look frantically calling and driving to every Whole Foods in the surrounding area trying to find beyond meat sausages https://t.co/w2OzCmCORh
2018,@FREEBIRDS_WB @BeyondMeat @BlaqMario
2018,"@BlaqMario I believe they still have a vegan menu from Beyond Meat. It’s temporary for now, they might make it permanent."
2018,@stackinthehouse The Beyond Meat burger?? It’s a beautiful thing.
2018,.@BeyondMeat ever since @amazon purchased @WholeFoods your product is never in stock! https://t.co/39t0OTZXYw
2018,EVERYONE needs to go to Campos Coffee. They just hooked us up with some of the best brews around. They also have bomb food (including Beyond Meat burgers).
2018,@fluidtheory @BeyondMeat I’ve been wanting to try those burgers since I first read about them a couple of months ago. Whole Foods is the only place I know that sells them.
2017,@VeggieGrill @The300lbVegan @BeyondMeat @SmasherBrown @paulbcummings @PollutionTV Wish we had one in Northern Utah!
2017,"So @lesliemeans and I love the Beyond Meat burgers, @rfhbill. Sorry you didn't have the same experience."
2017,@seesesh You could just do Smith's. They have both of these brands and you could just season on your own. The Beyond Meat is probably WF. https://t.co/puMQoGwKCu
2017,Big pot of fortifying beyondmeat chili. #WhatVegansEat #YummyForMyTummy #StuffForMyPieHole… https://t.co/4Lp3DghZNH
2015,@BeyondMeat Just tried the chicken tenders - #awesome. Only question is on serving size - how am I supposed to limit myself to just three?
2015,@mamato3blessing @BeyondMeat We did those kinds of homemade meatballs for my kids - they totally didn't know the difference. It was awesome!
2015,"Plus, @WholeFoods in Park City now carries @BeyondMeat - the game changer for vegan ""meat"" http://t.co/I9jgdFrjMP"
2015,"@heritgegiftshop @BeyondMeat Thanks, guys! :D"
2015,@TSUT01 @BeyondMeat mmm!!
2014,Are you going #MeatlessMonday for lunch? Try one of our fresh toasted wraps made with @beyondmeat! #Utah http://t.co/m30P5RgWgc
2014,"@BeyondMeat Hey there, Beyond Meat folks! Thanks for the RT!"
2014,@peta @BeyondMeatTruck @BeyondMeat where is this?!?
2013,"RT @johndoerr: @BillGates
#FutureofFood @beyondmeat @kpcb http://t.co/G31ByUAcIb"
