date,content
2019,Good thing that happened today: made a beyond meat loaf and it tasted great!!
2019,Hardee’s has beyond meat starting 12/30 let’s go baby
2019,"@sheetz @BeyondMeat Honestly. Truly. Y’all have gifted me with the best tasting, cheap fast food vegan burger that I can have in a small town so THANK YOU!"
2019,"The @BeyondMeat burger at @sheetz checks out y’all 😍 #vegan #options! 

Tip: get it with BBQ sauce. Only 7$! https://t.co/nYPQL3JvAh"
2019,@Hardees why doesn’t your website allow customers to search which locations have the beyond meat items?
2019,Can we talk about how delicious the @BeyondMeat Sausage sandos are at @dunkindonuts?! Wow. Pleasantly surprised.
2019,"@FUOMFWTBS @Dai4u13 You have to try it! Its delicious! But yeah, I use the beyond meat crumbles but I season the shit outta it to taste good. Boca burgers are bomb from Baker's !"
2019,#friday #lunch #special #beyondmeat #shrimp @ Tier 7 Eatery https://t.co/ZXU1KcZGC7
2019,@QuancyClayborne I tried a Beyond Meat burger from Whole Foods a few years ago. It was just OK. I’d rather spend my money - and calories - on a real meat burger.
2019,Makin' Beyond meat enchiladas with red sauce for dinner. I dont feel well but I'll suck it up for my viejo.
2019,We 💛 the @BeyondMeat burger at Bistro 1908. Use your meal plan to get and a drink for just one punch! #Vegetarian #JMUDining https://t.co/wp38GQBTmF
2019,@guapdad4000 Beyond meat and AMD
2019,"Y'all better stop eating that Beyond Meat, Impossible Meat and whatever else they create in a lab. Before you know it you walking around with cancer and an extra arm growing out the side of your neck."
2019,"Shafer has three delicious burger options today, including the plant-based @BeyondMeat burger!

Check the menu here or on https://t.co/bc7BooSbRa! https://t.co/1Vbwn2KrMf"
2019,"@BlackCherryCor @engadget Thought you were talking about KFC stock at first Cor, that “Beyond Meat” was solely their new product.  And I thought “how could KFC grow any bigger than they already are?”  Looked it up, I’ll check it out!  And FYI, I eat this all the time: https://t.co/McFa8KyhW6"
2019,LMAO @kfc &amp; @BeyondMeat said F*CK @PopeyesChicken #vegan 😂🖤 https://t.co/EeM6MiBz26
2019,@engadget “Beyond Meat”.  Doesn’t sound too promising.  🤢 #KFC
2019,"@makalajohnson__ There are SOOOO many mock meats on the market. If you want true meat tasting things go for Gardein or Beyond Meat or No Evil Foods. But I like mushrooms, jackfruit, bean based things as my meat subs!!!"
2019,The future is #plantbased 🌱❤️😊 https://t.co/syHqzFywd2 @VegNews @GrowPlantBased @BeyondMeat #Vegan
2019,@BurgerKing question ? Will there be a designated grill for the @BeyondMeat burgers ? Asking for myself
2019,@morgesona Moringstar Farms has the best breakfast sausage. I am a slut for Beyond Meat Burgers (I ate 8 in one week 😅). But my mom’s been a vegetarian for 27 years and I’m mostly one.
2019,Gonna make some Beyond Meat spaghetti with bell peppers and mushrooms. Gonna grab some garlic bread too. #spaghettiSunday
2019,Hell yeah! Gonna make a lasagna with beyond meat. Gonna be so good. 😋
2019,I think I like Beyond meat better than morning star.
2019,My Viejo came home from the commissary with Beyond meat! He wants to try it. 😊
2019,@bgomezreports @jimcramer @BeyondMeat @CNBC @SquawkStreet And a bleak future it is
2019,@Gingerkidd130 @BeyondMeat HOW WAS IT?
2019,@hoopism Grilled veggies and Beyond Meat Spicy Italian Sauage
2019,@nicoterriamon Did it have the skin texture of sausage at all? Because the Beyond Meat sausage does and it’s the only one I’ve had that’s been actually enjoyable tbh
2019,https://t.co/6L94RDPMC4 @VegNews @BeyondMeat
2019,"@CNN @WholeFoods sells beyond meat to enthusiastic, hungry and Earth-conscious customers every day."
2019,https://t.co/CF6IjYjAvK Awesome news @BeyondMeat 😊 #vegan
2019,Beyond Burger! #veganfood #vegan #plantpowered #plantbased @beyondmeat @ TGI Fridays https://t.co/jbxZKCW4qV
2019,#NoMeat #Nachos #beyondmeat #vegetarian @ Tier 7 Eatery https://t.co/5NJUEDibwX
2019,@Hardees plz have the beyond meat burger soon :(
2018,Our first @BeyondMeat Burger😍😍😍😍😍 OMGosh!!  Taste just like meat! Texture! Flavor! https://t.co/5sb4cBo2dT
2018,@TailgatingChall @runitbymom @BeyondMeat I would like to see how close the taste is to the real thing.
2018,@Pixxydoodle @TailgatingChall @BeyondMeat @DannyLeBlanc24 @McGuireSuzette @4judyblue @BusseDenise @Varightone1 @nasyryus_hill @spyderrider63 @SKocey101 @dega_boy_87 @jhcowboy3 @CMANGO @rudyglove27 @MamaPKL Thanks Val 😊
2018,I played Spades at a BBQ...my card has been renewed for a year. I did bring Beyond Meat burgers and LaCroix so maybe only for 6 months
2018,Holy crap. Everything @FieldRoast makes is amazing. I had the corn dog nuggets tonight and good. lord. I am obsessed. Them and @BeyondMeat are reinventing vegetarian cuisine here. 💜
2018,So everyone has discovered @BeyondMeat burgers because I haven’t been able to find them in my stores in 3 weeks😠😨.  I should have kept it to myself !
2018,@BeyondMeat I’ve been a fan of your brand ever since my guy was on @NPR like 6 years ago or more. Really exciting to see the growth of the company. Keep up the good work!
2018,Sign of the times! Great #vegan news @BeyondMeat https://t.co/u4V7ePiLE6
2018,"@rachelmercer @cpbgroup That probably works for typical consumers, but seems to be the double-edged sword for legacy brands, a game-changing event would need to get people to reengage. @ImpossibleFoods &amp; @BeyondMeat are doing that for me w/ @TGIFridays &amp; @WhiteCastle. PavingforPizza is 👌though."
2018,Three grocery stores later @kroger came in the clutch with @BeyondMeat burgers #happy4thyall #igotsburgers
2018,sorry the beyond meat burger is better than the impossible one
2018,@BeyondMeat @Rae2Three
2018,@BeyondMeat I have been looking for ur #BeyondMeatBurgers Drove 70 miles in rural Virginia and checked 3 stores that were listed as distributors on ur website but no luck.😔 Any suggestions? #vegan #EarthDay #health 💚
2018,Don't miss our second @BeyondMeat Burger Sampling at Burger Studio in Festival today (12:30-1:30p)! #VeganEats #JMUDining 🍔🍔🍔 https://t.co/6IWENk3wqK
