date,content
2019,Did you know you could ride light rail from Sea-Tac Airport to a transit station less than three blocks from here? And they serve amazing @beyondmeat Beyond Burgers in their delicious #vegan Chophouse Burgers? Don’t… https://t.co/QKsTHKskcA
2019,@BeyondMeat I love that this continues to get likes.
2019,"Opinion: buy @ImpossibleFoods and don’t buy @BeyondMeat; the former, acceptable, the latter, not."
2019,@BeyondMeat I did it almost a year ago https://t.co/3bTQRhplqF
2019,@TacoTimeNW All good! Thanks for letting me know. Guess I’ll get the beyond meat ALONG with my rushing TD taco!
2019,@TacoTimeNW that’s TWO beyond meat free tacos!!!!!
2019,Enjoying the @beyondmeat soft taco at @tacotimenw and it. is. glorious!!! 🌮🤩🌮 And the kids and I can’t get enough of the Mexi-Fries! So good! 🍟 Well done Taco Time! Please expand these options to more locations!!! 💚… https://t.co/nCoermQ5jL
2019,@TacoTimeNW time for free beyond meat tacos @j_eng206 @louie_cifer
2019,"@tonyposnanski Ok, but make a @BeyondMeat burger!"
2019,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼 looks like Taco Time is piloting #BeyondMeat! Bring this to #Ballard! PLEASE 👏🏼👏🏼👏🏼👏🏼🌱 https://t.co/m1aLCtKaAp
2019,"Giving their ""Beyond Meat"" burrito a try. Only at select locations. (at @TacoTimeNw in Renton, WA) https://t.co/OpgdQYbmqW https://t.co/sminbRjCfo"
2019,"Пока европейский мир только начинает вкушать первые куски Beyond Meat, купленные мной их акции уже подорожали на 17.9%"
2019,"I just read on the bottle that Love, Beauty, Planet is owned by Unilever lol that’s so sad that’s like if Beyond Meat was owned by Tyson"
2019,"I been a vegan food making machine! I wanted to share some of the food I’ve made... 🥘 🍴 
•
•
#Vegan #Recipes #VeganRecipes #Meatless #Veganism #homemade #HomemadeFood #Recipes #BeyondMeat #Vegetarian #Pasta… https://t.co/BEV0N9ltcg"
2019,I ate a Beyond Meat burger today so I might have elevated levels https://t.co/wauLSSiIqe
2019,@veganpoIice @BeyondMeat Wow looks like my freezer lol jk
2019,"Ooooohhh, another reason to chow down on a  Beyond Meat burger. https://t.co/mglUw1XXwK"
2019,"Did you know? We are serving @BeyondMeat at our @wallysdrivein Buckley location!
Vegan all the way! Bun, sauce and all the toppings.😍
Finish it off with @DoleSunshine Pineapple Whip! https://t.co/IGgu1T3mKs"
2019,Tried @BeyondMeat yesterday at @TwinPeaksLodge - was good and had the right texture and taste as meat. Would definitely eat it again. https://t.co/EglDPsz1TV
2019,If you haven't had a @BeyondMeat burger yet then you really need to get a move on 10/10. They sell them in Tesco. Don't buy them all before I get home though.
2019,"@SureReno @ShellenbergerMD @ImpossibleFoods @BeyondMeat I wasn’t being rhetorical: I haven’t seen anything along those lines, and was hoping you had, even if it’s preliminary and non-peer-reviewed."
2019,@SureReno @ShellenbergerMD Have you seen any studies comparing the relative healthiness of @ImpossibleFoods or @BeyondMeat beef substitutes vs. grass-fed beef?
2019,"Through my ridiculous travels I’ve tried all* of the major fast food meat alternative items. I’m in no position to give awards, but I think @DelTaco deserves one for their @BeyondMeat #BeyondTacos. https://t.co/N8dsfsovX3"
2019,"@AukeHoekstra @AdamMarblestone @ImpossibleFoods @BeyondMeat Hopefully so. I have done my own research, which supports the idea that factory farming practices like battery cages and debeaking result in lives not worth living, but that the health issues from overbreeding are manageable. If so, it makes more sense IMO to focus on practices."
2019,"@AukeHoekstra @AdamMarblestone I’m all for more plant-based meat like @ImpossibleFoods and @BeyondMeat, but no, I can’t agree with those absolute statements without more info. Do we have good data on whether properly raised but overbred chickens have lives worth living (contentment &gt; suffering)?"
2019,"@trutriciahelfer True, but being a vegan sucks. Take this sub: I've had to get a ""veggie delite"" from @SUBWAY and get some @Tofurky BBQ Chick'n to set this up (Subway is working with @BeyondMeat for a meatless marina sub though). https://t.co/BYBjsePy63"
2019,"@SUBWAY “Keeping an eye out for the future” is part of the reason I eat @BeyondMeat, but it’s mostly that it’s unbelievably delicious 🤤"
2019,Beyond meat way better than impossible https://t.co/rf44aaw4Yc
2019,"@Cassieview @GretaThunberg Friends:

Beans
Legumes
Nuts
Rice
Tempeh
Chickpeas
Beyond meat
Impossible burger
Violife and ciao cheese
Oat and cashew milk
Even Ben &amp; Jerry's has non-dairy flavors
Zing bars"
