date,content
2019,"@ChrisDos @sheetz @BeyondMeat You know East Side Burgers, in Paris?"
2019,"My dinner tonight was delicious 😋. Here to share with you simple and easy options. 

https://t.co/89bCj8V5SD

#plantbased
#vegan
#meatlessmonday
#beyondmeat @… https://t.co/se6PVOTaID"
2019,KFC rolls out first plant-based fried 'chicken' with Beyond Meat – but we have no idea yet if it will come to South Africa https://t.co/EvS8utv6Gx via @BusinessInsider
2019,Next up! Black beans and rice #blackbeansandrice #beyondmeat #beyondsausages #spicy #slowfood #vegetarian @ Debi's Kitchen https://t.co/TbInp4oEVI
2019,"Hey @dunkindonuts, congrats on your monumental progress of a nationwide Beyond Meat sandwich rollout next month! I am joining @tryveg in asking you for a nationwide vegan donut next! https://t.co/GdUhy2z5RM"
2019,@AndyTarnoff @BeyondMeat I will get some. Now I'm hungry for brats!
2019,"@AndyTarnoff @BeyondMeat Where did you get them, I'd like to try them."
2019,"Can you imagine what the 1,000-day celebration is going to be?

Probably Chicken McNuggets and Big Macs, but the WH will tell everyone it’s Beyond Meat Nuggets from KFC and Impossible Whoppers from BK. https://t.co/8zTIDLdPV9"
2019,New at Webster's Marketplace! Beyond Meat is a great plant-based meat alternative and on sale now through Wednesday at Webster's! Beyond Meat products are located in our meat department. Thank you for shopping our locally owned grocery store! #WOWingsince87 #SeeYaAtWebsters https://t.co/6zOBem2hCO
2019,@BeyondMeat in the US for a few days where can I buy beyond meat burgers and when you coming to the UK?
2019,#TwitterlessTim and I are trying out @BeyondMeat burgers tonight! Stay tuned for the verdict.
2019,@OpieShow @OpieRadio @BeyondMeat I just had my first @BeyondMeat burger today. It was sooooooo damn good and juicy
2019,Thought of a good one.  Beyond Meat’s stock price is ‘beyond’ ridiculous at this level atthe moment.  $bynd
2019,@deenashanker Another aspect: food safety/food microbiological concerns. The Beyond Meat should have a lot less shelf life concerns compared to fresh beef. Unsure about the Impossible Meat.
2019,@RivalBass @BeyondMeat FESTIVAL. They’re not cheap but I saw an article saying their goal is to be as cheap as animal flesh so I hope it’s true :-) I’ll be waiting
2019,@RivalBass @BeyondMeat Oooh then it wasn’t but you have to try Beyond Meat burgers &amp; brats. Nothing compares
2019,@RivalBass Omg. Were they @BeyondMeat
2019,Listen y’all know I loves me some water so I wanna see what this @justbetter_ water taste like. Somebody recommended these @beyondmeat burgers and y’all know… https://t.co/tp8u4NAkLB
2019,@MalcolmJenkins @BeyondMeat @72TraThomas I concur. The burgers are really good. The sausages are better.
2018,@BeyondMeat @ChefCharity Ok I can't I just can't wait to try this deep fried!
2018,Not a sponsored post. #VeganLife (The @BeyondMeat burgers are brats are absolutely delicious. #TitanUp) https://t.co/EMPAOZ5VyG
2018,"Oh yeah, I made @BeyondMeat banh mi tonight. https://t.co/x6cE5igFzz"
2018,"Excited to announce @BeyondMeat is now on our entire menu lineup, 24/7 including delivery with @EatStreet 

Come try for yourself Madison! https://t.co/RBEdSKzSOo"
2018,"It’s here! The Beyond Meat burger! Gluten-free,… https://t.co/VioeBRiZBx"
2018,@BeyondMeat 🌭👍😊
2018,@TyraTheTaurus @gardein @BeyondMeat @sproutsfm @Tofurky @daiyafoods @WholeFoods @FieldRoast @Lightlife  https://t.co/qyfLHOu2GI
2018,@HotbellyPig @BeyondMeat Yes inhaled it in like .3 seconds tho barely remember it :'(
2018,@theother_greg @BeyondMeat  https://t.co/G7CjbL4qbj
2018,@theother_greg @BeyondMeat So y u still eating....nvm https://t.co/LWh6eq3H4n
2018,My first @BeyondMeat beyond burger experience and h o l y s h i t https://t.co/OxScEuDLoc
2018,"The best #vegan burger ever @beyondmeat @ Milwaukee, Wisconsin https://t.co/PgIKnWxsuU"
2018,5-spice fried rice W/ beyond meat chicken strips! #ourcycleoflife #eatlikeyougiveafuck… https://t.co/IgDW2iYgxC
2018,@MichelleYCho @BeyondMeat @katemara Lucky you samplers!
2017,I can't even express how excited I am to try my homemade @BeyondMeat Big Mac this weekend. #betternotdisappoint 🍔😍
2017,@tiffanyr__ @WholeFoods @BeyondMeat They are supposed to be amazing!
2017,I guess I'll be heading to @WholeFoods to get my @BeyondMeat burgers tomorrow! #stoked 🍔😋
2017,"Tried the @BeyondMeat burger and liked it, and I'm not a veg burger person at all. Good to try it after hearing @UhhYeahDude talk about it."
2017,"Baked #caponata @BeyondMeat  crumbles, EVOO, #olives, peppers, puttanesca &amp; soy yogurt #mozzarella #sicilian #vegan https://t.co/OCjM5dkuWO"
2017,"Impromptu vegan breakfast for omnivore guests. Beyond Meat beefy crumble, onions, sun dried… https://t.co/x745Qv7PLB"
2016,"""Try this burger.""
&lt;nomnomnom&gt; ""This is great! It's not beef. What is it? Bison? Ostrich?""
""Nope. Plant.""
""No.""
""Yes. @BeyondMeat Burgers."""
2016,Just had the Beyond Burger from @BeyondMeat Tasty &amp; Amazing! The first veggie burger The Boy™ liked and ate
2016,Great article! Substitute @BeyondMeat for the chicken ;) https://t.co/peNjvW1trz
2016,"Day 2 of this bowl plus Beyond Meat chicken strips. Take that, world."
2015,"They sell Beyond Meat here??? @ Woodman's - Menomonee Falls, WI https://t.co/q9RcKdc5oN"
2014,"HEY @BEYONDMEAT, I WANT TO
#FEEDTHEBEAST! PICK ME TO WIN A FREE
BEAST KIT BEFORE IT HITS STORES THIS FALL!"
2014,@veganmilwaukee @BeyondMeat @WFMMilwaukee yup! In the freezer section.
2014,Excited to try the new @BeyondMeat beef-free crumbles. Found them in the freezer section at Whole Foods MKE. http://t.co/tnmTRNPqnf
