date,content
2021,Beyond Meat (BYND) Declines 12% on Slashed Q3 Revenue Outlook https://t.co/uBpJwneSDX
2021,"Earn $0.00 plus a $3.00 bonus when you purchase ""Beyond Meat® Sausage"" using Magic Receipts! https://t.co/SLig24Lznt"
2021,"@beyondmeat sausage, @justegg foldables, and @FieldRoast chao cheese for a quick/easy/basic breakfast sandwich. next time I’ll be more prepared with some spinach, potato, and maybe some peppers ❤️✨💕 #eatvegan #easymeal https://t.co/mIdUPRwEP8"
2021,@BeyondMeat @PETAUK Too bad there's beef in the french fries.
2021,Impossible is more realistic but I have come to the conclusion that I like beyond meat more than I liked the taste of real beef and that’s ok 😌
2021,@BeyondMeat #AnimalWelfare
2021,"Papi’s DELICIOUS burgers! Mine are GF, @beyondmeat , with a grilled mushroom cap as a top bun! https://t.co/83ZOiFm7Cn"
2021,@GISELLE_HGC Most I know IRL eat beyond meat and are skinny fat. Hard to take them seriously
2020,@TheBlackxRanger @SoupIsCareful @HoneyDivineDrip @datdropdoe @pizzahut @BeyondMeat https://t.co/01wMHRwBLM
2020,"CNBC: McDonald's unveils McPlant line, which includes meatless patty co-created by Beyond Meat.
https://t.co/TUjPkc9QjJ

via @GoogleNews"
2020,"@BeanPieBrother I used ground Beyond Meat, veggie broth, white chili beans, tomato, chilis, bell pepper, onion, a jalapeno and various seasonings (garlic, Old Bay, salt, black pepper).

Worked really well!  Adjust/substitute to your liking and let me know how it goes!"
2020,Does the floor say “Beyond Meat?”
2020,"@toddeldredge @Sunwarrior @BeyondMeat Lots of roasted pecans, almonds, macadamia nuts. Also love some @bouldercanyon chips and @gardenofliferaw protein bars. If I do a meat substitute I tend to go for jackfruit or @QuornUS."
2020,@travvytree I ended up getting chicken at Walmart but that’s good to know about Aldi! Were the beyond meat patties expensive there?
2020,@taylorthyme @nytfood @BeyondMeat Dang
