date,content
2021,"@joshsteich I just ate 3 tacos and they were kinda stingy with the Beyond meat, but delicious."
2021,@alienriots @DelTaco @BeyondMeat As a former bacon eater I am mucho impressed they’re using it to help reduce some cow consumption :) a little bit of the right thing at a time is rad
2021,@CommunistKaiju @DelTaco @BeyondMeat YAYGAY 🤌🤌🤓🙏
2021,@CommunistKaiju @DelTaco @BeyondMeat “yyYYYYYuuuUUUUMM” ?
2021,@Aimee_Arti @DelTaco @BeyondMeat I went with another epic beyond burrito and ZOMG 🤤 so good
2021,@allamericanrube I thought it was that they’re fash and based because they don’t have barbecue sauce or beyond meat or something
2021,"@jen_powers43 @keithrankin0_0 @eccogrinder I have to admit I'm more of a Del Taco person now that I live in the West. Wider range on their menu, and they have Beyond Meat available."
2021,@PandaExpress @BeyondMeat I need this in my life.
2021,McDonald's to test McPlant burger created with Beyond Meat in eight U.S. restaurants next month https://t.co/sounM2H8FA
2021,"@saifedean @BeyondMeat Don't know exactly where the idea of ""fiat food"" comes from but it is the perfect description of that crap."
2021,@saifedean @BeyondMeat Love to see it.
2021,"Ok Mrs./Mr. @BeyondMeat explain yourself!!! Why are your burger patties that gosh darn good??? Sorry that this is not PG, but I’m high AF and STILL ate them!!!!! 🍔🤤🌱"
2021,"@ramseyboltin This isn't targeted to vegans, it's targeted at meat eaters who might consider a vegetarian/vegan diet if their favorite flavors/textures could come along on the ride. That's literally Beyond Meat's mission statement."
2021,Just used @DoorDash to get the new @BeyondMeat Hot Chick sandwich from @DogHausDogs pretty damn good!
2021,Panda got beyond meat orange chicken now! Omg! 😭
2021,".@Suns lost, but hey we got a free burger. Thanks @CP3 &amp; @BeyondMeat! 😆🏀 https://t.co/bn5dts9LL3"
2021,"@BeyondMeat I love your products, but this isn’t the way to cut calories brah. https://t.co/RVNH0cx7TL"
2021,@justegg @BeyondMeat @WholeFoods @DoctorHummus @BetterBitesBake #agree
2021,first full meal of the day some beyond meat tacos from Del Taco
2021,I’m vegan and I won’t eat Beyond Meat. Bad taste and costs too much https://t.co/ANnIvNeBzJ
2021,"@ImaginariumCS @eattattooedchef @BeyondMeat @CalifiaFarms @GeeksWhoEat I didn’t see sweet when I grabbed these. Though I will say, they weren’t really “hot”."
2021,"anyways, i just bought a dollar stock in beyond meat 🥲 https://t.co/b0MnVSkEU3"
2021,@NoKimOnlyZuul Are those the Beyond Meat ones?
2021,"Vegan Beyond Meat Thickburger from Carl’s Jr. in tiny Holbrook, Arizona (population ~5,084). You can get this plant-based burger at every single Carl’s Jr. and Hardee’s location in the United States! @ Carl's Jr. https://t.co/A2L0PuvkLO"
2021,"@BeyondMeat x @BrennanRusso 

Got AP winning 🏆 

Look Good...Play Good... EAT GOOD...

Get paid 💰💰💰Good!!! https://t.co/NJSuM2ex3v"
2021,"@BeyondMeat x @BrennanRusso 

Means AP is WINNING..

Good looks!!! Eat right.. Play right.. Get Paid 💰💰Right‼️‼️‼️ https://t.co/z3MrbN0F8G"
2021,@epicurious I like Beyond Meat's crumbles but their ground/patties and Impossible's are so full of coconut oil that I get sick the next day.
2021,I will never be eating beyond meat again that’s shits fucked
2021,@LeoDiCaprio @BeyondMeat Sounds good
2021,@jpgftw @Garrett_Archer @BeyondMeat I'll take that recipe please and thank you!
2021,"Beyond meat egg rolls with kidney beans, sautéed garlic squash cabbage bell pepper and jalepeno 🔥 #Beyondmeat #Eggrolls #Veganeggrolls #veganrecipes #veganfood #veganchef https://t.co/3KFRM6Fmg5"
2021,"Taco Bell is bringing beyond meat. Late to the damn game, but I’m excited for beyond meat tacos and burritos 🙏🏽🤣"
