date,content
2021,@CaitlinKirby @justegg @BeyondMeat @ViolifeFoods @CaitlinKirby Our Everything Plant-Based Sandwich is currently only available at select coffeebar locations and is not available at our airport licensed partner stores.👍
2021,$BYND enters bearish trend #BeyondMeat #stockmarket #stock https://t.co/X0tAD7rVT8
2021,$BYND in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/FLsmokSyxp #BeyondMeat #stockmarket #stock https://t.co/8hQ4QxwcLp
2021,"@Wendys While I have your attention, Meat...any chance you can make a Beyond Meat burger 🍔 😋"
2021,Osmows got beyond meat now im boutta act up
2021,@jargonaught Vegan crescents stuffed with Beyond Meat and Field Roast Chao Cheese Mexican Blend with a lil spinach for show! 😂🤣😂 Saw this recipe on Twitter and I make it once a month because 😋😋😋‼️‼️‼️ https://t.co/lK4R1apUd8
2021,@Wendys Seems appropriate for @BeyondMeat to change their name to “Not Meat”
2021,"PETA coming for the NFL next.

Footballs --&gt; Beyond Meat Balls"
2021,@Wendys @SlimJim Beyond Meata @BeyondMeat
2021,@269Justice @BeyondMeat not at mine that i've seen.  they do have an eggplant tofu i haven't tried.  normally not a tofu fan.
2021,"In the last few years, two California companies have dominated the headlines about alt-proteins.

Los Angeles-based Beyond Meat launched its plant-based meats in 2012; San Francisco’s Impossible Foods burger followed in 2016.

https://t.co/OCNWZMkh87 https://t.co/FMKT5RXvSB"
2021,$BYND's in Downtrend: Moving Average Convergence Divergence (MACD) Histogram just turned negative. View odds for this and other indicators: https://t.co/F4hRAfOSua #BeyondMeat #stockmarket #stock https://t.co/8vWa53tPlt
2021,"@Y_Soup Beans, avocados, nuts, tofu, protein shakes, beyond meat type replacements. That’s not a real concern at the end of the day. A lot of people go through this &amp; it doesn’t last long so let him explore &amp; have fun with it."
2021,Dude at Dunkin’ Donuts in the airport just tried to order a beyond sausage. There is no such thing. It’s just sausage. Just like there is no beyond meat. There is nothing “beyond” meat. Thanks for coming to my Ted Talk. #truthisserved
2021,"""Following a successful launch of its reinvented beloved Orange Chicken with Beyond Meat over the summer, Panda Express will now be rolling out the meatless Beyond The Original Orange Chicken across 70 locations stateside.""
https://t.co/L2bRLBIzgZ"
2021,@Pauly0x Beyond Meat breakfast sausage patties
2021,"@joycethomas562 @justegg @BeyondMeat @ViolifeFoods @joycethomas562 Thank you for your suggestion, Joyce! We have passed your feedback to offer a gluten free plant-based sandwich over to the team.😊"
2021,How will this affect the market? $BYND RSI Indicator left the oversold zone. #BeyondMeat #stockmarket #stock https://t.co/O9WlJzxUb9 https://t.co/etaK2Da70g
2021,What do you think of this? $BYND RSI Indicator left the oversold zone. #BeyondMeat #stockmarket #stock https://t.co/xwDm8x02HS https://t.co/YnT2yHytos
2021,"It's the future ❤️🐓🐄🐷🐮🐟🦀🐓🐇🦃🐖🦞
https://t.co/oqTfAKFhUE
#loveanimals #plantbased #pigoneers #speciesism @Veganella_ @BeyondMeat @PandaExpress #vegan"
2021,petition for them to make beyond meat pepperoni
2021,"Fun update. I used their half-assed five dollar credit to get a Beyond Meat burrito from @DelTaco and instead got to bite into MORE chicken. Twice in a row, folks. I guess it's my fault at this point. But if you're a vegetarian might I suggest never ordering from @DoorDash. https://t.co/bjYOcUl9Ti"
2021,feels like plant-based meat 🌱 🍖 is really having a month…excited to try this @BeyondMeat orange chicken at @PandaExpress! https://t.co/YkTESpqE0K
2021,".@DaringFoods is rising against its competitors @BeyondMeat and @ImpossibleFoods as it pulls Series A, B and C funding in a single year.

#faux #vegan #food #foodtech
https://t.co/6MzuKJrSRn"
