date,content
2021,"@WholeFoods Unless they’re #vegan and then they are limited to 1/2 the salad bar. “Ok, can we go to the amazing WF @BeyondMeat Burger Bar on Pearl St?”
“Nope-that closed to switch to animal meat.”
“Isn’t your CEO vegan?”
“Yes, but he won’t eat at the hot bar.”😔"
2021,Love the food. Buy it monthly and will continue to support @BeyondMeat. For our #Vegan family it makes figuring out dinner easy. https://t.co/9gIUfUQCYf
2021,@latimes Not according to @BeyondMeat supply chain disruptions and lowering guidance $BYND
2021,Meatloaf made with beyond “meat” is so fire. Just pulled one out the oven and it’s so tasty. Can’t wait for gf to try it
2021,@BeyondMeat @SimpleTruth4U @izziobakery https://t.co/OuccuuGAs1
2021,I miss being able to just go anywhere I want to eat. Like a Wendy’s spicy chicken sandwich would slap rn. Why isn’t @BeyondMeat chicken in all fast food restaurants?
2021,"@BarbarianCap Crickets are gross

Impossible burgers a s beyond meat are okay

I'm not eating anything that's 3D printed

What is vat-grown tuna?"
2021,@erinbrodwin @oatly @KiteHillFoods @BeyondMeat @ImpossibleFoods @BitchinSauce @DaringFoods Not yet!
2021,@ruth_ayres1 @cindygallop @oatly @KiteHillFoods @BeyondMeat @ImpossibleFoods @BitchinSauce Oh wow! I love the cream cheese but haven't tried sour cream yet! 😋
2021,"Making NZ style din for friends tonight: beyond meat pies, what should I put on the menu?"
2021,"@RLstone4dems @colleen_Dec19 I am vegetarian and make tacos with plant based meat, beyond meat or impossible meat. It is pretty good."
2021,@aeduko @arlenparsa @BeyondMeat We like both.
2021,@arlenparsa @BeyondMeat The burgers are also very convincing.
2021,@a_grn @BeyondMeat Because it was leftover and I microwaved it
2021,Getting our lunch assembled. I haven’t added the sauce or fixing to these @BeyondMeat meatball open face sandwiches. My kids fight over these they are delicious. https://t.co/r86ODOL32N
2021,"@BeyondMeat @VegNews And that's with nobody knowing about it... 🤔
  Just wait...
 (and STEP UP PRODUCTION!!)👍"
2021,Exactly Where to Find the New Beyond Meat Orange Chicken at Panda Express https://t.co/r40RyRQWsL via @VegNews
2021,@nytimes How about stop supporting the cruel and horrific torture of chickens? @BeyondMeat now makes nuggets. That’s a good place to start.
2021,"Red Robin, Beyond Meat - Colorado Springs, Colorado - Beyond burger-mad love with fries  I got sick before even finishing my burger. I gave m... Food Poisoning https://t.co/eJC77jkSR2"
2021,I finally tried Beyond Meat. I had to hide it in other things because I still think anything even reminiscent of meat is nauseating. But overall I did not puke even once! https://t.co/L7ZjqQWaBE
2021,I made Italian sausage soup with beyond meat Italian sausage and it was GOOD 😏😏
2021,@illini_fans @BeyondMeat That doesn’t look like a grill? I guess it’s fitting since that isn’t real meat
2021,@TreeofRogue @SvddenWvck @dirtmonkeymusic @subdocta @Ghastly I heard they’re getting beyond meat or impossible but I don’t think it’s here yet 😂 I guess we’ll see.
2021,"Beyond Me:

🤔💡💬

$BYND

13,692,023 short

🔥 5 days to cover

https://t.co/gFw03cb3kU

$PEP $BYND

THE FEED  /  ARTICLE
BEYOND MEAT AND PEPSICO ESTABLISH AND INTRODUCE THE PLANET PARTNERSHIP
JANUARY 26, 2021

💸

Long 3,000 at $130.97

☎️ #wallstreetbets https://t.co/wcK9z484s2"
2021,@solar_tay @KristianGranada hardees and carl’s jr. are the same company but for some reason hardees doesn’t have the beyond meat burger
2021,If I die. I cooked some beyond meat breakfast sausage. It was 99 cents haha! I actually liked it since it was soy free but... we shall see 😜
2020,"@sharkyrae We're vegan x 4 years. Tofurkey peppered is his fav. Impossible and beyond meat AMAZING burgers. Just Egg amazing scrambled with veggies, prepared Denver omelet style. Hillarys spicy thai patties good prepped as burger on bibb lettuce.( I dont eat gluten and hence no wheat)."
2020,@TheFioneers @vinyarb It’s still spendy but not like that 😳 we use the beyond meat crumbles
2020,"Beyond Meat, Target - Aurora, Colorado - I ate this for the first time about 2 years ago and got very ill. Just a day ago, I came back to it and g... Food Poisoning https://t.co/s5XGRNXVat"
2020,Tom Herman eats Beyond Meat “burgers.”
2020,"@ViralDetroit @Snaxy @ChristyFStrouse @resoluteketo @BeyondMeat All kinds of animals are killed in agriculture, but as you well say ""you don't know of"" them being killed. 
I'd rather consume half a grassfed/pasture raised cow per year, some eggs, butter and cheese. 
But to each their own."
2020,"@Snaxy @ChristyFStrouse @ViralDetroit @resoluteketo @BeyondMeat If only Beyond Meat products were made of only plants. They are full of chemicals and seed oils. 
I've never felt better by just eating natural and organic animal products such as pastured raised eggs and grassfed meat. No chemicals, no preservatives and no hormones."
2020,"Roasted Garlic Aioli, 
Roasted Red Peppers, Fried Onions, @beyondmeat
Burger on a Pretzel Bun!
.
.
.
#roastedgarlicaioli #roastedredpeppers #friedonions ##beyondburger #pretzelbun #lunch #vegan #veganfood… https://t.co/rqRL5zNRqd"
2020,@libraquartz I try to stay away from the impossible meat because of the gluten content but Beyond meat is literally a no brainer.  So fucking good. You just gotta make sure not to overcook it or it’s not nearly as good 🤍🤍🤍
2020,@blacksheepbpoe You ain’t lyin man. Those beyond burritos are the fucking truth. Something about the store bought beyond meat isn’t sittin right.
2020,"Well this is a fine mess! Sautéed @beyondmeat Beyond Burger with red curry, broccoli and ramen noodles. Delicious!
.
.
.
#beyondburger #redcurry #ramennoodles #dinner #afinemess #vegan #whatveganseat #veganfood… https://t.co/Vcp3lB5F4n"
2020,"A little farinata to go with some delicious @beyondmeat burger and hot italian sausage not-meatballs.
.
.
.
#farinata #nonmeatballs #dinner #vegan #whatveganseat #veganfood #plantbased #instavegan #food #instafoodie… https://t.co/iNtYFskv3q"
2020,@thenichols @BeyondMeat Understandable.
2020,@thenichols @BeyondMeat My favorite tweet of the day. Maybe ever.
2020,"Watching @hamiltonmusical while eating a burger and Cole Slaw...
Ok, an @beyondmeat burger with #gochujang sauce and a sesame dressed Cole Slaw.
#happy4thofjuly 
.
.
.
#beyondburger #coleslaw #weareameltingpot… https://t.co/Vt8PWX4MaH"
2020,Fire up the grill this weekend with some of our staples - #denverlocal River Bear brats or @BeyondMeat plant-based burgers. 🔥🌱 Stop by by Choice to stock up on the essentials for a safe and happy 4th of July! https://t.co/icfJGb7r6Z
