date,content
2021,@_honeydoomelon @RubbaBand_Grant It’s beyond meat from what I heard
2021,@BeyondMeat @PandaExpress Stock still flops :(
2021,"$bynd “beyond meat gets slaughtered”
$spy https://t.co/wqOMykjGQj"
2021,"People are starting to see through the bullsh... Uh, soy-crap.  #plantbased #impoasibleburger #beyondmeat #foodlies
https://t.co/JR8SNpUxoI"
2021,"@Snuggles_32 @mellylyfe Yes, there should be more. Fast food: A&amp;W,beyond meat. MacDonalds sometimes has vegan wraps. Most pizza chains have vegan choices. Other: lots of options in Indian restaurants,Chinese ones. Caribbean: potato roti,and other meals. It is getting better. Expensive ones not so much."
2021,"@mellylyfe @Berlidge 100%! I’m neither vegetarian nor vegan (yet), but eat vegan food often. I really love my vegan cheddar cheese and cream cheese! Beyond meat products have gotten really good as well. Now hoping the price will go down a bit. Always order vegan pizza or vegan Indian food &amp; others."
2021,Bed bath and beyond meat
2021,Beyond Meat 'Implodes' As Consumers Lose Interest Even Amid Supply Chain Hurdles For Real Meat - National File https://t.co/TlUKICXEDI
2021,Beyond Meat cuts its third-quarter revenue forecast https://t.co/HEfbMCBHQJ https://t.co/eL7gxFcer4
2021,"Fake Meat stock drops. 

Beyond Meat stock tumbles 14% after lowering third-quarter revenue outlook

https://t.co/222tl32QjQ"
2021,Grilling out some @BeyondMeat game day burgers and brats with my portable grill I store in the back of my van. Go @Braves #BattleATL https://t.co/yTE0krXpbH
2021,God made these Beyond Meat spicy sausage patties!
2021,"Earn $0.00 plus a $3.00 bonus when you purchase ""Beyond Meat® Sausage"" using Magic Receipts! https://t.co/UrwkjYyv39"
2021,Ahhh shizzle. Beyond meat in KFC 🐔 🤤
2021,@Gily_SJ I’m serious. Beyond meat is processed
2021,Ayo @BeyondMeat explain this “New Meatier Taste” bc—😳🤢🚮 #vegans #plantbased #WTF #thingsthatmakeyougohmm🤔 https://t.co/OCAA4mI3jS
2021,"So @BeyondMeat @ImpossibleFoods , the more widespread veggie food gets the more terrified I am of workers at restaurants like @WhiteCastle @BurgerKing giving me actual meat and saying it’s vegetarian because of stock or time"
2021,@magnifiedpix @AnimalBeingJerk New Doritos loco beyond meat mash up
2021,@RonRuggless @hopdoddy @BeyondMeat Looks tasty. Impossible still dealing with production issues? What prompted the change?
2021,@djswagerfic Just thin crust and cheese w spices m. Sometimes beyond meat
2021,Nice billboard. Beyond meat
2021,So @dunkindonuts really discontinued the @BeyondMeat Sausage Sandwich? I am so upset. https://t.co/DVfHJ6OZFk
2021,"Three times. THREE TIMES. 3 times. I have gone to Kroger and bought pizza, carrots, Beyond Meat, etc. But NOT teriyaki sauce. I NEED teriyaki sauce. https://t.co/tgNckSxwL5"
2021,I feel like Elon when he’s electric car was gunna kill the Industry / the system got undercover propaganda events to slowly keep they’d business interests aligned @ capitalism measures / beyond meat and hydroponics is feeding posion to those around us / under attacked ☢️
2021,Made an Impossible Shepard’s Pie and it was amazing!!! Going plant-based with the help of #ImpossibleFoods and @BeyondMeat ✊🏽
2021,"@randyedwards151 @tedlieu @BeyondMeat If you are willing to try again, @BeyondMeat makes a “ground” version and you can make your own meatballs. Try adding more flavored breadcrumbs, different spices etc. But at least you tried something new."
2021,awe. How sweet. Someone just sent Beyond Meat Pizza Hutz
2021,Made some brioche buns just to use the beyond meat burgers that have been eyeing me down from the back of the freezer #baker https://t.co/dNC2hiYmbu
2021,"Spring Soul Picnic NEXT Saturday, April 24th with @stayaddicted10 @yesitsalgebra @Tashalarae @onlyonecamille @BeyondMeat @yourcbdbstorebuckhead and more... Get your tickets:  https://t.co/AfJ9v6jyZR"
