date,content
2021,"#BeyondSausage shrinkage problem 🐢🧐

When it's a bit cold in the meat department or  pool 🥶  📏 🐢

#GeorgeConstanza #Senfield #ShrinkageProblems #ShortSausage #fakemeat #fakesausage #BeyondMeat #AgTwitter #FarmingTwitter 
@ChefGruel https://t.co/2sEcyhwDKD https://t.co/XdiWLgTDfg"
2021,@ottoscholl @Agridome @YouTube Oh and lastly $1000/lb beef most incredible statements I ever heard. Guess Beyond meat it is! FFS
2021,"#BeyondMeat &amp; rivals such as #ImpossibleFoods Rely on #Chinese Ingredients,raising #FoodSafety concerns in the #COVID19 Era.Most of what goes into a Vegan Burguer &amp; other meat replacements ingredients are manufactured at #foodprocessing factories in China https://t.co/AvVlR6waLt"
2021,"Good to know 🤔👀
#EatRealMeat not #FakeMeat #LabMeat #PepsiCo #BeyondMeat 

#AgPriorities #livestock #Farmers #FarmingTwitter #AgTwitter https://t.co/j286rq4019"
2020,"Target, Beyond Meat - Ankeny, Iowa - I at a beyond meat burger for dinner at 5:30. By 7:00 I had a horrible headache. I started vomiting, d... Food Poisoning https://t.co/1xihxQ1zu8"
2020,"#PizzaHut?! A partnership with #BeyondMeat? 🤔 

Good luck with that! #AgTwitter https://t.co/3noBB7dPcK"
2020,@pizzahut @BeyondMeat Awful
2020,"#McDonalds is now going on their on Plant Based Patties...at least the #McRibs are back!

Beyond Meat stocks look like a Xmas Tree &amp; not a good look!

#FakeMeat #BeyondMeat  #McDonalds #plantbased #McPlant #AgTwitter #AgPriorities #LabMeat https://t.co/vIRub2sOnV"
2020,#FakeMeat #BeyondMeat  #McDonalds #plantbased #McPlant #AgTwitter #AgPriorities #LabMeat https://t.co/UlHSyDrMcY
2020,@kfc where da @BeyondMeat at???
2020,@kfc We want @BeyondMeat
