date,content
2021,"Plant based products associated to Bill Gates (Beyond-meat for example) contain *Graphene* and bio oil. Be careful with anything related to Bill Gates.
https://t.co/B9huGzYAez
#HoldTheLine https://t.co/BJqwRXPthN"
2021,"Sam's Club, Beyond Meat - Metairie, Louisiana - Beyond sausage  I ate 2 beyon... Food Poisoning https://t.co/3KSGT3Lncy #samsclub #beyondmeat #nausea #sweating #lightheaded https://t.co/UZiQQg0BTC"
2021,"אולי לא כל כך חברת צמיחה? Beyond Meat $BYND צונחת לאחר אזהרת הכנסות לרבעון השלישי ממגוון סיבות כהגדרתה. למרות, שכל זה בעיני לא רלוונטי. העסק הפסדי, והמוצר יהיה קומודיטי.

https://t.co/sEo0lsUnp9"
2021,@BeyondMeat I was really excited about the beyond chicken until I saw it has garlic and onion in it.  😩😫😩
2021,"@llamsoyd I read that Taco Bell has a deal in place with beyond meat too. 

Let’s get it poppin."
2021,"beyond meat is pure trash, but it’s so good when it’s grilled."
2021,"If you are thinking about investing in @BeyondMeat , my recommendation is to do whatever the opposite of what @jimcramer suggests."
2021,@Datz048 Their beyond meat burger is good 😬
2021,@ScottColesby @BeyondMeat How’d it do?
2021,Lady at pita pit (knowing I’m vegan) asked me if it’s okay if she puts real meat on the grill while my beyond meat is on there (far away of course) and I might cry that’s the nicest thing any food worker has ever done. Bout to leave the fattest google review
2020,@agavebeans Just eggs and beyond meat
2020,@itsisaacsworld Beyond meat! And just eggs!
2020,"I’m not being a conspiracy theorist here, Beyond Meat is a multi-million dollar company and they make plant-based “meat.” Based on what I’ve read about the lab grown crap there is some serious backing for it. https://t.co/6XlvC6mvsB"
2020,"And please Lord, make a version for @nealbrennan. @BeyondMeat #McRib https://t.co/0FH02DXAp2"
2020,they have a beyond meat pizza? might try it out.
2020,@pizzahut @BeyondMeat @greenleaf504
2020,beyond meat slaps
2020,It gotta be a little bit of meat hidden in beyond meat
2020,"😭beyond meat is going crazy, can’t wait to try these. https://t.co/y3uCOwup8t"
2020,How does beyond meat do that???
2020,@TMacInHere @SteveYonson @EasternStandrd @BeyondMeat @TMacInHere We back babyyyyyy https://t.co/yNDHbjwVZY
2020,@TMacInHere @SteveYonson @EasternStandrd @BeyondMeat https://t.co/jQ9apDqUyn
2020,@cebutler33 @TMacInHere @SteveYonson @ropowers3 @EasternStandrd @BeyondMeat @burtreynolds517 He will be knee deep in that Carolina BBQ soon enough.
2020,@TMacInHere @SteveYonson @ropowers3 @EasternStandrd @BeyondMeat I wonder if you can get a sunrise sandwich now with beyond breakfast sausage. What a time to be alive.
2020,@TMacInHere @SteveYonson @ropowers3 @EasternStandrd @BeyondMeat Imagine walking up to Ken at the innovations station and asking him for the plant based option? Life comes at you fast.
2020,@TMacInHere @SteveYonson @ropowers3 @EasternStandrd @BeyondMeat Late to the party - had beyond sausage last night (brat original) with pepper and mushrooms. My daily WFH lunch is a beyond burger with a lettuce bun. https://t.co/APF0ijslFU
2020,@TMacInHere @SteveYonson @EasternStandrd @BeyondMeat The boobooman is spinning in his grave https://t.co/FwBans3PsR
2020,@TMacInHere @SteveYonson @EasternStandrd @BeyondMeat Haven’t had them yet but heard they are good. Burgers are solid. The hot Italian sausage are 🔥.
2020,@SteveYonson @TMacInHere @EasternStandrd @BeyondMeat https://t.co/ZQZzTXa0TE
