date,content
2021,"Hear from SPP's distinguished alum and founder, president &amp; chief executive officer of Beyond Meat, Ethan Brown (M.P.M. ’97) with President Pines this Monday, Nov 1, for @UofMaryland's last Grand Challenges forum of the semester at 4pm! https://t.co/UVJS1Z5ZgG https://t.co/dojqBe5Y0H"
2021,"@PandaExpress @BeyondMeat Had it at Penn State (State College, PA) - so delicious! Please bring it to Pittsburgh!"
2021,Idk anything about investing but beyond meat stock be struggling
2021,@Workingman125 @RuthsChris I know that's from beyond meat. Good for you Neanderthal.
2021,"TechCrunch: Panda Express brings Beyond Meat orange chicken to additional locations across US.
https://t.co/Qv5Yl7NeXZ

via @GoogleNews"
2021,"@GoldGallant Beyond Meat sure tastes good, but I found major health concerns (for me anyway).

Am I the only one?"
2021,"Beyond Meat, faux meats &amp; our food supply will be part of conversation at COP26.

Is recent Beyond Meat concern about more than just competition?

How about adverse health side effects?!

Beyond Meat, Being Vegan &amp; Our Long Term Health

Click HERE⬇️
https://t.co/ks533QoB4B… https://t.co/ZScZDlUBxK"
2021,Join #UMD alum and @BeyondMeat CEO Ethan Brown on Nov. 1 for my last Grand Challenges forum as we discuss changing our eating habits! https://t.co/k929Z1KBvD #FearlessIdeas https://t.co/EDgSpLZPpE
2021,"@WhatTheNELLE_12 I had the @BeyondMeat patties. This was stovetop. It was good. The real test is me sliding them on the grill 😂. Also I topped it with cheese, 2 types of Mayo, &amp; ketchup on a sesame seed bun. I wanted it to feel real 😂😂"
2021,"Our Grand Challenges series continues on Nov. 1, featuring guest speaker and alum Ethan Brown '97, founder and CEO of @BeyondMeat! Don't miss this Presidential Distinguished Forum on sustainability, the food industry and more: https://t.co/t4rutrMpdj #FearlessIdeas https://t.co/26NxkK4CMC"
2021,#PandaExpress brings Beyond Meat orange chicken to additional locations across #US – #TechCrunch https://t.co/1b25d6GcIL @bheater https://t.co/AMAdnm2jte
