date,content
2021,The Street -- Beyond Meat stock off; Credit Suisse cuts market-share outlook https://t.co/GnXBRGNJMQ
2021,"Everyone talking about decline in Q3 #plantbased in refrigerated goods. These products have been migrating to frozen, and more and more of these are in #foodservice and private label. Show me full product stream #financials before saying @BeyondMeat is coming under projections"
2021,"$TSLA Wow, oh wow shorty is dead. May soon beyond meat as well (BYND). 💗

#Bullish #TSLA"
2021,"Beyond meat stock is getting leaner as the company hopes to get meatier. 

But now it has run into some big roadblocks - Dunkin threw them out.  Retail has shown attritions and they have warned of a revenue slow down.  Too pricey for a slow growth company. 

#beyondmeat  $BYND https://t.co/Uf54C5Y4Vs"
2021,@nickrgrs @peta @yummyeveryday @BeyondMeat
2021,"Beyond Meat is in trouble, competition has increased dramatically and the company’s growth has stagnated. “If your business is dropping by that much in sales and you’re spending more money, something is really wrong,” Lemonides.

https://t.co/OW4u692fNF
#BeyondMeat"
2021,"@jason_pontin I went pescatarian during lockdown. If I had a craving for meat, a Beyond Meat burger did the job. Almost zero red meat since COVID hit. Down 25#. Some days I'm vegan. An increasing number as my new habits take hold."
2021,@Texas_Supernova I just discovered they don't have beyond meat anymore??
2021,@FructoseNo @BelindaFettke @amarkinthailand @WFP @ProjectDrawdown @350Vermont @billmckibben @350 @BeyondMeat @impossiblefoods @worldfarmersorg @NewsClimate @PlantBasedNews @SavoryInstitute @USDA @foodtank @FoodDialogues @ClimateReality @realfoodorg @BbcClimate @RegenAgNet @USDA
2021,@greattweetsam @Cspenceful When I first read this I thought plant based meant Sam was crushing Beyond-Meat Salami or some shit
2021,@sabrinatranwtch Although she was eating that beyond meat sausage sandwich from Dunkin’ Donuts I heard that was really good
2021,@Recycle_ol @BeyondMeat And a #plasticpollution crisis. https://t.co/sayokWKXqP
2021,"@dunkindonuts First happy pride! Second, you stopped the Beyond Meat breakfast sandwich. Why?!"
2021,Beyond meat burger patty on pita bread with fresh salad and banana peppers. Nommmm nommm nommm 😋😋😋 https://t.co/a1C9O2vWLQ
2021,@herbivore_club I make them with beyond meat. What do you use?
2021,@herbivore_club Beyond Meat Hot links
2021,"@ChiThukral @CardozaGab Jumping in to say I don’t drink coffee either. But their tea is good, donuts are delicious and they offer beyond meat products which I am HERE FOR 👏"
2021,"@fleroy1974 @PepsiCo @BeyondMeat Horrifying. True soil-killing hypocrisy. Know us @PepsiCo, @BeyondMeat. We stand against you."
2021,"Twelve years no eating red meat 🥩 and two years without fish 🐟 and 🍗 chicken.
100% vegetarian, and I am feeling so well ...I don’t miss anything.
Now a big fan of @BeyondMeat and @ImpossibleFoods 🌿"
2020,@SnarkyTwin @LadyJaneLJ Yum! This looks delicious. I could do this with beyond meat sausages for the hubs &amp; me.
2020,@jckiejewlz Most of the places I’ve been to abroad have a lot of vegetarian options at fast food joints. US joints absolutely refused until the “beyond meat” trend became super popular (and profitable). And the beyond neat stuff tastes like ass lol.
2020,pizza hut having beyond meat pizza is amazing!! now they just need to get vegan cheese !!! and JUST maybe then i’ll eat their pizza !!
2020,"Another dinner in the @InstantPot tonight! This time it’s @BeyondMeat Sloppy Joe’s which feels like the perfect dinner on a cold night

https://t.co/Q8Le1pTJYL"
2020,@thekoreanvegan rocking @eatjust omelette s &amp; @BeyondMeat spicy sausage this morning. Cameo by @MamaOsKimchi. #Vegan #BidenHarris2020 https://t.co/keZtiGFl23
2020,Stopped in for cider and ended up with some new products I have been looking for. And ice cream for my dog. @wegmans @universitystn @beyondmeat @goldenkrust @dogstersicecream @thebearandtherat @downeastcider @ @ Wegmans https://t.co/2bEPBCVbQx
2020,"And not that beyond meat crap, whole fruits and vegetables bitch"
2020,"I found @BeyondMeat Meatballs at @Wegmans in Medford! They don’t show up in either the store app or the Beyond locator, but they’re finally here! Lunch tomorrow Meatball Subs 😋 https://t.co/278ftzdtUR"
2020,"The cows again

@BeyondMeat must terrify Trump"
2020,Happy Labor Day! #Grilling #samueladams #octoberfest #beyondmeat #weber #weberkcbbqrub #perfectnewenglandafternoon
2020,"@dunkindonuts @BeyondMeat WHY CANT YOU GO IN A DUNKS, IF YOU CAN EVEN FIND ONE OPEN... &amp; not wait FOREVER to be waited on &amp; then WAIT FOREVER get your overpriced shit. EVERYONES OUT? Hire &amp; pay people? What is the deal??"
2020,This is why Dunkin’ will always be the best! 👏🏼👏🏼 First it was @BeyondMeat sausage and now @Planet_Oat milk 🙌🏼🙌🏼 #dunkin https://t.co/JbhOUoT9d7
2020,@LadyJaneLJ @BeyondMeat I’ll keep you posted!! I nearly tagged you 😂
