date,content
2021,@BeyondMeat @PandaExpress Stock still flops :(
2021,"@karenaspwriter @MeatlessMonday Well said! @MeatlessMonday unites communities around a common, tasty good! Let’s all boil some water, break out the whole wheat pasta, brown @ImpossibleFoods or @BeyondMeat add red sauce and do a whole lot of good!🍝 🍷"
2021,"@Snuggles_32 @mellylyfe Yes, there should be more. Fast food: A&amp;W,beyond meat. MacDonalds sometimes has vegan wraps. Most pizza chains have vegan choices. Other: lots of options in Indian restaurants,Chinese ones. Caribbean: potato roti,and other meals. It is getting better. Expensive ones not so much."
2021,"@mellylyfe @Berlidge 100%! I’m neither vegetarian nor vegan (yet), but eat vegan food often. I really love my vegan cheddar cheese and cream cheese! Beyond meat products have gotten really good as well. Now hoping the price will go down a bit. Always order vegan pizza or vegan Indian food &amp; others."
2021,"@zerohedge Imitation meat is pointless. Enjoy meat if you want to. Otherwise, just think up great veggie recipes that don't have to pretend to be what they're not. IMHO Beyond Meat is just a con trick."
2021,"It's #MemorialDay and everyone around you wants to grill out but it's #meatlessmonday.   What do you do? 

Get a @beyondmeat burger of course.   Delicious.  🍔 https://t.co/jDzqVb1VV6"
2021,@eWhispers @salesforce @RocketCompanies @Etsy @BeyondMeat @virgingalactic @valeglobal @Airbnb @FirstSolar @Sunrun @Workday $etsy and $spice looking nice.
2021,@blue_palmetto @BeyondMeat You had me at potatoes and cheese.
2020,Coming in hot Conway with @littlebigburger @BeyondMeat 🥓 🍳 🍻 🍔 @CoastalFootball #beatApp @CoastalAlumni #BleedTeal #ChantsUp #BestFriends @MartySmithESPN
2020,@pizzahut @BeyondMeat @KevinHart4real Do you have cauliflower crust..??
2020,"100% plant-based savory lettuce wraps made with Beyond Meat served alongside homemade vegan Phở Chay. @ North Augusta, South Carolina https://t.co/I0Q5w4dqfB"
2020,@RazgrisRod $BYND Beyond Meat with red lentil and quinoa pasta with red sauce. Hella good https://t.co/lftZYlkwb6
2020,@wmcclaran @cebutler33 @TMacInHere @ropowers3 @EasternStandrd @BeyondMeat @burtreynolds517 https://t.co/xJgNYpBJO7
2020,@TMacInHere @ropowers3 @EasternStandrd @wmcclaran @BeyondMeat Updating the log - garlic mashed cauliflower with dinner tonight
2020,@TMacInHere @wmcclaran @EasternStandrd @BeyondMeat Serviceable - not as good as you’re hoping for
2020,@TMacInHere @wmcclaran @EasternStandrd @BeyondMeat https://t.co/gYBjsvgNLC
2020,@_bersays @Wawa @SellPhones4 @ceri5767 @CYsweeting @EdgarEmejia11 I think I’m gonna invest in some beyond meat stock for the short term. 😉
2020,"@__ItsZachBRUH It said on the stove top, it was like the beyond meat burgers. First bite had me so disappointed 😴"
2020,"Good Afternoon,https://t.co/SIFWyzEFCQ.113,I'm at home having #brunch with my Vegan Friends,I made Bacon Cheeseburger Sliders made with @beyondmeat Beyond Beef,Seasoned with psseasoning Farm House-Veggie Blend Seasoning allclad… https://t.co/vswEBCFwH9"
2020,@MODPizza can we get a meatless option for pizzas!? Like a @BeyondMeat crumble? Vegans and vegetarians like myself would rejoice!
2020,@tap9997 Beyond meat! Been a vegetarian for almost 6 months now!
2020,"Good Afternoon,https://t.co/SIFWyzEFCQ.56,Part II,Cheeseburger Sliders made with @beyondmeat Ground Beef  @Certified_SC Yellow Onions\Garlic @lodgecastiron Cast Iron Pan Fried with in partannaoliveoil Sicilian Extra Virgin Olive… https://t.co/vqpUDZgOWL"
2020,"Did you know we also have vegetarian brunch options? Introducing our Vegetarian Breakfast Burrito filled with cheese, eggs, peppers, onions, mushrooms, and beyond meat! It’s a great option for our vegan community… https://t.co/cDw4GwaEhj"
2020,"Good Afternoon,https://t.co/SIFWyzn4eg.7,I was in bed watching @DiscoveryID (ID Channel) My Vegan friends called ""We're on our way,Vegan Pizza"" So I made Taco Pizzas made with @beyondmeat Beyond Sausage Hot Italian,Seasoned with… https://t.co/0pZPmENgBE"
2020,"@bradyz My bad then, more power to you. I honestly could never go vegan or vegetarian. I have low iron and don’t like taking substitutes like pills when I could just eat a burger or steak. I do how ever plan on maybe replacing a meat meal with a beyond meat once a week soon."
2020,"Good Evening,Today was ok..I'm was on the couch watching @DiscoveryID (ID Channel) My Vegan Bestie called ""I'm Hungry &amp; I'm on my way..!!) So I made a Vegan Pizza made with @Certified_SC Roasted Veggies &amp; @beyondmeat… https://t.co/nyJj3ZpBVr"
2020,"Good Afternoon,I was on the couch watching @DiscoveryID (ID Channel) My vegan friend called ""I'm own my way &amp; I'm Hungry.."" 🤔🤔🤔 So I made Spaghetti  with a Spicy Bolognese...The Bolognese is made with @beyondmeat… https://t.co/f3KRk94U00"
2020,"Tried the new vegan Beyond Meat breakfast sausage patty from Hardee’s, substituting sourdough bread instead of the standard biscuit to keep the entire sandwich vegan. The taste and texture were both excellent, and… https://t.co/vHT4EqtCo6"
2020,"Vegan Beyond Meat sausage biscuits and Thickburgers, now available at every Hardee’s location nationwide. Substitute sourdough bread instead of the biscuit and choose a lettuce bun over the standard bun on the burger… https://t.co/Cx0tFgwdrB"
