date,content
2021,"@KetoPresident @bruno_crocco @ImpossibleFoods @BeyondMeat @oatly Maize germ is ~50% fat and ~40% of that is LA last time I checked. I wonder how they would do without! Regardless, sounds amazing and I want some."
2021,"And that’s FACTS ‼️🔊

@VegNews @PlantBasedNews @vedgecousa @thebeetofficial @gardein @DaringFoods @ImpossibleFoods @BeyondMeat @jackandannies @Lightlife https://t.co/efaIzcieZn"
2021,"@Wendys I feel like @BeyondMeat should be in this conversation. That would be  meta AF.

Or go the full Monty with @Metamaterialtec."
2021,"@RealCedricDark If this is PETa's biggest concern,  props to the Illuminati or Beyond Meat or whoever is solving all the real animal problems."
2021,Beyond Meatballはダシが出る　#beyondmeat
2021,"Be ready for long lines, shortages, poor customer service, and products you don't want or need.  Your ration of Eco-Friendly Beyond Meat is on its way.*

* - Contingent on you maintaining a social credit score of 650 or above.

@LawrenceLepard 
@2020Upstream 
@GregCrennan 

8/ https://t.co/UsloVazJev"
2021,@BeyondMeat hell yeah
2021,"@armstrong8785 Old Bbq lover like me quit eating red meat a long time ago. Ate a beyond meat burger last night, delicious ..."
2021,@PlantBasedCAN @BeyondMeat You retweeted my post and didn't mention @beyondmeat Thats deceiving
2021,@lifewithkesh @PrimeVideo @BeyondMeat @TheTailgateTour 💕💕💕
2021,I don’t trust impossible/beyond meat
2021,I ordered “Beyond Meat” in my groceries this week thinking I’m going to start my meatless diet this week. Knowing I got several outings coming up and I’m going vacation. Wtf is wrong with me 😭😂
2021,#PandaExpress brings #Beyond Meat orange chicken to additional locations across US https://t.co/eZ4zZGuYOZ
2021,@beyondmeat crumbles smoked paprika chili with baked potato. OMG SO deliciously good. #vegetarian #vegetarianrecipes I should share the recipe ! https://t.co/NM5MnCfrBD
2021,95 brands that matter more than ever in 2021 and @BeyondMeat is on the list! Congratulations to our entire team...#gobeyond #innovation  https://t.co/rtXkkFA0oO
2021,"Plant based products associated to Bill Gates (Beyond-meat for example) contain *Graphene* and bio oil. Be careful with anything related to Bill Gates.
https://t.co/B9huGzYAez
#HoldTheLine https://t.co/BJqwRXPthN"
2021,"$BYND (-3.3% pre) Credit Suisse Downgrades Beyond Meat Inc. (BYND) to Underperform, Problems Won't Be Quick to Fix, $75 PT

https://t.co/Tq0rs64yk6"
2021,The British classics don’t have to be out of reach with @beyondmeat sausages.   Even the kids didn’t notice 😉 #vegetarian #vegetarianrecipes  Toad in the hole. https://t.co/FmBpYU58KM
2021,"rich white people eating quinoa and beyond meat has more to do with fatphobia, health halos in marketing, and classism than it does about an animal / ecological liberation movement"
2021,Yo en @PandaExpress del aeropuerto cuando me dijeron que no tienen Orange @BeyondMeat Chicken 😠 https://t.co/Ox3lrIgdvU
2021,"$BYND (-0.6% pre) Beyond Meat plummets 60% since a January peak. Why this stock is ‘misunderstood’

https://t.co/4OeoBut7SF"
2021,$BYND Beyond Meat falls 60% since January. Why this stock is ‘misunderstood’ https://t.co/DBS5n7ioFf
2021,@TacoCabana Neither 😪😪TC#20338 &amp; TC#20332 are always out of @BeyondMeat .
2021,I’d eat tide pods before I eat “beyond meat”
2021,"McDonalds tiptoeing into the PlantBased market.

The McPlant, featuring a plant-based patty created in partnership with Beyond Meat, will be available at eight restaurants for a limited time starting November 3.  https://t.co/npukjNE9FJ"
2021,"Beyond Meat (aka: Dog Food) 

Implodes After Reporting Catastrophic Q3 Sales

 https://t.co/JpS6bPbYXH"
