date,content
2021,@hoffsbeefs I blame Beyond Meat Whoppers
2021,@krusty027 @SSNJamal @RobTheHockeyGuy Well to be fair beyond meat is controversial since it's so processed You might as well just eat plain beef
2021,"@adblanche Beyond meat is my favorite since it is not soy based and my friends don’t even notice the difference. Their meatballs, breakfast sausages and burgers are well liked all around"
2021,@veganbrat69 @BeyondMeat @justegg 👏🔥🧀🌱
2021,@TomoLovesNature Nope only “beyond meat has too many ingredients” and “that’s not real food” 🤦🏻‍♀️🤦🏻‍♀️
2021,"@BeyondMeat you suck!!! I get sick as a dog when I try to eat plants or grains. Ever hear of a permeable gut barrier? I can only eat meat, real meat not fake crap...human pet food sucks!"
2021,@wordisbond @BeyondMeat Not sure I've had one? Now they have to make this so I can know what you're talking about 😔
2021,@wordisbond @BeyondMeat You don't like the hot Italian? They make excellent pepperoni for pizza.
2021,"$DWAC never forget.....beyond meat went 840% for fake ass plant burgers.....daddy trump gonna double that. ⭐

#DWAC #Bullish https://t.co/QvTwaU9jPR"
2021,@schmoozequeen @FieldRoast @BeyondMeat @ViolifeFoods damn! i might have to make that tonight!!
2021,@kelly_rdc I eat leftover Beyond Meat plant based meatballs and sausages without reheating.
2021,@BeyondMeat How soon can we expect Beyond Chicken in stores?
2021,"@BeyondMeat @AWCanada Do tell, where I can find these in the US?"
2021,i’ve been a vegetarian my entire life and ppl still question why i wouldn’t eat beyond meat??? what about that would be appealing to me??
2021,@Drubskin @BeyondMeat How is it?
2021,@BeyondMeat A more digestive-friendly breakfast sausage &amp; burger.
2021,"I FOR ONE WILL CONTINUE TO NOT SUPPORT THESE MURDERING CORPORATE GIANTS WITH MY $$ Beyond Meat Teams Up with McDonald’s, KFC, Pizza Hut, and More https://t.co/PjwEVrFAkG"
2021,Grilled Beyond Meat sausage patties over grilled polenta &amp; romaine leaves w/sunny side up eggs and grape tomatoes #eatlikeyougiveafuck #slowfood #behappy #wegotthisseattle #mentalhealthmatters #celebratelife https://t.co/z77cqoTJlW
2021,@DevinCow @mmasnick I can’t even get retweeted by @BeyondMeat Beyond Meat.
2021,"@PetalLu @Veganella_ @ViolifeFoods @BeyondMeat Yum!!
🌿🍄🥦🌿❤

#GoVegan #plantbased #veggies #food #SaturdayVibes"
2021,@MikeLindblom @BvueTrans @seattletimes the beyond meat of de-icing!
2021,"Made a breakfast bagel sandwich. @BeyondMeat spicy breakfast sausage, hashbrowns, @FieldRoast Chao cheese &amp; @eatjust folded egg! #Vegan https://t.co/fEGI7FjqYL"
2021,"@StephenPunwasi @BeyondMeat No that’s how many you can own. I tried buying 1 stock of GME, but I exceed the limit of 1 already on hold"
2021,"@KeriCrewsonMD @FarmerGran I made my Ragu Bolognese for my vegan son. It was yummy. Used impossible burger meat, Beyond  meat Italian sausage and meatballs . But it starts  with the sauce and my recipe is awesome"
2020,@erpdc @BeyondMeat @ImpossibleFoods WANT!
2020,@ShaneRose2 I meant lizzo! Fuckin autocorrect. I did some research and heard a lot of people saying Steve-o is pescatarian. He’s been doing ads for beyond meat still
2020,"Hubby decided to try the beyond meat Burger tonight.Ass he's looking at some of the ingredients coconut oil I believe is used with it and my husband has a nut allergy. He decides oh well let's try it, because why not 2020. Ugh this is not the year honey to do this https://t.co/ODyBMLd2jd"
2020,@pizzahut @BeyondMeat This is vegetarian - NOT plant based
2020,@pizzahut @BeyondMeat We want vegan cheese in the US otherwise this is just another pizza for vegetarians 😒🙄
2020,"@KimsicalKim @SuzeQKnits They sell hamburger patties, sausages, and ground “meat.”. I have been a vegetarian for 50 years and beyond meat is the best vegetarian product I’ve ever had. Some stores sell it frozen and other stores have it in among the real meat, like where they have hamburger"
2020,2020’s weird. Just made beyond meat tacos with cauliflower tortillas. On purpose.
2020,@Wale Beyond meat burgers 🌱
2020,Beyond Meat the Fockers #MakeAMovieVegan https://t.co/aYFJLRhRQi
2020,Beyond Meat the Parents #MakeAMovieVegan https://t.co/4q5CUjPgyq
2020,Beyond Meat Joe Black #MakeAMovieVegan https://t.co/pzyHfWPKBT
2020,@duxfeminafacti9 I use beyond meat in mine or add jalapeños or fresh basil/oregano and a bit of white wine. Boxed mac and cheese is 👌
2020,@kevin2kelly @LanceUlanoff @BeyondMeat Smash patties into a hot cast iron pan.
2020,@jarrymanna I’ve been vegan since January this year. Try the beyond meat brats tho 🔥
2020,"Post workout meal mix veggies with some beyond meat crumbles plus the music to set the mood. LoL #plantbasednutrition #GoVegan🌱 @ Avana One Six Four Apartments - Lynnwood, WA https://t.co/SnLMVR9PlA"
2020,"Cooking every day as I finished my 12th book. As I get into my 13th book, will have butter and bread again. 😊

Okra with vegetarian Beyond Meat burger bits and spices, all cooked on tomato paste and spices with low-glycemic basmati rice, for all of my friends during stay home. https://t.co/3FyihGEsdC"
2020,"So, do you get “beyond meat burgers” in the “beyond” section at @BedBathBeyond?"
2020,Someone take me to a KFC that has the beyond meat chicken plz
2020,"@BeyondMeat my dear mother sent me this picture and asked if these were any good, perhaps (hopefully) not realizing the obvious. https://t.co/5DuUq2p0uh"
2020,@ABCWorldNews Uh no. The additives for this fake meat “beyond meat” are appalling. Yuk.
2020,"Best batch of lumpia I’ve made in YEARS! Used Impossible Burger in my Nanay’s recipe and it’s giving me LIFE. 🤩🇵🇭 Beyond Meat Musabi, next. Stand by🤓 https://t.co/Dj0yE3wevN"
2020,"@beyondmeat what if? @ Everett, Washington https://t.co/o4VIDxo7ob"
2020,Hey @TacoTimeNW let’s hit up @BeyondMeat and develop a “Crisp Beyond Beef Burrito”
2020,@CarlsJr Beyond Meat Spicy Western BBQ burger is so 🔥🔥🔥
2020,@BeyondMeat @kfc @TheZenNinja
2020,@Banzaibabee * Brats are Beyond Meat brand!
2020,@Jennmombomb I don’t eat red meat or pork and the beyond meat isn’t bad at all.
2020,"@Jennmombomb @udubgal Well, good thing you live in Seattle! Grocerers are starting to carry a lot more vegan friendly products! Beyond Meat is AMAZING. Most places will have a dedicated vegan section!"
2020,@chinchlady701 @untappedvibes @BeyondMeat That’s a steal!
2020,"“Homemade” pizza night— Boboli crust, Beyond meat, yellow bell pepper, red onion, leeks, sun dried tomatoes, pesto... full spectrum pizza."
2020,"New Vegan Sausages from @beyondmeat are in, and they are quite literally the best vegan sausages we've ever tried. Get a Classic Bratwurst or the Spicy Italian Sausage, and of course, don't forget the beer to go… https://t.co/c1grk0Sovp"
2020,@KING5Seattle Should have gone with @BeyondMeat
2020,"@boomshakamaui I mean, you can almost make anything vegan if you bring a cast iron. We’re def bringing our skillet and pot from now on, for sure. The possibilities are pretty much limitless at that point. We did a stir fry tonight with beyond meat and it was incredible 🙌🏼"
2020,@amay206 @BeyondMeat They’re so good! The sausages are too!
2020,Aaron’s coworkers talked shit about him eating plant based protein. They said they could never. I wish he recorded their reaction when he told them that both chili’s were actually made with BEYOND MEAT. They all couldn’t taste the difference. ATE. IT. UP 🤣🤣🤣 https://t.co/kfIDA6E3oK
2020,"Vegetarian cottage pie with beyond meat brought to us by @noremidy.

In back, blackberry long island made by me https://t.co/HPTHBRZABa"
2020,@AlliCinema Beyond Meat is better than real meat.
2020,"There will be a lot of hot takes about this, but of course it’s true. We have to lessen our meat consumption. Society at-large isn’t there yet, but there are reasons to be optimistic, including the popularity of meat alternatives like Impossible and Beyond Meat. https://t.co/zXPI3N9S9E"
2020,I’m gonna try making lumpia with @BeyondMeat 😎🇵🇭
2020,"@eTYMrak @BeyondMeat I used to eat bagels with peanut butter. Smoothies with protein powder are great. Vegan pancakes without that shit syrup, most cereal is vegan... so an easy question"
2020,I thought there was a shortage of animal carcass based meat but it turns out I can’t get @BeyondMeat burgers or brats. WTF.
2020,I have a love/hate relationship with the Taco Del Mar next to my place. They make their food so sloppily but I’m super happy they have Beyond Meat. https://t.co/pyqJ45n9Y1
2020,"My at home take on the @blazingonion #cheeseburger #salad with @beyondmeat and a little #salsaranchdressing #strokelife #savethecows #avacado @ Everett, Washington https://t.co/6hHhA82xEa"
2020,@petexnasty Ahhhh! I wish I could send you some! Have you tried beyond meat ground beef?
2020,"@beyondmeat buger dip on the new embersgrills 
#beyondburger #burgerdip #savethecows #grilling @ Everett, Washington https://t.co/G2ZsetX4YQ"
2020,@VladGutman @BeyondMeat Our @imperfect_foods box had @ImpossibleFoods burgers available.
