state,before-covid,after-covid
Alabama,24,15
Alaska,0,0
Arizona,176,92
Arkansas,22,9
California,3863,1308
Colorado,281,75
Connecticut,0,9
Delaware,19,4
Florida,794,323
Georgia,299,152
Hawaii,1,6
Idaho,11,14
Illinois,0,9
Indiana,54,61
Iowa,37,11
Kansas,18,7
Kentucky,25,8
Louisiana,59,52
Maine,0,1
Maryland,385,187
Massachusetts,208,60
Michigan,0,5
Minnesota,0,2
Mississippi,0,0
Missouri,111,47
Montana,7,10
Nebraska,0,0
Nevada,0,10
New Hampshire,0,1
New Jersey,167,91
New Mexico,0,12
New York,0,0
North Carolina,161,118
North Dakota,0,3
Ohio,179,69
Oklahoma,50,17
Oregon,0,2
Pennsylvania,10,32
Rhode Island,0,1
South Carolina,32,29
South Dakota,0,2
Tennessee,69,49
Texas,690,364
Utah,73,31
Vermont,5,0
Virginia,71,34
Washington,192,107
West Virginia,0,0
Wisconsin,48,31
Wyoming,0,3
