Datetime,Tweet Id,Username,Text
2020-12-30 22:55:18+00:00,1344416804173713408,RealToshiNatsu,Had meat for the first time in over 4 months today 😳 couldn’t@take the preparation of a plant based life style anymore. I’ll try it@again in the future i enjoyed it very much
2020-12-30 20:56:23+00:00,1344386877126799383,JoyHenningsenMD,"Secondary to @gbosslet’s evangelizing, I am making my first Instant Pot purchase! 

❓Should I get the add-on air fryer contraption? I follow a whole-food plant-based 🌱way of eating so will only be popping veggies &amp; grains in there rather than meat/cheese..."
2020-12-30 19:31:14+00:00,1344365449723711494,irIkeroppi,tbh plant based meat taste sm better than actual meat
2020-12-30 18:26:22+00:00,1344349125442154496,annabeljfay,"I did #veganuary last year and since then I have been hugely more plant based. In fact, Christmas was the first time in 2020 I cooked meat! 

Highly recommend it. It’s a journey and a process but I’d never go back now and looking forward to doing it again."
2020-12-30 17:30:10+00:00,1344334982005862400,PatBuck71,"Trying to go vegan after a lifetime of meat eating is like trying to run a marathon fresh off the couch. 
GO VEGGIE HEAVY, THEN PLANT BASED, then keep going."
2020-12-30 17:25:37+00:00,1344333835971026945,NotMrBenn,"Never thought I'd say that I just cant' face any more meat today.  Veggie, very almost plant based Bolognese style spaghetti."
2020-12-30 14:55:57+00:00,1344296168541413378,AngelcRicci,"Congrats @McDonalds on the announcement of your new plant-based meat line. I am joining @AnimalOutlook to let you know that while an exec said ""when customers are ready for it, it will be ready for them,"" we have been ready and cannot wait to try the McPlant burger next year."
2020-12-30 11:14:03+00:00,1344240326936969216,acidpopszero,"I haven’t been 100% strict on my plant-based/vegan diet this year but I’m proud to say that meat (pork, beef and chicken) don’t entice me anymore. You can put a plate of fried chicken in front of me but I won’t eat it 🥺 this is so surprising even to myself"
2020-12-30 11:07:19+00:00,1344238632148766720,acidpopszero,"Hardest part of ditching meat and going on a full plant-based diet is that, my friends have to adjust for me. One friend didn’t know if it’s still ok to give me chocolates 🥲 but in fact I just finished a whole cadbury bar the day before"
2020-12-30 05:38:58+00:00,1344156000975286277,glovesogucci,About to stop eating meat and fish soon in sha Allah.. going back plant based. Bout that time; this time permanently
2020-12-30 04:38:36+00:00,1344140809520766976,evansims,"I peak out from behind my window shade, my glasses thick with fog from my mask. I give a whole-hearted but comically muffled greeting to the nice Whole Foods employee setting the copious number of bags containing oat milk, coconut water and plant-based meat substitutes at my door"
2020-12-30 03:35:59+00:00,1344125052770349057,The_Meech,we need to stop framing vegan/plant based food as “meat alternatives” or something that’s supposed to imitate meat. cause vegan options are straight up better tasting and more enjoyable to eat than meat is or ever was
2020-12-30 02:03:53+00:00,1344101872551006208,1NariaMae,vegan and plant based meat is so good. I’ll never go back lol
2020-12-30 01:38:17+00:00,1344095431366762496,TeejMentality,So I just had my first meal with plant-based meat and I didn’t die.....I’m shooketh 😟
2020-12-30 01:29:27+00:00,1344093208268001281,rh1m333,plant based meat so crazy
2020-12-29 23:31:42+00:00,1344063573262278656,__prettynaee,"Ive written down my grocery list for each week of January and came up with recipes for majority plant based meals. Less meat , correct proportions.. I’m gonna try so hard not to eat as much red meat as i eat. Whew. Root for me."
2020-12-29 23:09:46+00:00,1344058057152577536,80112639ff554df,"Congrats @McDonalds on the announcement of your new plant-based meat line. I am joining @AnimalOutlook to let you know that while an exec said ""when customers are ready for it, it will be ready for them,"" we have been ready and cannot wait to try the McPlant burger next year."
2020-12-29 22:42:10+00:00,1344051108252147713,LizaMarie0421,Yall I've been debating eating meat again lately but still having a plant based diet but then I think about all the benefits of not eating meat and also im stubborn asf... 🙃
2020-12-29 22:41:09+00:00,1344050855696347143,iamsurpremebein,"2021. No more meat / sugars / candies / 

🤞🏾 plant / vegan based from now on."
2020-12-29 22:35:34+00:00,1344049447387467777,DL1GHTFUL,going on this plant-based diet was easier than i thought 😭 i do not miss meat at all
2020-12-29 20:13:19+00:00,1344013651750002688,Noita_Spirit,"Congrats @McDonalds on the announcement of your new plant-based meat line. I am joining @AnimalOutlook to let you know that while an exec said ""when customers are ready for it, it will be ready for them,"" we have been ready and cannot wait to try the McPlant burger next year."
2020-12-29 20:05:51+00:00,1344011771984666627,RZRSHRP_BARBER,"I couldn’t see shit on my way home wow. I really went out in this weather to go to target. What’s gotten into me. Plant based diet no meat, I quit drinking, wake up at 5:30am and now I shop at target"
2020-12-29 20:03:23+00:00,1344011149281382400,kay_dearest,"Going plant based! 🌱 I already don’t eat red meat or pork, why not make the full transition already!"
2020-12-29 20:02:50+00:00,1344011013511905280,Ineeednothing,"Not following any diets but I don’t consume meat of any kind, dairy or animal products. Plant based I would say but don’t try and take honey out my diet nor garlic. They work for me."
2020-12-29 19:21:10+00:00,1344000527785451523,Lorenakrystal,Having issues like this is why in the past I would eat plant-based and then just start eating meat again but I never went to the doctor before so I’ll try that now lol
2020-12-29 17:48:18+00:00,1343977156146327554,DJBABYCHASE,Might try to do a plant based January. Would need someone to steer me in the direction of some super spicy beyond meat though for it to happen.
2020-12-29 17:37:14+00:00,1343974371698769920,KrisTheFish,"Luke and I are going to have in and out today for the first time, super excited but also bummed that they don’t have beyond meat or any plant based meat :c"
2020-12-29 17:32:42+00:00,1343973231380848640,bodbwoiDEQWI,I’m in a CH chat about diets and a meat eater said something about a plant based diet 😅
2020-12-29 16:45:55+00:00,1343961455478140930,pabshizzle,Plant based meat is better than actual meat imo
2020-12-29 15:25:10+00:00,1343941137132875778,SophieAckroyd,Hi Twitter what's your suggestions for your fave vegan cookbooks? I'm more interested in tasty plant-based dishes rather than recreating veganised meat ones #Veganuary
