state,before-covid,after-covid
Alabama,0,0
Alaska,0,0
Arizona,0,9
Arkansas,0,1
California,0,47
Colorado,0,13
Connecticut,0,1
Delaware,0,2
Florida,0,16
Georgia,0,12
Hawaii,0,1
Idaho,0,0
Illinois,0,5
Indiana,0,4
Iowa,0,2
Kansas,0,0
Kentucky,0,4
Louisiana,0,1
Maine,0,0
Maryland,0,18
Massachusetts,0,9
Michigan,0,3
Minnesota,0,1
Mississippi,0,2
Missouri,0,3
Montana,0,3
Nebraska,0,0
Nevada,0,1
New Hampshire,0,0
New Jersey,0,4
New Mexico,0,5
New York,0,1
North Carolina,0,5
North Dakota,0,0
Ohio,0,7
Oklahoma,0,1
Oregon,0,0
Pennsylvania,0,4
Rhode Island,0,1
South Carolina,0,3
South Dakota,0,0
Tennessee,0,3
Texas,0,15
Utah,0,4
Vermont,0,1
Virginia,0,1
Washington,0,5
West Virginia,0,0
Wisconsin,0,5
Wyoming,0,1
