date,content
2019,I got a sous vide for xmas but we don't eat a lot of meat anymore so now I'm wondering if you can make an Impossible Burger with a sous vide.
2019,Tried an impossible Whopper today... Close but I could tell it was different from real meat. Not bad but probably not a regular for me. #Food #burgerking @ Burger King https://t.co/I0sV8Jvy4D
2019,@SirTitan45 @JavaMonster Nobody really wants them. The impossible burger has only increased  4% in sales at Burger King. While REAL meat burgers have also increased.
2019,I don't get why Burger King asks if I want cheese or bacon on my Impossible Whopper.  Uh no. There's a reason I'm eating plant based meat ya goofs.
2019,Just tried “impossible wings” and came to the shocking realization that I like fake meat more than real meat. 🥺
2019,"If someone served it to me without telling me it's an Impossible Burger, I probably would assume it's meat. Pretty darn good. #hellskitchen #impossibleburger #impossible #burger @ Hell's Kitchen-Minneapolis https://t.co/p2Zv6vf8kg"
2019,"@mbird12 By the way, we prefer beyond meat to impossible"
2019,I love meat. Don’t get me wrong. I’ve had the best jerky in my life and it is vegan. @TalkingLoon Vegan Mushroom Jerky comes in 3 tasty flavors and will fool people more than those impossible-like meats. Hickory Maple is my favorite! #Vegan #Jerky #NotAnAd https://t.co/qr9p3WIx8a
2019,@mistermegative I had some impossible meat in tacos ones and it owned.
2019,"The Impossible Burger tastes OK, but black bean burgers generally taste better.

The impossible burger will not disrupt the meat industry.

Food delivery robots will be bad for society.

AgTwitter is usually it's own worst enemy.

...I think these are all my hot food takes? https://t.co/XEersaBJZY"
2019,Vegan sues Burger King for cooking Impossible Whopper on meat grill https://t.co/WZjwrUUqta. And they lived to tell about it!!   It’s a modern miracle.  🤷‍♂️
2019,Recently tried the Impossible Whopper from Burger King and thought it was tasty! Definitely a great alternative for those transitioning from eating meat to eating plant-based. Curious to see how this law suit will end https://t.co/zuUHr4pL5s
2019,Wasn’t the point of the Impossible Whopper to get meat eaters to enjoy a plant-based burger? https://t.co/R5p5C6JFUB
2019,"If dude suing cause his impossible whopper touched meat juice, I’m suing cause my whopper touched plant based juice 😂"
2019,"@blyccer TY; yes, I do cook my own vegan food. I've never had the impossible Whopper &amp; don't plan to now; since they cook it on a meat grill; you're right. I don't trust fast food places that serve vegan food along with tortured flesh because I think they think it's funny to fool vegans."
2019,"CNN: A vegan man claims Burger King cooked Impossible Whopper alongside meat.
https://t.co/P28Qn5b6rC

via @GoogleNews"
2019,"@DoreldaDoremus @BurgerKing Thank you again; you're right. It never claimed to be vegan. I've never had one; I buy the impossible meat &amp; cook my own. I was going to try one at BK, but I won't now. 
FYI #BurgerKing you should really make a truly #vegan option; there's a market for it, lots of Vegans nowdays."
2019,"Impossible meat is so good but man, when you first open the pack it smells like cat food"
2019,"▷ This is awful. @BurgerKing quit targeting ag, construction workers ect to sell fake meat.

Burger King Impossible Whopper - No Beef Ad Commercial on TV 2019 https://t.co/dk5TIvjBGb"
2019,"If you haven't noticed I have introduced BEYOND MEAT vegetarian additive to my weekly dinner menus which are visible and available on my website and Via social media.

Please do not confuse this with the Impossible… https://t.co/MPzq629Lhd"
2019,@CNN I have really enjoyed the Impossible Burger and other meat alternative products when eating out. I’m sure they will continue to improve...a win for animals and environment
2019,"So the movie Soylent Green takes place in New York in 2022.  In 2019 they are creating meat-like substances.  Soylent Green was a meat-like substance.  Soylent Green was made of people (spoiler alert).  
So what I am saying is I don't trust that ""Impossible"" Whopper."
2019,@QuancyClayborne I do not like red meat. I haven't eaten it for a long time. We recently got the impossible burger at my work and it tasted so much like a real burger it grossed me out.
2019,"@SportsWithDara With the invention of the Impossible Whopper meat now actually does grow on trees, but your point is well taken #Sad"
2019,@FirehouseSubs so @qdoba has the yummy impossible meat. Any chance your get something like that so i could eat vegan at firehouse
2019,"@herschythecomic @ChrisCarlin I mean to be fair if it lowers the amount of meat people eat/buy, it could have serious ramifications on carbon emissions.

That being said the impossible burger tastes terrible and until they make a good one I will be eating real burgers thank you"
2019,"https://t.co/dnnKuJRuQZ: The backlash against Impossible and Beyond Meat burgers going mainstream.
https://t.co/vnQiueODNM

via @GoogleNews"
2019,"@ColinKahl @AudreyGarden The pic is great. Rick Perry (he of the 'D' grade in a course titled 'MEAT') is trying to look smart, which is of course impossible."
2019,He cutting it up for that “Impossible meat” y’all be eating 😂😂😂 https://t.co/qzbSJkVRNX
2019,Plot twist: the Impossible Burger is meat.
2019,"The two overweight white middle aged men in line with me making fun of impossible meat and the future of the planet. Look I don’t like the impossible meat and I too am overweight, but I am at least trying my best not to be a prick! #immpossible #fatwhitedudejokes"
2019,"At last!
Impossible Foods’ plant-based “meat” is coming to 102 more stores https://t.co/48EEQvMvNH"
2019,"@MegRaeB I was just going to post a snarky tweet saying something to effect of ""we get it, you hate impossible meat"" but I stopped myself. I have never seen the ag world in such a tizzy."
2019,"its funny that fast food is trying to capitalize off vegans with ""impossible"" meat.. that means vegans are still putting there money towards... You guessed it, animal slaughter!!!"
2019,"Do you keep seeing news stories about how beyond meat &amp; impossible burgers aren't actually healthy? Me too, and they drive me nuts! That's not the point, I keep yelling to the TV.

Anyway, someone at Gizmodo was much more productive than me &amp; wrote this:

https://t.co/HOGYTV1GuQ"
2019,"@Alyssa_Milano If #climatechange won't make you reduce your meat consumption then maybe this will. You should check out your supermarket meat freezers today, suddenly plant based meats such as Beyond Meats, Impossible Foods and more are now readily available. Give 'em a try!"
2019,@ImpossibleFoods Good on you for being a good business. Competition makes us all work harder. Keep being awesome Impossible. And let the ethical meat alternatives WIN!
