date,content
2021,@ERICWIL04561815 @MagicM_MMA @orthodox1993 when he eats real meat and thought it was the Impossible burger
2021,@Sundialfitness @MoneyLine29 @dbongino And a whole lot of Impossible Meat
2021,"@Y_Soup I'd concentrate on mostly whole foods, but the occasional impossible burger or whatever is fine IMO.

Nuts are a great source of fats, and beans and lentils are a great source of protein. Seasoning things will help as well (meat by itself doesn't actually taste good, for example)"
2021,JACK@$$ SAYS HE WANTS ME TO BUY HIM IMPOSSIBLE WHOPPER. TOLD HIM AIN'T PAYING FOR NO FAKE MEAT!!
2021,@haroldpollack Helps that impossible meat is a truly remarkable ingredient.
2021,"KIDS FIRST! Film Festival features The Impossible Way where  Young Grady tells us why eating meat is bad for the planet. Ages 7-13. Playing October 26 &amp; 27 at the UNESCO/ KIDS FIRST! Film Festival. Reserve your tickets now: Pay What You Can.
https://t.co/V9sHwEV2p1 https://t.co/jo9n35C92u"
2021,"@c_tiot That is almost impossible unless people stop drinking conventional milk/stop consuming conventional meat. With steroids/hormones, it is all fattening. Also white refined sugar &amp; especially high fructose syrup is fattening. GMO seed produced vegetables &amp; fruit has no nutrients."
2021,Soylent Green? Impossible meat? Cannibalism? https://t.co/vU8mwp9pkK
2021,"@SwampCommunist nearly impossible to change someone who doesn't believe in change. most of us were meat eaters at some point, and hated vegans just as much as you do. until we changed ourselves. for me it was ✨the emotional truama of a pet dying✨ but I pray that doesn't happen to everybody, I"
2021,"@sh_megan It’s nearly impossible to always avoid all the junk in our food in this country. You just gotta do your best to reduce your overall toxic load and choose your battles wisely. I’ll still have cookies or ice cream occasionally, I just make sure it’s made of real, whole ingredients."
2021,"KIDS FIRST! Film Festival features The Impossible Way where  Young Grady tells us why eating meat is bad for the planet. Ages 7-13. Playing October 26 &amp; 27 at the UNESCO/ KIDS FIRST! Film Festival. Reserve your tickets now: Pay What You Can.
https://t.co/V9sHwEV2p1 https://t.co/254uhoQF8z"
2021,"KIDS FIRST! Film Festival features The Impossible Way where  Young Grady tells us why eating meat is bad for the planet. Ages 7-13. Playing October 26 &amp; 27 at the UNESCO/ KIDS FIRST! Film Festival. Reserve your tickets now: Pay What You Can.
https://t.co/V9sHwEV2p1 https://t.co/68Qe68vqOV"
2021,"- dinner: breakfast burrito w scrambled egg, tater tots, avocado, impossible meat, arugula, tomatoes, american cheese, basil aoli 

- dessert: 2 ice cream sandwiches lmao

tea tea tea 

(2/2)"
2021,@NannySkexis @seagulljaap If you use impossible meat please indicate that for allergy reasons. I also read it causes digestive unpleasantness in some people. People may want to avoid it.
2021,"@LexxLucci The crazy thing is beyond meat for two patties is $5, so $2.50 each, and impossible meat is $6 and you can make about 2 patties as well. I’m sure buying in wholesale is even cheaper but this is how they do us."
2021,"Want to save the planet? Save the cows! Young Grady and his brother are young vegetarian advocates. They make you consider meat alternatives. Impossible Way. Ages 7-15. Oct 24/25 UNESCO/ KIDS FIRST! Film Festival. Reserve tickets now: Pay What You Can.  
https://t.co/bpI5nn32wv https://t.co/OykSL2631N"
2021,@StanleyRoberts The Impossible Burger and Beyond Burger are not healthy at all. They are designed to mimic the flavor and feel of real meat burgers and are filled with saturated fats 😔
2021,@ZubyMusic Lot of bad vegan options out there..I find impossible and beyond meat to be the best. Don’t hate on people that want animal torture to end :) You’re still awesome though!
2021,"@JackBox is now offering @ImpossibleFoods Impossible #Burgers at its Phoenix, AZ locations, until 12/12/21. 🍔 It’s the first fast-food chain to offer a plant-based patty in place of meat in items on its core menu. 🍔 #MeatlessMonday https://t.co/JmSCL61BX4"
