date,content
2019,"My BBQ Meatball Sandwich is so good my customers accuse me of using ground beef instead of the plant-based, Impossible Meat. Vegan or not you have to try it! #Vegan #HeartandSoulCafe @ Heart &amp; Soul Cafe https://t.co/zVgbbuQzMq"
2019,Cool thread.  It’s those damn Beyond Meat and Impossible Burgers! 😜 https://t.co/iZw8tXbeBs
2019,my mom made albondigas w impossible meat so i could eat some 🥺♥️
2019,@vogeliowa Omg lol.  no Beyond Meat is made of “isolated” aka fractionated pea protein - is similar to making coffee.  Do you hate coffee? Impossible’s is made of soy.  Why do beef farmers hate it so much?  Why so biased.
2019,@waytodawns Skskfk thank you 🥺 I ate impossible beef crumbles in a taco today and that’s as close to real meat as I can even stomach anyway LMAO
2019,@ryankon @bmiloy @GrantSSC @dr_crawf @thejohnsang @serg_guz Impossible tofu? I’m assuming this is a meat product 🥩 🍖
2019,@Foodfaye I don’t like Impossible meat but it’s good have the option for those who don’t eat meat 😀
2019,"Since I’m still in my veggie diet week, I ordered my Ham and cheese sandwich w/o ham. I think the regular price is $5.50 but it was only $4.50 (includes tax) w/o ham. That’s a good deal! One thing tho I wish they offer breakfast menu with Impossible meat. #burgerking https://t.co/jvBlQHnbZx"
2019,"Regular bodybuilder: posts pic*
Comments: 
“beast!” 
“Inspiring!” 
“Goals af”
“Which supplements u take?”

Vegan bodybuilder: posts pic*
Comments: 
“ArE StErOiDs VeGaN” 
“Mm bacon”
“all ur gains R from meat”
“SoY HaS EsTrOgEn”
“Impossible without supplements”
“GameChangers lied”"
2019,"Impossible meat stir fry, with chilies, garlic, shallots, ginger and baby kale. #homecooking #plantbased #vegan @ Los Angeles, California https://t.co/2wzRRzHEsp"
2019,"For vegetarians and vegans. We have great salad choices, vegan cheese slices, and the famous Impossible burger.  Looks and tastes like meat but is completely plant based"
2019,@cragcrest @stephaniekays For my family the Impossible Meat and Beyond Beef are the best.
2019,I been eating impossible burgers for almost a year now &amp; still be skeptical af eating these mf thinkin they give me real meat 😂🌱
2019,"@ImpossibleFoods when will impossible be available at WholeFoods or Target? I’m patiently waiting, if it takes too long I’ll hard to start eating meat again 🥺"
2019,Got my very strictly meat-eater parents to try the impossible burger this weekend and also to start doing meatless mondays. The Resistance is Female
2019,@m_rlons @Veganella_ @glueandglitter @umamiburger I’ve heard beyond meat &gt; impossible 👀 I believe that..
2019,"Nachos!! So many nachos... cheese sauce could be better but impossible meat and chips were so great! And top it off with a Mexican lager! (@ Nachoria in Burlingame, CA) https://t.co/fWMjkA2axY"
2019,The Impossible burger is beyond meat. https://t.co/iNcl5AU9Ga
2019,"After reading/hearing all of this stuff about Burger King’s lawsuit regarding the “Impossible Burger,” I thought to myself, “I’m sticking with my burger that’s actually ‘meat-based’.” 🤦🏻‍♂️ 🍔 #BurgerKing #ImpossibleWhopper"
2019,Mad because a burger king impossible burger was cooked on the same grill that meat was...um duh lol 😹😹😹😹
2019,"LunchBreakLive where I made my secret guacamole dip and we tested Impossible Burgers vs. Beyond Meat with Lisa Karlan. @ Woodland Hills, California https://t.co/iN7Fuba0wc"
2019,"🍔I had to see what the big deal was...

Real Meat Whopper (left)...Impossible Burger (right). Yes...it tastes almost identical, BUT how can anybody really tell a difference w/ that thin of a patty?

CONCLUSION:  They’re BOTH gross..No need to have it again #impossiblewhopper https://t.co/Fown1AGhd3"
2019,"@jeffnolan I’m hedging my bets - I love the taste of Impossible Meat, but I’ve invested in Beyond Meat too! 🥩"
2019,"Overheard re Impossible Foods and Beyond Meat: I hear the binders aren't good for you either, so what's the point?
I can answer this, Sir: THE GENTLE ANIMALS WHO DON'T HAVE TO GET INHUMANELY SLAUGHTERED FOR YOUR FAST FOOD!"
2019,"my grandpa didn’t realize an impossible whopper is plant based so when he got home and saw the red patty, he thought they served him raw meat so he took it out, cooked it on a pan, and then put it back in the burger and ate it."
2019,@MichaelJecks @MadocLeonard I was at a deli and they had “Impossible Meatloaf.” Never heard of it so I asked what meat?  I got a long spiel about how delicious the NO MEAT concoction was. ICK. I passed &amp; got a Quiche!
2019,"“beyond meat...are they the ones that make ‘the impossible burger’?”

- my dad, twice"
2019,"@MythosKathro Mm yea, tried being vegetarian in high school for 2 weeks then i went to a mexican bbq, NOPE impossible... im texan, i love my meat lol"
2019,"This Sunday November 3,2019 2430 broadway uptown OAKLAND 1pm-6pm I’m Introducing the #Chefsmelly #vegan #creole #impossiblehoagie and impossible fries made from #plantbased #meat #halal @ImpossibleFoods topped with… https://t.co/JZPzpjxln9"
2019,"This Sunday November 3,2019 2430 broadway uptown OAKLAND 1pm-6pm I’m Introducing the #Chefsmelly #vegan #creole #impossiblehoagie and impossible fries made from #plantbased #meat #halal @ImpossibleFoods topped with… https://t.co/lXsmxT5iUh"
2019,"@BisonBrewski @SaraJBenincasa Burger King isn’t the only restaurant to serve Beyond or Impossible, and many restaurants have separate grills for non-meat items. Thinking back to when I worked in a pizza place, we had separate slicers for pizza without meat. It’s not uncommon, particularly outside of fast food"
2019,@Disneyland Bring impossible foods to Disneyland for us non meat eating heathens 😋
2019,@EmptySetArt Pop punk and impossible meat tacos
2019,@dhorlander I'm fine with both. Have you tried Impossible Burger meat yet? It's much better than Beyond Meat.
2019,"Trying @burgerking impossible whopper, it taste like ostrich beef jerky to me! So it kind of taste like meat! #BurgerKing #Dinner #CheatMeal #ImpossibleBurger #ImpossibleWhopper @ Burger King https://t.co/1zJjygJDfH"
2019,A massive backlash is building against fake meat products like Beyond Meat and Impossible Foods https://t.co/IniYV0QY7J https://t.co/GLZsYJA13O
2019,impossible meat &gt;&gt;&gt; beyond meat
2019,@SkeleMusic impossible meat stresses me out..
2019,"@jane_kjane @honestburgers It's amazing what they can do these days. The ""Beyond Meat"" and ""Impossible"" burgers are really good here - hard to believe they are not meat."
2019,@Tip talking about his theory that impossible burger has human meat is truly ridiculous - please don’t spread more stupidity around than there already is 🙏🏼
2019,"With plant-based burgers, sausages and chicken increasingly popular  across the US, a new group of companies has started making meatless meat: the food conglomerates and meat producers that Beyond Meat and Impossible Foods originally set out to disrupt. https://t.co/1EJvz9kXDZ"
2019,Beyond meat &gt; impossible meat
2019,"“Oh this impossible burger taste just like real meat!”
Lol that employee don’t give a fuck he cookin it up right next to the whole cow  ground up burger same grill same errrythang! 😅"
2019,"I’ve recently lost my taste for red meat. I’ve tried the #ImpossibleMeat at #BurgerKing, #WhiteCastle and even picked some up at the grocery store &amp; turned it in to #hamburgerhelper. This is a great article that states a lot of facts about #FactoryFarming.https://t.co/EWw3QOVqbF"
2019,You can’t call it impossible meat because it’s clearly possible!
2019,@kalekait were they advertising it as “began impossible burger” before or just stating that the burger itself doesn’t contain meat?
2019,Can’t even finish this impossible whopper and the smell of it sitting in front of me is starting to hurt my stomach. Sooo this is probably a one time thing for me. Vegetarians don’t need to eat shit that pretends to be meat anyways. Just eat meat if that’s the case #BK
2019,Who is going to try and open an “impossible-meat” based steakhouse in Echo Park? It’s inevitable.
2019,@Pwoolard3 @amarakaplan @birbigs Please keep in mind that they did not install an extra machine to cook your impossible Whoppers on a vegan or vegetarian grill. It's cooked on the same grill and then grilling machine as all their meat based burgers. That's why they taste ok.
2019,"I’ve made a horrible mistake. I was hungry, and wanted to try the Impossible Whopper, no mayo. I’m positive they come in contact with meat... I feel like I’ve upset a vegan goddess somewhere y’all I’m a mess. My body hurts. I FEEL LIKE SHIT HELP ME 🤮🤮🤮 I’m like SHAKING"
2019,"Save a cows life, save the earth, and save your stomach's need for fiber. 😵 Try the new Impossible Meat available at rendezvous to make an easy difference today! 🌱💛 https://t.co/X04HuhDF27"
2019,Last Wednesday I decided out of the blue to not eat no meat for a week. Fast forward a week later and surprisingly I’m still going. Went to Red Robin today and saw they have the Impossible burger and it’s probably the… https://t.co/zs3x3NcaFC
2019,"@ratpt01foxhound どちらを食べました？ (^^)/
Impossible Foods or Beyond Meat ?"
2019,"Beyond, Impossible &amp; Awesome: 
“Nestlé's Awesome Burger is the company's answer to the plant-based meat craze” | CNN https://t.co/v4Gq9u5kOk"
2019,"@laurienotaro I liked Impossible meat. Beyond, not so much. The taste isn't bad, it's the texture. I can find nothing not to like about Impossible."
2019,"""The only consumer we care about is the hardcore meat lover.""

~Pat Brown, founder and CEO of Impossible Foods"
2019,"Patrick Brown w/ Impossible wants to replace all meat w/ alternatives by 2035. 

Approx 10 billion lbs of ground beef are sold in the U.S. per yr. Impossible accounts for less than 1/10 of one percent of that volume. 

So far, meat alternatives have not made a dent in meat sales."
2019,"The impossible burger is the strap on of foods, you want the good parts of the meat but with no life behind it."
2019,@hizaga You know that fake crab 🦀 thingy? It’s not that cheap here. Beyond and Impossible meat mo takai!
2019,@eponawest I am still wondering why people buy fake meat! I’m boycotting the Impossible Burger because JUST EAT A RARE BURGER!
2019,@jrlikeswhisky @neontaster I’m not talking about impossible burgers and shit. I’m talking about meat. Real animal meat. Made without the environmental waste (and antibiotic and growth hormone requirements) of growing the whole animal.
2019,@hjewelzz @bgayorbstraight Lmao I love the impossible burger too! I can’t remember what meat tastes like either haha
2019,@StephR_dgaf Try a beyond Burger. Sell them at Carl's or Impossible Meat @ Burger King lol.
2019,I always bought beyond meat products. And I go to places that have beyond meat products. This will be my first time eating an impossible burger.
2019,@lordsoftheseth Impossible! Everyone knows you only get one breakfast meat with your meal!
2019,Stop eating impossible meat
2019,#vegan #impossiblemeat #gyoza #harajuku #culvercity #marinadelrey #losangeles #hollywood #california @tinaeatsdrinks #c4jforever #nakedauthor #jasonmitchiner #jasonwilliammitchiner #GAOMG… https://t.co/pDZAbRYZeV
