date,content
2019,"Tacos are great, but 100% Vegetarian Stand and Stuff Tacos Packed with ground Impossible 'meat' are EVEN BETTER! 🌮 #tacos #vegetarian #impossiblemeat #saturday #weekendvibes @ Boynton Beach, Florida https://t.co/vFUfba6OvM"
2019,Impossible meat cottage pie 🥧 https://t.co/4NwC0W9uAK
2019,"🤣🤣 with that damn #raccoon 🦝 meat. that’s why that big impossible, yeah impossible to find in store ‼️🤣 https://t.co/WmrotovvW6"
2019,"@didlix Yeah, the Impossible Burger. It was quite delicious, although the cheese wasn’t great it went well with the rest of the burger. Closest approximation for the “meat” would be a cheap frozen burger, but tbh if I didn’t know it wasn’t “real” meat I wouldn’t have been able to tell."
2019,Has anyone tried the impossible whopper? Plant based. No actual meat.
2019,"Me at the Burger King drive thru:
[Voice:] Welcome to Burger King. Can I take your order please? [Me:] one Impossible Whopper meal please. But no meat. [Voice:] 🤔"
2019,"@aaroncarter @BurgerKing With the new impossible burger,You @BurgerKing got ""good burger👀🍔''€dd...thanks for making non-meat patties for us that don't eat or bearly eat meat... https://t.co/L01uIEzEWW"
2019,Impossible burgers for the girls today. My youngest said “yeet away the meat” 😂👏 https://t.co/iB2KovuwB2
2019,"Meat eaters: “But what’s in the Impossible Burger?? It’s probably all GMO’s and totally processed.”

Same meat eaters who eat “chicken” McNuggets 🤔 https://t.co/I3rTfgbLNP"
2019,"Now not that I plan on eating Burger King often, but it was really cool getting an impossible burger today at a fast food restaurant. Meat Free options are the future of dining"
2019,@GFORCEMONKEY78 @CNET Whole Foods doesn’t carry Impossible brand. Only restaurants do at this time. Maybe you had a Beyond Meat burger?
2019,"Impossible_foods has currently raised more than $750M and sits at a $2B valuation. Their main competitor, Beyond Meat, has had one of the most successful IPO launches of 2019 so far, Impossible will not miss the train of the growing success and demand for meatless alternatives. https://t.co/ssj070WFLZ"
2019,"Impossible Whopper at Burger King — ⭐️⭐️⭐️⭐️⭐️
The Whopper was my favorite burger as a kid, and in high school I worked at the BK Lounge. But when I gave up meat six years ago, I had to say goodbye to BK.
So it is with a warm heart I meet the new Whopper, however impossible. https://t.co/2ubNxnifQ9"
2019,"@BuckSexton Happy 4th Buck, Beyond Meat burgers are good but Impossible burgers are better, de-lish! Give it a try"
2019,"It’s nearly impossible to tell that this burger isn’t meat! If you haven’t tried it yet, it’s a must and not just for vegans! The Impossible Burger is available at the Ace and it’s delicious! Getcha one today! 🍔👅♣️… https://t.co/ide36rfAnU"
2019,The impossible made with planets and taste like meat #theimpossibleburger #thecheesecakefactory @ The Cheesecake Factory https://t.co/1DHj1Jt8Vs
2019,"Hey, Tanzina, here’s a shoutout to the producer(s) who used some tasty @moeperiod and @phish tunes to open and close today’s @TheTakeaway segment on meat alternatives. And for the record, I love the Impossible burger."
2019,Every time I eat the impossible burger I question if it’s real meat
2019,Beyond Meat stock price is extremely overpriced. I'd sell and take the profits. Impossible is the better product https://t.co/06MBT9EuCj
2019,"Let's do our part to fix the climate. Eat less or no meat! Plant based burgers flying off the grills!
Mission Impossible? Maker of Plant-Based Burger Struggles to Meet Chains’ Demand https://t.co/b9ctYkIXAz"
2019,"They aren't made from vegetables but from plants, and therefore are not veggie burgers but, like they said, plant burgers. Also, vegans already eat impossible burgers rather than meat, don't you think it's more important for them to appeal to the larger, meat eating audience? https://t.co/z3PueyNlnz"
2019,"I had a Beyond Burger from Beyond Meat today for lunch. Had an Impossible Burger on Sunday for my birthday. The Impossible Burger was more like a real burger. Beyond was less like a real burger, but better than a “veggie” burger. Very good. Science! https://t.co/TXqtphIcl7"
2019,@imafuckindino I like to get impossible at a restaurant but at the store I buy beyond meat. I don’t eat them very often although cuz they aren’t very healthy but sometimes you have to satisfy that craving! lol
2019,"Since Beyond Meat IPO’d, the plant-based meat company’s stock price has gone up over 300%.  And it has investors wondering if its main competitor, Impossible Foods is also going to be IPO’ing anytime soon.  #BeyondMeat #ImpossibleBurger #ThisIs880

https://t.co/DxWmsky0xu"
2019,Is @BurgerKing’s Meat-Free @ImpossibleFoods Impossible Whopper as Good as the Hype? https://t.co/MKXEYIYWUZ
2019,"Water tower photobomb of my wildly great oh my god how is this not meat seriously this is excellent Impossible Burger. 
.
.
.
.
henryssandwich 
#impossibleburger #vegetarian #burger #food #foodpic #foodphotography… https://t.co/ZyAfBIQ0ds"
2019,"I finally got @PerskiAdam to eat meat! JUST KIDDING. This morning, I read that @ImpossibleFoods teamed up with @littlecaesars to create the Impossible Sausage, which is now going on top of pizza... And I knew I had… https://t.co/8cWet9p7Z3"
2019,@linav8 @blacktulip07 I do want to try and make it at home. Target and Walmart do sell the impossible “meat” it’s of expensive side.
2019,"Be careful @BurgerKing if u order the impossible whopper, just got 3 of em all real meat, and one of us doesn’t eat meat 😡😡, also ordered bacon cheesy tots for someone else and they said they don’t have em and wouldn’t replace with fries after paid extra for the tots 😡😡#fail"
2019,Annndd because of who I call LA Leshem @supermarketcr8v and since I don't and I can't red meat - Michelle posted that she went to Burger King to try the Impossible Burger and she loved it  - I went today and got the… https://t.co/dmYCpmcTVP
2019,"@MichaelClewley What I mean by 90% is if you try them side by side you’ll immediately know the real meat burger, but if you have the impossible burger first you’ll think that’s a burger!"
2019,"@raylehmann @Noahpinion Yeah! There are various strains of this - @MeatlessMonday, @Reducetarian, etc. Def an important movement, for omnivores to consume fewer animal products. It's one of the big hopes for things like the Impossible Burger - that omnivores will eat it instead of meat some of the time"
2019,"@raylehmann @philipaklein yes, @raylehmann is right. my hope is some carnivores will like and eat them - less that veggies like me will have new meat-like options.

some meat eaters have told me that they like the impossible burger - @CathySalustri, am i remembering right that you've enjoyed them?"
2019,i will never trust a fast food chain’s impossible/beyond burger because i know the employees will cook that shit on the same grill as the meat burgers like i appreciate the effort but nah
2019,"@BrandonKravitz My brother is a vegan, he and I had impossible burgers at Wahlburgers in Vegas last year. Honestly you would not be able to tell it wasn’t meat if they didn’t tell you. I was skeptical at first."
2019,"@shannonrwatts @whithonea Skip it and try Gardein, the Beyond Burger, Impossible Burger, and vegan Ben &amp; Jerry’s. 

Is it healthier?  No. But it isn’t meat."
2019,"Impossible meat made boneless wings 

Make it happen"
2019,"@GreenpeaceEU @koan_zazen We cannot keep feeding on meat,now that the planet is way over populated,ppl need to get awsy from meat altogether,saw a special that really impressed me with the 'impossible burger' with no meat but full of flavor thanks to 'heme' check it out! Soon Impossible Meat will be here"
2019,Just ate my first fully vegan meal... I’m impressed af. The impossible burger actually bleeds like real meat and has the flavor to a t. 10/10
2019,The #vegan Impossible Burger at Captain America Diner in #IOA is almost meat-like enough to fool a carnivore. Almost. 😉 .@UniversalORL ^@skubersky https://t.co/5G0wDArD3Q
2019,"This place has the impossible burger, not sure it's a good idea given it's meant to taste very meaty and I've not eaten meat for years."
2018,"@ElChicoVegano LMFAOOO

I’m fortunate enough that my job actually has impossible burgers and beyond meat burgers.... but rarely has them ready lol"
2018,@bombve I mean it’s getting to the point where identical replicas of all meat will just be accessible. Impossible burger was announced when I went vegan and it’s hitting stores in 2019. White Castle and mc Donald’s are planning a nation wide rollout which is WILD
