date,content
2021,"In the last few years, two California companies have dominated the headlines about alt-proteins.

Los Angeles-based Beyond Meat launched its plant-based meats in 2012; San Francisco’s Impossible Foods burger followed in 2016.

https://t.co/OCNWZMkh87 https://t.co/FMKT5RXvSB"
2021,"@SeanKeeleyIsMe I've heard of Impossible Meat before, but is this Infinite Meat?"
2021,"We generally have plant-based menus and impossible meat tacos for lunch on campus, but today there's this: ""DONUT CHIPOTLE CHICKEN SANDWICH: glazed donut, fried chicken, jalapeño, bacon, fried egg, chipotle sauce.""

Ah, the extremes of California hipster food..."
2021,Rebranding the Impossible Burger to Implausible Meat.
2021,"@justjim00001 @nypost No, economists did not say that. And no I don’t want to debate. It’s impossible to describe how little I care about your opinion. I acknowledged that trump never followed through on his promise. You chimed in and wanted to show everyone how much you want to blow him. So go away👍 https://t.co/1NdRpZYxog"
2021,"I probably pay more for the thin sliced stuff, but so little can go so far. 

It's also nothing like ""thin cut steaks"" which are stupid little pieces of meat that are almost impossible to cook correctly."
2021,@alexis_mariahhh Is it with the impossible meat?
2021,"@Bongwynnnrose They have some new vegan things since last time we went and it is all reallyyyy good! New impossible apps, a vegan chefs special app, and a chickpea/rice/bean/impossible meat rice bowl! Two new ramens too! Idk how new they are but new to me anyway LOL"
2021,"A morning meditation:

Dear impossible meat, I thank you for being a forerunner! You made a way to plant based when there was no way but now it’s time to move BEYOND, to a new realm of the POSSIBLE. Oh Beyond meat, we hail thy greatness &amp; welcome a future w/ less saturated fats🙏🏾 https://t.co/w73ftyuAZ7"
2021,@BassMonsterTiff He got me as an enemy forever when he put impossible meat in some damn gumbo
2021,"I have tried the Impossible Spicy Sausage in a tube for my weekend fry-ups and it's okay. But I don't recognize the flavor as being like any particular type of meat. On the other hand, the Beyond breakfast patties taste like pork to me! https://t.co/RwZMG2XUiO"
2021,"@textualdeviance @AngryBlackLady Yes, like sometimes I make vegan meals, and sometimes vegetarian, and sometimes I eat a steak. I have health issues that make it impossible to not eat meat."
2021,"This is being done on purpose and the name of “climate change” ... But they are trying to take over the food production. And force us to eat bugs and impossible meat.

Bill Gates also wants to put edible vaccines into his GMO tomatoes. We must called us out and stop it. https://t.co/efoA7yQYDO"
2021,"This may be an article mostly about the alternative meat food sector but damn if it’s not also a reminder of how entrepreneurs can thrive in California. (And full disclosure, I’ve become a big fan of Impossible burgers during the pandemic.) https://t.co/AEje3Nncns"
2021,@AngieBMTH_ @Tesco The green labels...maybe?Interesting.  Prices of meat start rising don't be suprised if you start seeing more of this accident.  Because marketers are crafty.  I saw how quickly the posh packaging of impossible burger and beyond burger caused the meat producers to use the same.
2021,@MysterySolvent He’d be the Never-b-President burger made with Impossible meat.
2021,what is in impossible meat?
2021,Impossible Meat giving folks kidney stones lmfaoooo
2021,@gamakujira64E @ufc_casual @NickersonMMA @KrisJax1 @JessicaKnapik How is he saying its less than tho? Is impossible burger less than real meat? No.
2021,"Life is short. If you can't spend it coding against an impossible deadline then you may as well spend it with dry plants and wet children. I'm getting ready to hop back into the meat grinder in a few minutes, y'all talk amongst yourselves!"
2021,"Made a burger with impossible meat for lunch . 

Not gonna lie shit is 🔥. 

I’m just saying . . . https://t.co/bkvGHAw806"
2021,@DaBeachDude1 I’m making pasta for lunch lol with impossible meat
2021,@DebbieG68107721 You can literally just add an extra can of beans here instead of impossible meat. I am going through an impossible meat phase in general cos I can recreate stuff that tastes exactly the fn same as it did in childhood and it's trippy af.
2021,"@notnorth_ I think the comment that ticked their community off was his comparison of transgender genetilia to beyond\impossible meat, it might taste the same but its not the same 😂. His main points though is that trans are over-senstive which they proved yesterdays protest."
2021,impossible meat taco salad from rubios is BUSSIN
2021,I just had the best burger I’ve ever made in my life. I used the impossible ground meat instead of a patty… 🔥🔥🔥
2021,"@plankoakland 
So disappointed.  I'm tired, restaurants change @MorningStrFarms veggie pattie for the @BeyondMeat . Impossible meat is not vegetarian or vegan. So disgusting. You guys need a lot more education about vegetarian diets. https://t.co/pqetv2MuMF"
2021,@MsBarron19 @Dlmwart @LibertyLumpia @JoeBiden ... small Ranches are unable to get butchering done unless they own a trailer. Renting anything that has to do with meat is almost impossible and unaffordable. Food scarcity is only going to get worse unless we support small Ranches or farms. Buy local search for small Ranches.
2021,"@AbuDhabiDude @adonismoore85 You have to remember who Impossible are really marketing to. It is not Vegan’s, that would be preaching to the choir. Impossible are on a mission to get all meat eaters off meat. Stating this is just like chicken is essential."
2021,"Plant based Bro Mac. Funny how I used to eat things that replicated meat, even though my personal view despised the killing of animals for food. Took a few years to get past that stage. #impossible #beyond #vegan #vegetarian https://t.co/Pol5MZOxwC"
2021,Dave Chapelle said “transgender pussy is like impossible meat; it’s not quite the same as the real thing” &amp; I FUCKIN HOLLERED🤣🤣🤣
2021,"i just ordered all impossible burgers for my coworkers without asking cause i’m not buying the meat, they won’t even notice 😎"
2021,"Vegetarians: do you enjoy the faux meat trend? i.e. Impossible burgers, ones that mimic meat. 

I’m not a particular fan. I’d prefer a veggie substitute. Curious what the community thinks."
2021,"@mattyglesias What about insect protein in processed alternatives to traditional meat, which are currently vegetarian? If someone is willing to switch from beef to Impossible Burgers would they object to a version containing ground-up invertebrates instead of engineered soybeans?"
2021,"Put a deep conditioner on my hair (Friday night baller!), and I kept smelling something akin to turkey tetrazzini all night. It made me a little hungry, but otherwise wasn’t bad. Woke up to learn I slept on some Impossible meat &amp; a rogue onion &amp; pepper from my cauliflower pizza. https://t.co/F5yr0myNKX"
2021,what if Impossible Foods made fake human meat?
2021,Impossible meat be doing what it needs to do.
2021,Meal prep: spinach ricotta tortellini with impossible meat picadillo 😋 https://t.co/JjB7ioqXAd
2021,"@FutureAboveAll Grocery outlet often has incredible deals on vegan cheeses, milk, meat etc so I buy it all and freeze it - one time they had the two pack impossible patties, 2 for 2.50 so I bought 150 of them"
2021,"I made my Afghan wife homemade impossible meat kofta and Afghan naan last night 👌🏻

(The wife is shit at taking food photos) https://t.co/JyPSDH1Feo"
2021,@dominos Impossible meat!
