state,before-covid,after-covid
Alabama,0,1
Alaska,0,0
Arizona,23,3
Arkansas,0,1
California,437,262
Colorado,0,10
Connecticut,0,0
Delaware,1,3
Florida,73,24
Georgia,45,42
Hawaii,0,1
Idaho,0,1
Illinois,0,2
Indiana,0,2
Iowa,0,0
Kansas,0,0
Kentucky,0,2
Louisiana,0,2
Maine,0,0
Maryland,0,13
Massachusetts,0,7
Michigan,0,3
Minnesota,0,2
Mississippi,0,0
Missouri,0,1
Montana,0,0
Nebraska,0,0
Nevada,0,1
New Hampshire,0,0
New Jersey,0,4
New Mexico,0,4
New York,0,0
North Carolina,0,10
North Dakota,0,1
Ohio,33,22
Oklahoma,0,0
Oregon,0,0
Pennsylvania,0,7
Rhode Island,0,0
South Carolina,0,1
South Dakota,0,2
Tennessee,0,1
Texas,90,70
Utah,0,5
Vermont,0,1
Virginia,0,1
Washington,0,11
West Virginia,0,1
Wisconsin,0,3
Wyoming,0,1
