date,content
2019,"@n0ned The best term for that is fasting, but any small progress to reduce and ultimately replace traditional foods with plant-based options is a success toward living a vegan lifestyle."
2019,"Love this! There are so many awesome plant-based, vegan food replacement options! One of our favorites are desserts! https://t.co/Ktg6qLnyOW https://t.co/v5aef5AZaW"
2019,"@mgrant76308 @gpnavonod I will never turn vegan what ignorance and plant based foods I will never buy
When it comes to food I will choose what to eat
Democrats are morons when it comes to  money or food"
2019,"1. I eat (mostly) a plant-based diet &amp; enjoy it tremendously.

2. Yes, you can be a vegan &amp; eat too many unhealthy foods. https://t.co/tCEJJ1fG8L"
2019,"Just saw a post that said “fun fact, it only takes 30 minutes for plant based foods to digest” lol WAT"
2019,"Plant based lunch using #Pappardellespasta, #NummyNibbles Mumbai chaat, cashew cream, carrots, chickpeas and peas. #plantbasedfood @ Fort Collins, Colorado https://t.co/VAFXQOUyU9"
2019,"why is “plant based” even a thing if they eat meat ?? like when u see “plant based” foods they’re made of plants, so why call yourself “plant based” if you’re eating meat lmao"
2019,"Plant-based food revolution is here to stay: Dunkin chairman
https://t.co/Sidcvng2Id"
2019,"Best ever plant based res chili. Boca and six different kinds of res chilies.#plantbasedfood #boca @ Fort Collins, Colorado https://t.co/5YqfkBK00r"
2019,"Chia seed pudding and fruits for breakfast. #plantbasedfood #plantbasedtestdriveworkbook @ Fort Collins, Colorado https://t.co/FmiiphVMoR"
2019,"had some Trader Joe's frozen porcini mushrooms, tomato sauce, vegan mayo, arugula and pine nuts. I added some Brandy and got this nice plant-based dish. #plantbasedfood @ Fort Collins, Colorado https://t.co/gv8aEY5y1Y"
2019,"Animal Welfare Org Says Plant-Based Fast Food Burgers Are Saving 250,000 Animals A Year via @forbes https://t.co/WVbuRPUExe"
2019,"Beyond Broth! 
✨Plant Based✨Super Food✨ ✨Organic✨Non GMO✨Soy &amp; Gluten Free✨Vegan✨Kosher✨
Yummy!! Happy Holidays! Stay warm with Beyond Broth flavors of synergistic vegetables, herbs and… https://t.co/wdOmlj8a0h"
2019,"#Solsticeparty  sustainable fashion for the holidays this Saturday at Nooch vegan market from 2 to 6 PM live turntableism by #DJCAVEM , organic / vegan food samples, a plant-based pizzeria and hemp clothing pop up by… https://t.co/uqEOOY5cuu"
2019,"Which one of these is vegan? Can’t tell? That’s because the year is 2019 and vegan food is all around us. In fact, you probably ate something vegan recently without realizing. The decade is coming to a close and we’re soaring into the future PLANT based. https://t.co/bzAie3bgx0"
2019,@TaelurAlexis At some point I think there's the danger of entering eating disorder territory. There's a fine line between a morally driven plant-based diet and socially acceptable food avoidance and hyper control of one's consumption.
2019,"@KoushikReddyMD Dr Reddy thank you for spreading the message that most people can reverse TD2 with a healthy whole food plant based diet and at least just walking for 30 minutes per day. It worked for me, and it even worked for my 96 y/o mother in law!"
2019,"Food service giant @Aramark serves food found at hospitals, universities, and NFL games. Tell them to do their part to fight the climate crisis by shifting away from animal products and toward climate-healthy, plant-based menu options! via @NRDC  https://t.co/DHOWNwKrpz"
2019,@Farmerssustain @TamarHaspel No. Growing a high intensity plant based food will never beat livestock.
2019,"WongWayVeg Gift Cards are the perfect stocking stuffer for your best plant based buddies, or your friends that are interested in vegan food but aren’t sure where to start! Gift cards are available in any… https://t.co/uihnP9cSTG"
2019,"WongWayVeg Gift Cards are the perfect stocking stuffer for your best plant based buddies, or your friends that are interested in vegan food but aren’t sure where to start! Gift cards are available in any… https://t.co/oFgDG0t7yh"
2019,"Stumbled upon Suncore Foods brand dried rose buds at Down to Earth. 
Intrigued. 
.
The brand has a website filled with plant based (no garbage) powders, petals and buds. Fantastic insta page and recipes on the… https://t.co/WebBItQxBp"
2019,"With 👵🏾 her eye on health &amp; longevity, this year mom agreed to a plant 🌱 based Thanksgiving feast.  15 out of 17 dishes were vegan or vegetarian.  All this food only took 3 hours to prepare!! 💃🏾 Trust me, I’m not… https://t.co/tSme3xoVhV"
2019,"Down 185 pounds since January 12,  2019. 70 more to go but doing it all through Whole Foods Plant- Based Living on our Great Plant Adventure!!  Thankful for this year. Happy Thanksgiving to all!! Aloha!! @ The Edge… https://t.co/tCaQ82XdCa"
2019,"@9NEWS No thank you I don't like plant based foods
I will continue to have a real turkey but thank you for sharing that horrible  information."
2019,"Check out this blog that I found talking about the many benefits of eating #peashoots  https://t.co/gBtaomLoor 
#plantbasedfood #superfood #healthylifestyle #plantprotein"
2019,Look at this SMORGASBORD this is why I love plant-based dishes there's just SO MUCH FOOD and yet it's so good for you 🥺💚 https://t.co/OfkUv49M0Y
2019,Plant based burgers are just a nice way for fast food giants to tell you their burgers have never been real beef. That is all
2019,"Soul food, from inception, was not inherently unhealthy. Slaves cooked mainly plant based meals because meats &amp; high sugar meals were not readily available. https://t.co/JqRdDbDn1Z"
2019,Hey @FourSeasons! Thanks for having me in to give your employees plant-based alternatives to game day foods!!! We made buffalo cauliflower w ranch and pulled “pork” jackfruit. I shared w your chefs- happy to help you add more vegan options to your menu for guests/staff. https://t.co/RDSIjWSdxf
2019,@mari_morenitaa Not gone lie most plant based food taste like hot garbage I’d rather eat:drink unhealthy bs tbh 😂
2019,"Just...ugh...
Arby’s makes 'meat-based vegetable' to rival plant-based meat craze https://t.co/LT71v55b57 #FoxBusiness #alternativemeat #food #why #arbys"
2019,waiting for the day we find out all these “plant based” meat replaces the fast food chains be selling are all a fraud and are really just plastic or some shit like that ... 😴
2019,"@giteau_rugby I never want to come across as preachy. But some great advice I received was to focus on the foods you want to eat plant based, rather than non plant based foods miss."
2019,Food is Medicine for Diabetes is a nutrition symposium for community and health professionals. Come learn about the healing effects of plant-based nutrition. This event is on November 16th from 7:15 AM to 4:30 PM at Coconino High School. Register at https://t.co/e3flxpcBAr
2019,"Tell @Starbucks that no one should have to pay more for an animal- and environmentally friendly option. Please ask them to stop charging extra for vegan milk!
●ADD MORE US PLANT BASED FOOD OPTIONS!!!
 https://t.co/o2KiDNzOlL via @PETA"
2019,"I’m going to try a plant based diet, I was giving it a shot today. The food was very good and I I had a lot of energy. Tomorrow I’m prepping for the week and I’ll be ready to start on Monday."
2019,"@rhythmicalexile Mixing god knows what combo of chemicals and soy together to make plant-based foods that mimic animal flesh cannot be good tasting OR good for you. I laugh at this stuff! I do like a good old vege burger every now and then, though. 🤪 Yo soy #vegetarian 🤣"
2019,Highly recommend watching @gcmovie on netflix if you’re an athlete or into food and health. Eye opener. I’ve been researching plant based diets for some time and this had some great info! #thegamechangers
2019,"all these plant based options becoming available is making me so happy. fast food or not, i’m glad low income families can afford to eat plant based now and i also have more options than just Taco Bell cause chile that was getting real old 😅"
2019,@Edm_HL PSA there can be a difference between vegan and plant-based! Processed vegan cheeses and meats are aight and some are downright delicious but learning about plant-based proteins in whole foods and getting a balanced meal outta that is sexy ✌️
2019,@suzymusing Being from Mississippi our diet consist of soul food it’s a true reprogramming of the mind to do plant 🌱 based meal but according to digestion it’s a must! I eat avocados 🥑 with everything is that the same thing?
2019,"Hey @PandaExpress how about designing a plant based, eco-friendly bag that won’t cause your food contents to flip on their side &amp; leak while carrying them? Perhaps update the food containers while you’re at it with sumpin’ environmentally friendly. It would help my walk of shame."
2019,@LPSorg #wellness #prevention #childhood #obesity #plantbasedfood #WHPB #nutrition #HeartHealth https://t.co/9HUbT853n6 https://t.co/p8f5Otezgr
2019,"Breakfast time!
@RippleFoods dairy-free plant based milk
@ParkersMaple syrup
Off The Grid blueberry waffles
and incredible edible eggs!

#ripple #breakfast #plantbased #nondairy #eggs #offthegrid #waffles #protein #yum #food #maplesyrup #parkerssyrup https://t.co/Gn8sAKOLcE"
2019,.Cows eat plant based food! https://t.co/1P9sSXUYph
2019,Y’all are really trusting fast food chains like McDonalds and shit to sell y’all plant-based meals? https://t.co/0o8YRvmTed
2019,"At last!
Impossible Foods’ plant-based “meat” is coming to 102 more stores https://t.co/48EEQvMvNH"
2019,VEGAN TWITTER: Drop your favorite healthy whole food plant based recipes for lunch/dinner 🙏🏼  PLEEEEASE and thank you in advance!! 💓
2019,"If heaven was a food 😍full review of my new favorite plant-based food truck in on the blog now, direct link in profile☝🏽@TheVeggieWhisp @ Rayback Collective https://t.co/Rw4rZyuqkp"
2019,@helloamygarner @TomSteyer Unicorns and pixie dust if you think you're going to get people to stop eating meat. You can't force people to do something against their will. That's fascism &amp; that's the road you're going down. Plant-based food processed into a meat product is horrible for you.
2019,"@Alyssa_Milano If #climatechange won't make you reduce your meat consumption then maybe this will. You should check out your supermarket meat freezers today, suddenly plant based meats such as Beyond Meats, Impossible Foods and more are now readily available. Give 'em a try!"
2019,@VodkaMuse Whole-food plant-based carbs are good for you.  So is masturbation.
2019,"Ima try plant based foods for 30 days... im excited.   But im ALSO still gonna eat steaks, and chicken, and ribs... but hella sparingly.. i wonder if that still works lol"
2019,@BoneVision @daiyafoods I wish I could go Fully Whole Food Plant Based (#WFPB). My job schedule combined with my bachelorhood makes it really tough.
2019,"Forget waiting for starbucks...I am ALWAYS down for a pumpkin spice latte😉👍🏻 a little pumpkin flavoring whipped into my plant-based @ripplefoods milk and it's Hellloooo Autumn🎃🍁
. 
#food #foodie #coffee #pumpkin… https://t.co/WSxYbOb3MJ"
2019,"Fresh outta the pan - NE sweet corn boiled to perfection in vegan butter (smartbalance), plant based milk (@ripplefoods ), and savory spices!
.
#recipe #kitchen #testkitchen #food #foodie #cook #chef #cheflife #new… https://t.co/WohohPcDkn"
2019,Plant based fast food is not any healthier than the originals https://t.co/7IS1UpIm74
2019,When asked about plant-based versus animal-sourced food debate Dr.  Simplice Nouala said it is not even a question in Africa - although need animal source foods in first 1000 days of life but can’t afford that - so idea of decreasing ASF during that period does not make sense
2019,"🍕🍪🥤🍟🍩🍔🌮🍦🥨🌭🍰🍭

Basically, it all supports a common refrain when it comes to diet advice: Eat fewer processed foods and more ""whole"" plant-based foods. 

🍎🥒🍊🥦🍌🥑🍒🥗🍉🥕🍑🍆 https://t.co/zmvaKbHEDt"
2019,@Realrclark25 Check out the CHIP program about plant-based food
2019,"Vox is going in hard with their plant-based agenda. After living the lifestyle for 17 years, I’m pretty sure we will be consuming animal foods for many years to come. https://t.co/ajkj0WLP9C"
2019,"We are BEYOND excited to now be offering plant-based foods at our LifeCafe concession stand in Section 104!

Beyond Burgers and Beyond Bratwurst are now available for our meat-free fans!
#GetUp #Lynx #WNBA #PlantBased https://t.co/OsN3IuhKNQ"
2019,"Processed food, even if labeled Plant based, organic or Paleo—are still processed foods. Whole Foods CEO says plant-based 'meat' is unhealthy https://t.co/1FnVdZIbnz #realfood"
2019,let’s change the conversation from chicken sandwiches at popeyes to the new impossible burger at burger king! plant-based “meats” are spreading to mainstream fast food and no one is talking about it!!
2019,"My wishlist for the 2020 @mnstatefair: 

1) NA craft beer (I’m looking at you, Hangar, to lead the way)
2) Corn Dog/Pronto Pup made w/a plant-based hot dog (@TheHerbivorousB, are you guys working on this?)
3) Fewer plastic cups/food trays and more obvious recycling.

What else?"
2019,"Organic, whole food, plant based breakfast. 

Fresh home-milled steel-cut oats made with homemade cashew milk and topped with nectarines sautéd with cinnamon and a touch of mirin. 

#organic #organicfood #vegan… https://t.co/8BOcihroAr"
2019,Black-owned vegan soul food restaurant. Dig the space and the food. 👏🏽 @ Trio Plant-based https://t.co/tPDOv6N96G
2019,"@amidala64 Everyone’s different. I’m not “dieting” just to lose some weight. for me the detox effects of fasting 2x/week plus a healthy nutritious diet with lots of plant based foods and protein, and regular exercise has been amazing for managing my CPTSD."
2019,"@wholewhole CEO hypocrisy. Plant based is NOT vegan diet. Of course you come down on plant burgers, the company has a HUGE stake in selling animal flesh. Foods CEO: Plant-based “meat” not all that good for you https://t.co/fKuru0lOfT via @thetakeout"
2019,"If you don’t have time to shop and cook or if you are the only one in your family traveling this whole food plant based road, @VeestroFood is certainly worth looking into! https://t.co/4K4MBXrozJ via @yotpo"
2019,last night my bf told me I was crying in my sleep and I just remembered I had a dream that i lived by a trader joe’s and I was walking thru the ailes crying bc I was finally near accessible plant based food grocery stores I-
2019,"Growth factors for #CPG leaders: acquisition, snacking, transparency, convenience, functional foods, plant-based @iriworldwide @BCG @GroceryMakers #CPGLeaders #grocery #cpg #retail https://t.co/OgpHFJ3NjT"
2019,"Breakfast, lunch and dinner yesterday. QUEEN OF WHOLE FOOD PLANT BASED LIVING. Not pictured: the 7 dark chocolate almond clusters I ate from sprouts https://t.co/1JCd7lGeJZ"
2019,"Pick up this month’s @DevourUtah! I wrote about Alisha Barker, a local Food  for Life instructor for @PCRM, &amp; two online classes where you can learn about cooking with plant-based whole foods 🥦🥑🥬🥒🥝🍅🥕🥔🍉🍌🍇🍓🍏🍐🍋🥥 🥗🍠🌶🍒🍐🍇🥭🍆 https://t.co/lCGkxgy5sO"
2019,"Plant Based lunch, oh boy this is some seriously good food! Plant Based Lunch at TMC will be created by Chef Walter Whitewater. 
red_mesa_cuisine fdihbinc @ Tsehootsooi Medical Center https://t.co/hNe1XNqxyA"
2019,@StefwithanfCOTW going to buy these and try them out. #plantbasedfood  #getstefsmoothies #smoothieobsessed #citizensandfreaksunite https://t.co/44sydWyNKp
2019,My main meat consumption probably comes from fast food — especially when out on storm chasing trips — so if/when fast food outlets start to supply plant-based alternatives it’ll make a big difference. https://t.co/z1FFWMnSKe
2019,"@CarlLippert That is the reason I am cautious about plant based meat substitutes, plus when one looks at the entire picture the carbon footprint isn’t that much difference, cattle consuming bi-products of food processing isn’t ever added into the calculation that I can find"
2019,"@IanCramer It’s an identity struggle to be healthy and not eat animals. The vegan mafia comes after you if you identify as whole-food plant based, but I also don’t want to identify just as vegan, because I don’t eat that crap either. So I have to type that I’m a WFPBNO vegan."
