date,content
2021,"Dr Lim shares his personal and professional journey from PALEO to Whole Food Plant Based in this #PCRM interview
https://t.co/6vOq4O3JlW"
2021,"One more study...inflammation markers down in just a couple of months following a whole food plant based WFPB diet
https://t.co/wOB4FWt9ZI"
2021,"Crypto, Digital Entertainment, Plant-Based Foods https://t.co/xeFwYvyb4B"
2021,"@honeygirl1978 @Cynthia_Slate @RobRobbEdwards get over it, people got to eat. you go graze in the grass and leave us meat eaters alone. they say- drs and scientists- if you only eat plant based foods, it destroys brain function among other things. no joke, you think its the right thing but its actually hurting your mind read"
2021,The acquisition marks the latest move by the St. Louis firm to target the plant-based foods sector.  https://t.co/3098kZ0tDa
2021,"Tip #1 for eating a whole food plant based diet: Know your WHY. When you're tempted to eat something you know isn't good for you, remember .... https://t.co/KKgusWolC1"
2021,Plant-based restaurant brand Native Foods is planning growth for the first time in almost a decade https://t.co/HMOfASAIDT https://t.co/9TkxmKs3Cf
2021,"""Eating more plant-based foods can help you lose weight, lower cholesterol and reduce your risk of heart disease — that's a win-win-win."" Read more below!
#hearthealth #nutrition #eatwholeharvest #plantbaseddiet #poweredbyplants
https://t.co/zeRghadYxX"
2021,Only (about) 5% of Americans get their daily fiber needs. Most Americans consume ~1/2 of the daily recommended fiber. Dietary fiber helps promote digestive health and vascular health. Eat more plant-based foods including grains to boost fiber intake. https://t.co/DV21D4iR6T
2021,https://t.co/BNVgzS4bk9  is run by a cardiologist who suggests a whole food plant based (#WFPB) diet to stop and reverse heart disease.  And he's not the only one. More and more doctors are waking up to the healing power of plants! https://t.co/T2TVAMBn6y #EatPlants
2021,"🖥️ Webcast alert! “Plant-Based Ingredients: Today’s Limitations &amp; Tomorrow’s Technologies.” #plant #protein #nutrition #health #food

Wednesday, November 10, 2021 2pm EST | 1pm CST | 11am PST

Attend free! ➡️ https://t.co/9Cpod5oUUk

@FutureCeuticals @kantha @innovatrending https://t.co/szvNH5jLgs"
2021,"@jrallf @ECOWARRIORSS I hate to disagree, but there would be land and food enough if the earth didn't have to support 70+ billion farmed animals.

How about we transition to a plant based economy instead. https://t.co/IK5VUY7oLR"
2021,"@KingDavidQPS @JoshuaK__ whole foods plant based and vegan are two different things and no one understands that 

and what you just said and what josh said are two totally different things lmao"
2021,Eat plant-based food https://t.co/KUoOrUS75k
2021,"@newscientist They're not meant to be anything other than alternatives to better save the environment and animals lol
Vegan does not equal healthy stop with the carnivore BS to discourage people to go on a plant based food consumption"
2021,Shiru raises $17m to develop new plant-based food ingredients - https://t.co/aX6XzZGENN https://t.co/cyvOkA3puj #futureofag #agriculture #technology
2021,What plant-based human food revolution means for pet food https://t.co/dRsGYOwOlW
2021,"@dezeen OK but *maybe* they shouldn't make edible things look so much like Tide-Pods? Its like if you made a revolutionary plant-based snack food but it looks *exactly* like razor blades, there's gonna be some dangerous consumer confusion."
2021,"Anyone notice that 90% of commercials are by Big Pharma?  Good health is cultivated, not injected or in a pill! 💊 #BigPharma #HealthyEating #healthyliving #plantbasedfood #plantbased #fitnessmotivation #fitness #health #healthyhabits"
2021,35 more Dr. McDougall newsletters to read and I will have read them all! Then on to finishing the https://t.co/HmWrdMD61c videos and blog articles - all of them! #wfpb #wholefood #plantbasedfood #plantbaseddiet
2021,"Healthy Nutella? Plant-based ice cream?

Better-for-you snax are 🔥 right now, but is it a fad or a longterm trend?!

Tomorrow @ 2pm ET, join me @mrsharma, @KatColeATL, @Cflexman of @Stardayfoods and @AylonSteinhart of @eclipse_foods for an open chat!

👉 https://t.co/EZyZP1D8sS https://t.co/f3MB8sbJ1w"
2021,How to Diversify Your Brand by Adapting Plant-Based Food Trends - https://t.co/zdVk9k6aBj #restaurants #hospitality #restaurantbusiness https://t.co/Umd9SwHAp4
2021,"What does it take to launch a vegan restaurant? In some cases, it means creating your own supply chain. Here's how MN-based Stalk &amp; Spade, Urban Vegan and @oddburger navigate the complexities of plant-based food. @FranTimes #veganfood #veganrestaurant 
https://t.co/wtYFRtHqEN"
2021,"From plant-based cheeses to cricket-based protein, these local food businesses just got a major investment  https://t.co/gwnEkfWp1u"
2021,"The art of #healing comes from #nature, not the #physician: https://t.co/L8QKtIGepj List of Best plant-based foods high in #protein https://t.co/9lA5ApgrtN"
2021,"@veganhippiesol Vegan does not necessarily mean healthy, that is true. That is why I tell people I am whole-food plant-based. BTW, I also care about animals."
