date,content
2019,"Who wants to be a stay at home wife Im tried of cooking and cleaning for myself 
*must also be willing to make @legend_daddy928 plant based food"
2019,"When your friend is all about plant based foods, you bring her Charro Vida Jackfruit Tamales.... Yup! Points! 
#immablessedman #jackfruittamales #charrovida #tamales #plantbasedfoods @ Louie's Pub - Tucson https://t.co/he7uwFI4L2"
2019,"Beyond Broth! 
✨Plant Based✨Super Food✨ ✨Organic✨Non GMO✨Soy &amp; Gluten Free✨Vegan✨Kosher✨
Yummy!! Happy Holidays! Stay warm with Beyond Broth flavors of synergistic vegetables, herbs and… https://t.co/wdOmlj8a0h"
2019,We tried Mexican Vegan Food at earth_plant_based_ Plant Based Cuisine in Phoenix Arizona and it was absolutely delicious. Authentic and tasty! Go visit our friends at Earth. You won’t regret it. Check out out our… https://t.co/sXaxB3AEIj
2019,Plant based Thai food is sooo fucking bomb 🤤
2019,"It’s exciting to see restaurants, esp fast food chains, adopt a variety of plant-based options. The decision to go veg/vegan can come down to accessibility. Now throw in some vegan cheese and I’ll be right there"
2019,Food is Medicine for Diabetes is a nutrition symposium for community and health professionals. Come learn about the healing effects of plant-based nutrition. This event is on November 16th from 7:15 AM to 4:30 PM at Coconino High School. Register at https://t.co/e3flxpcBAr
2019,So we stumbled upon a new Magick shop off grand next to the plant based mexican food place we went to. And this place is legit’ they’re having a beginners guide to bone magick and astrology classes. @DeviousGhoul I got you a pamphlet too! 😍😍😍
2019,Impossible Foods CEO slams rivals' 'awful' products that he says help convince shoppers that all plant-based meat alternatives 'suck' https://t.co/Coi1dYyfEN via @businessinsider
2019,"@psiico24 @CBCSunday @connie_walker @ETC_Group Depends on your definition of vegan. Regardless, the use of animals for food will likely peak and then decline, partly due to plant based alternatives, and in time the lab grown ones.  Looking forward to it!"
2019,"Went plant based two weeks ago. Cold turkey. No prep and just a little pep talk. I’ve had no issues or cravings. There are so many options!! And if you like preparing/cooking your own food, even better!"
2019,I’m happy all of these corporations are starting to make plant based food
2019,"I had to try one and now I’m hooked. The Impossible Whopper (plant-based burger) rocks!
.
.
.
#impossiblewhopper 
#plantbasedburgers 
#plantbasedalternatives 
#burgerking 
#food 
#burgers
#plantbasedfoods… https://t.co/HDmbVtrvCL"
2019,Eating more plant-based foods may be linked to better heart health and 25% lower risk of dying from any cause compared to those who ate the least amount of plant-based foods. https://t.co/W1Pcztfb6D
2019,"Plant Based lunch, oh boy this is some seriously good food! Plant Based Lunch at TMC will be created by Chef Walter Whitewater. 
red_mesa_cuisine fdihbinc @ Tsehootsooi Medical Center https://t.co/hNe1XNqxyA"
2019,yeah these foods are cool and are great alternatives but it gives people the wrong impression to how much food will cost trying to be plant based...these are OPTIONAL and there are so many other options to explore:) https://t.co/X9yFeHetEg
2019,I’m all for plant based options but we are getting bombarded with processed foods that are not healthier than the real thing. https://t.co/5K0JYwnqjP
2019,Encouraging sign that plant-based foods are on the rise. It's great news for the planet and will be much cheaper for ordinary consumers.
2019,@StreetSmartRD I wish we had some critical thinking before introducing new #plantbased lingo. In 🇨🇦 50% of cal. come from ultra-processed foods &amp; many are plant based. I worry plant-based distract us from whole food focus &amp; leaves consumers unclear about animal protein in diet. #rdchat
2019,Great to see @TysonFoods investing in protein alternatives and elevating connection between climate and diet. Hoping #GreenBiz19 offers even more plant-based food options at #GreenBiz20
2019,"#plantbasedfood #healthylivingrevolution #dnagenetics @ Mesa, Arizona https://t.co/mgtXh47K0z"
2019,The Good Food Restaurant Scorecard evaluates the plant-based options at the top 100 U.S. restaurant chains. https://t.co/fuvmNJ0K72 hint: add @AvosfromMexico #client
