date,content
2019,@AlexFerentinos7 @juliannejtaylor @FoodFirst_Ty Whole food plant based - healthy vegan unprocessed or minimally processed food.
2019,2019 was a good year for all these new plant based food options. That’s all I’m looking forward to in 2020: new/more foods that’ll maintain this thiccness.
2019,@iam_preethi I had a decade of bad health on the Carnivore / Keto diet - resolved by going whole food plant based (healthy vegan) 7 years now.  Actually read research instead of taking internet seriously.  Surprising how much of the “carnivore research” is illegitimate. Critical thinking. 🌱
2019,@MikeAlbertMD @virtahealth I’ve been off insulin for 9 years after transitioning to a whole food plant based diet. My A1c dropped from 12.5 in 2010 and it has been between 4.9 and 5.2 ever since. When may I say that I reversed my T2D? https://t.co/Nr67IrhAWh
2019,Visit Kristin in the demo kitchen today to try some delicious vegan pies 🥧 from sugar_plum_plant_based_bakery! On sale for just $12.99! @ Sacramento Natural Foods Co-op https://t.co/MnJF3qROcL
2019,@LOWCARB_TOOLBOX @Brooker1982 @kevinnbass It is about health to me also. I’m unquestionably achieving my best health on a whole food plant based diet.
2019,"Thank you marincountyvegan for the love and shoutout for some of our plant based food options!

#Repost marincountyvegan with make_repost
・・・
Vegan finds at United Markets @unitedmarketsca...
🌿
The Cinn from Spero… https://t.co/j3KRa1Dnh7"
2019,"@infeldMD @TonyMartin76 @agargmd When I was on Rachel Ray with Bob, in his episode, he demonstrated how he blended Ghee with coffee as his energy drink. The cause of his MI was a plaque rupture from atherosclerosis, which has been shown to be reduced by a whole food plant based no oil diet."
2019,"@MikeEnRegalia @richcollins @SBakerMD @ArnonKrongrad @ForTkdi @kevinnbass Yes, they shifted mostly to a whole food plant based diet while discontinuing other unhealthy practices. Pretty much like the Seventh Day Adventist population in So Cal, which is the worlds longest lived population. So we agree that WFPB and not smoking has the best longevity?"
2019,"@SBakerMD Yes, the results were predominately from a shift to a whole food plant based diet, which is what I practice and advocate. :)"
2019,"@linden2015 @SBakerMD @ForTkdi @ArnonKrongrad @kevinnbass Yea, so I’m &gt;95% whole food plant based. Big deal."
2019,"Big time @wildearthpets fan here to share w/ you another @weareveganuary dog food option
ⓥ
This game changer in the plant based dog kibble world has the highest protein levels w/ 31% clean protein
ⓥ
But it’s not all… https://t.co/LzAnISC7jk"
2019,@drandyphung My wife’s 97 y/o mom just got off her diabetes meds 5 weeks after moving in with us and transitioning to healthy whole food plant based nutrition. I’ll send you the case study when it comes out.
2019,"@kevinnbass I and vegan Twitter (I only speak for myself but I’m unaware of any disagreement) agree that vegan junk food is, in general, unhealthy, and that people should eat a whole food plant based (healthy vegan) diet for best health. JUST BECAUSE IT’S VEGAN DOESN’T MEAN YOU SHOULD EAT IT"
2019,"This New Year, rather than go to the gym for 2 weeks and fail on Keto again, why not try whole food plant based (healthy vegan) nutrition instead, and just walk 30-60 mins/day to start. Go 100%, find mentors, and in just 3 weeks you may feel like you stepped out of the Matrix!"
2019,@SamMoulton @MichaelCade1 I believe U can get what U need from plants &amp; some supplements might B warranted. A move 2 a whole food plant based diet has tremendous benefits and each person would be best served to check with their DR &amp; do their research &amp; choose the path which they are most comfortable with
2019,"@martymatfess @HilaryMatfess Same, Mr. Matfess. Next time I’ll pull out the big guns. Things like, “my wife washed my favorite shirt before my last day of class” and “people will just assume you’re a vegetarian so they’ll have plant-based foods for you without you having to ask.”"
