date,content
2019,They have plant based food truck outside my gym but i have yet to try it
2019,Your favorite foods... made plant based (all plants) 🌱 ......a thread:
2019,"So, it turns out that she is part of this collective that’s trying to opening a teaching / communal space where classes about food, herbs, plant-based diets. 
So, she’s been looking for a 
plant-based chef to cook &amp; teach for some time now, so she offered me the position."
2019,@LSUnutrition @JamieMeeksRD I hope LSU promotes whole food PLANT BASED for their students and athletes. All athletes should see the movie game changers on sept 16th
2019,"Mommy Cooked Plant Based Tacos ♥️🍃 Mushrooms, @beyondmeat Meatless Meat, mccormickspice Taco Seasonings topped off with  violife_foods Dairy Free Cheddar Cheese 
.
.
.
.
.
#love #natural #essentialoils #plantbased… https://t.co/qysWBahKe9"
2019,"-
#fruit #karma #naturalhealth #plantbasedhealth #plantstrong #plantbasednutrition #plantbaseddiet #plantbasedfood #plantbasedvegan #rawfooddiet #healing #naturalhealing #holistichealing #alkalineliving #alkaline… https://t.co/lHE6UGtEna"
2019,"#HomegrownNola #homegrown
#naturalhealth #alkaline #alkalinefood #alkalinehealth #alkalinediet #alkalinevegan #alkalinelifestyle #alkalineliving #plantbased #plantbasedhealth #plantbasedfood #plantbasedliving… https://t.co/IFpjYInVcg"
2019,Being plant based when offered free food that has meat in it I always offer the plate up.
2019,"#Repost @NewsAlkaline (get_repost)
・・・
Love this ☺

#naturalhealth #alkaline #alkalinefood #alkalinehealth #alkalinediet #alkalinevegan #alkalinelifestyle #alkalineliving #plantbased #plantbasedhealth #plantbasedfood… https://t.co/HDRt1wlwe1"
2019,"Sunshine on the bayou! Fresh and hot plant based food and mint moss tea 1/2 gallon @ New Orleans, Louisiana https://t.co/0fpdpUB8P9"
2019,"#Repost @ProjectVeg_org (get_repost)
・・・
Eat foods with life and it will give your body life.
.
Plant-based lifestyle is the way to go.  Get back to nature!
.
🌻Follow… https://t.co/MT2ySsCrNB"
2019,"It’s about to be Mother’s day! 😃 
Come share the hoorays! We’ll have some vegan citrus bunt cake, and some strawberry mimosas to make your day!

Don’t be shy! Come on by! We love sharing our plant-based food and… https://t.co/gybrXLxmes"
2019,"The only down fall off plant based food

Stuffing yourself and being hungry 20 minutes later."
2019,"@cassafrasstea @JoFreakingBro But when the food is 95 percent from scratch and plant-based, it’s fine. It’s fine. https://t.co/KUISBOW52G"
2018,We will be set up in the @nolafoodcoop every Tuesday-Thursday 4-8 serving hot and healthy plant based food(No soy) https://t.co/pgoWyJLikK @ Cafe Istanbul NOLA https://t.co/XYlgFfOrpr
2018,"Here's today's @LATalkradio podcast with guest @freshfoodalchemy discussing the industrialization of food, the health benefits of a plant based diet.

Show link: https://t.co/alDgVsgcKi

Become my patron: https://t.co/132zOdAAaC"
2018,"“dramatic results for patients with type 2 diabetes, high cholesterol and high blood pressure who go on a whole-food, plant-based diet. “Those chronic illnesses can reverse in a period of a few weeks,” https://t.co/mpGAv4YjNI"
2018,"What’d you do this weekend?
I got to host an incredible party
@shesamelia &amp; @samwyse_ performed🎤
I cheffed some delicious food up🌯
see more yummy stuff —
follow the plant based movement… https://t.co/Tc4SbYoDRq"
2018,"Just bought some lovely vegan cookbooks. I’ve been holding on to fish as a crutch, but ideally I’d love to be able to prepare well balanced meals made solely of plant-based foods."
2018,"We don't want no meat mumbo jumbo,
Give us that good 'ol Okra Gumbo!
With plant-based Andouille and Cajun spices,
Come to Breads on Oak to see what the hype is!

#plantbased #cajun #food… https://t.co/NZXkVKAiDt"
2018,@MacLethal @joerogan @TheAlanAragon I use to be keto..I lived..I learned..whole food plant based..pasta is a processed food..NO OIL..
