date,content
2019,"The dark side of plant-based food – it's more about money than you may think. The result is that today, private interest and political prejudices often hide behind the grandest talk of “ethical” diets and planetary sustainability even.
 https://t.co/KwmyIagYLG via @ConversationUK"
2019,Plant based food. #sanowarfitness #fitness #vegetarian https://t.co/GpnCqz5LH9
2019,"@MsGRANDness Yes ma’am! Hella water, plant-based diet, little to no fast food, and hella positive energy"
2019,"@JustCandace1 @SteveHunt4HoCo @hocorising Wait, what? Of course tomatoes go in salads. What’s the botanical rule? Any plant-based food is a fruit? Vegetable don’t exist botanically."
2019,"This ones my 3rd Vlog, I had so much fun filming this one, got to meet my friends soulmate, hit a metal concert and cooked some good plant based food with the fam. https://t.co/q40Z6uJ0Ah"
2019,Everyone should reduce their meat intake and eat more plant based foods so we can save the planet :) https://t.co/DtXqGwsShG
2019,@hersheyKIsses__ Plant based food
2019,"@KosherSoul Vulnerable has been the word of the day! I too felt that way leading to cooking sessions at US Botanical Gardens on plant based soul food. Being accessible, open to connecting life to the food is important. Food is communication like faith."
2019,When I hear “plant based” in a good conversation I know they don’t eat food that tastes good and are annoying so I just ignore the rest of the conversation
2019,"Tofu scramble for the win! I used the recipe from @Kris_Carr in her cookbook, Crazy Sexy Kitchen. Mangiamo! 

#veganfood #vegetarian #vegan #plantbased #plantbasedfood #plantbasedvibes #foodie #crazysexykitchen #kriscarr https://t.co/50mhl0SU9M"
2019,Vegan butternut squash and white bean chili is doused with cilantro. You definitely need a bowl to warm you up today! #goodfortheheart #veganeats #plantbasedfood #greatnorthernbeans #butternutsquashchili #veganchili #butternutsquashwhitebeanchili #cilantrogarnish #eatmoreveggies https://t.co/dFERHcqpLM
2019,"When I say work and play can be done together, that's the real truth!! Just like the food right here! Let me@tell you I had noooo idea it was all plant based til I literally savored every bite. Yes I had the moands… https://t.co/guWLWc3AFj"
2019,"Whole foods tricked me into a promise of 50% off frozen pizza. Beware the asterisks, people, for they will lead you to *plant based protein."
2019,@FredieGilbert Here in DC a lot of my West Indian and Adventist friends have made eating plant based MUCH easier. I couldn’t do it living in NC or TX lol. I love BBQ and Mexican food too much hahah
2019,The weather is finally cooling down so lentil &amp; potato soup it is! #veganeats #fiddleheadchef #customizedcuisine #dcchef #eatyourplants #lentilsoup #potatolentilsoup #lentilpotatosoup #plantbasedeats #ayurvedafood #chefswithoutrestaurants #veganfood #vegansoup #plantbasedfood https://t.co/MFMP6Z2y9R
2019,"@PennyWatrasDana @eclipse_foods @EquinoxDC @Forbes The language is still a point of contention. I say “plant-based ice cream” in the piece but, yes, it’s true there’s no cream in it."
2019,"Now a #ReducetarianSummit panel on influencing policy. @MicheleRSimon says @GrowPlantBased is trying to ""level the playing field"" for plant-based foods, focused on issues such as checkoffs, USDA dietary guidelines, school food, farmer incentives, and labeling. https://t.co/MMd8ly4kSQ"
2019,plant based food options getting more popular &gt;&gt;&gt;&gt; https://t.co/w5Bu6lePV1
2019,Not Sure What To ThinK Of These “Plant Based Foods” 🤔. https://t.co/B7ENIcBwWU
2019,"@krishashok @i_read_write @adbsideload I agree and that's why there are plant-based mimics of different food items such as burgers, turkey burgers, chicken burgers, and sausage patties. A lifelong vegetarian wouldn't have a reference point for any of these."
