date,content
2019,@RonBlankstein Whole Foods plant based diet can help prevent and/or reverse many diseases.  @DrM_ODonoghue suggested watching the documentaries #”Forks  over knives”and #”What the Health”both great resources for patients
2019,"@__ericalee We should so invite her on our adventure on Christmas 😂 and legit me too. Cant wait to be in the ""lounge"" going in on out plant based food."
2019,"#MindfulMonday 
This is a great time to try new foods &amp; get creative, even if you aren’t vegan! Visit the Harmony in the Dining Commons for tasty vegan meals and inspiration. 

Learn the benefits of eating plant based in November's Nutrition Newsletter: https://t.co/7Q1GaFAy9u https://t.co/37Ciz4y5hN"
2019,"@sidfernando @Steve_Byk Steve/Sid, I think the entire world is shifting towards plant based food and away from slaughtering animals for food and certainly entertainment is following along.  These meatless burgers are a big deal"
2019,"The coldest 🥶 temps we’ve had since March are here! #winteriscoming 

So what FOOD do you LIKE to eat to fight the #winter blues? 

Experts say lean proteins, fruit/berries, eggs/nuts, dark chocolate &amp; plant based foods can help make you feel better! Respond w/ a GIF! 👇🏾 https://t.co/RBMPRbUOSj"
2019,"It's Food Day in the Dining Commons today! 

Join us and FSU Community Nutrition Students during lunch to learn about Fair Trade, local foods, plant based diets and more. 

Plus, sample student recipes, play games and enter raffles! @FraminghamU https://t.co/RevG3NKlUB"
2019,"@RealPoorMogul @AmChemMatters LOL I will still be standing. I eat a plant-based diet, advocate for Green chemistry professionally and personally and live a Green lifestyle. Just left the Boston Vegetarian Food Festival.  Sure you want to check in?  How about opening your mind and heart -good for everyone:) https://t.co/yNgDgluTjS"
2019,"What a kick off #FoodPolicyat50! 

We feel inspired to be in a room full of nutrition science and policy LEGENDS &amp; we’re officially fired up w/ discussions on red meat, #DGAs, #Sustainability, nutrients v. Food, plant-based meat, &amp; the woes of nutrition research. Ready for Day 2 https://t.co/ysCNosmCNi"
2019,"The Chief Concept Officer for #KFC said, “KFC Beyond Fried Chicken is so delicious, our customers will find it difficult to tell that it's plant-based."" 

IOW they’re feeding us Lab Food!! 🤷🏽‍♂️ https://t.co/T1KJM8OAMK"
2019,"Var að sjá pylsuauglýsingu í sjónvarpinu í USA:

„Plant based food has yet to make mouths water...

C’moooon, eat a hot dog.“

🤮🤮"
2019,".@BurgerKing chose Impossible Foods for its plant-based Whopper patty over Beyond Meat because it was the best product for their guests. 🍔 

We see you putting your customers first, @BurgerKing 👏 🙌 

https://t.co/a02yRlCsZR"
2019,"Plants vs T2D...when details matter...

“This association was strengthened when healthy plant-based foods, such as fruits, vegetables, whole grains, legumes, and nuts, were included in the definition of plant-based patterns” #plantbased 

https://t.co/ptOGI5X6qb"
2019,@easy222remember Human digestive systems can adapt to just eating plant based foods. At one point most humans usually ate plants. So yes u can be totally healthy just eating a plant based diet.
2019,"Love my #VEGAN life #cheese #Goodfood #life violife_foods_usa. 😋
 its been a blessing transitioning into this plant based 🍀 diet , can't wait to implement the benefits of a #natural #plantbased diet to my specific… https://t.co/iCBKIXU4Gx"
2019,"@freedominguez Then I submit hamburgers cannot be called hamburgers as they are made of beef and not ham. French Fries also need a new name, contains no actual French people. 

Veggie patties works fine for me. Plant based food pucks. UFOs Unidentifiable Food Objects. Whatever."
2019,@_sandaaay I am plant based and I work in a vegan restaurant. You should always ask them how long the food has been out. If it's been more than 3-4 hours then the food is no good and has catched bacteria. Also if you see food out like on the kitchen especially in containers then they are
2019,"Great news for this week’s opening of @PlantCityPVD, a vegan food hall in Rhode Island’s one big city: plant-based cuisine is healthier than 👇https://t.co/C3oMThjwt7"
