date,content
2019,"@TravisMcP It drives my vegan friends crazy that when I order plant-based when I’m with them, I go old-school vegan and never ordered any of this processed crap. They wonder why. I show them the packaging—their faux “meats” are more processed than anything fast food offers. 😂"
2019,Eating more plant-based foods would free up resources to move to higher welfare production and allow for land to be returned to natural forest. #PeakLivestock #MeatReduction https://t.co/d1tHKIzUT5
2019,"Ok I’m doing it. I’m officially going plant-based after watching Game Changers on Netflix. 

Please help me #plantbased community. I love food. I want to eat yummy food. So hit me with your best recipes ⬇️"
2019,"@PhillyGrub @GiantFoodStores Great variety in produce, plant-based options, and definite representation of local Philadelphia food companies. Look forward to seeing more to come."
2019,"Fighting cancer starts with every small change you can make &gt; 
- Use glass, ceramic and metal food and beverage storage containers @stasherbag @yeticoolers 
- Enjoy additional plant-based foods orgain @beyondmeat… https://t.co/GGZwUvV5fi"
2019,"All smiles on World Vegan Day!!! Come get some delicious vegan food approved by our favorite plant based health hero michaelgregermd 
Check out nutrition_facts_org &amp; give a follow and gain a ton of knowledge!… https://t.co/KFGnM7WJTE"
2019,I need some plant based fast food like NEOW
2019,@ChrstinaCupcake @heavensval @MarcusSaafir Lol I just don’t trust food from fast food chains plant based or not https://t.co/GkGbAy5weq
2019,Like I I’ll eat chicken twice out of the week the other five days seafood or plant based foods
2019,"plant based swaps are great, even if you aren’t vegan! these are a few you may not even notice. any questions ab products or anything, dm me!

dairy free coffee creamer
dairy free ice cream
switching to vegan chicken nuggets

re usable containers/bags are also easy/food swap free"
2019,Thank you @hopeandsesameco @ByDeliciousness @mozaicschips @handfullssnacks https://t.co/qWGsV7eyyT the future of plant base has been answered #plantbase #hopeandsesame #plantbasedfood #plantbaselife
2019,@RonFinleyHQ I’m challenging YOU!  Take a food (plant based) you don’t like &amp; make something delicious! Go from #Yuck2Yum! https://t.co/aWl7zLhL3N
2019,@mch7 I wish I could own some @ImpossibleFoods and all the other plant based food companies @alexisohanian &amp; @Initialized invest in :(
2019,It is a trap! Somehow fast food places make plant-based Burgers even more unhealthy than ones with meat. #impossiblewhopper https://t.co/LLNDshP0rV
2019,"Another Amazing Candle lit Plant Based Meal @RachelsPantry at a large table full of perfect strangers. Nit only some of the best Vegan food, some of the best food ever!

#happyanniversary 
#plantbased… https://t.co/QweUReFZIs"
2019,"@Yucghh @babybismuth I think they mean, ‘practice focusing on incorporating more plant based foods as opposed to thinking about it as limiting the animal products we consume’ it’s changing a negative mindset to a positive mindset (: but that’s just my take!"
2019,"Eat healthy and be happy with our Super Veggie Wrap!!
😁😁😁
💚💚💚
😋😋😋
#eatwell #eathealthy #behappy #happyandhealthy #superveggiewrap #eatyourveggies #plantbasedfood #plantbased #veganfood #glutenfreevegan… https://t.co/pfuW316JBZ"
2019,I Aint A Conspiracy Theorist But I Dont Trust These Fast Food Joints Serving Us “Plant Based” Foods…The Buck Stops At Vegan Fried Chicken From The Racist Colonel https://t.co/OLKDRnLuaJ
2019,Boycemode is plant-based meal prep with a focus on whole-food ingredients. Our health starts and ends with what we nourish ourselves with. Eating healthfully can also Be eating deliciously. The convenience of… https://t.co/VCNBnyf0yt
2019,"Just saw an Impossible Burger @BurgerKing commercial and my heart is warm. Although I probably wont ever indulge in one, I'm so stoked to see a major fast food chain promoting plant based options on national tv. Props BK."
2019,@kobychill Meat is generally more expensive than the plant based foods you need to get the same nutritional value from. No one is asking anyone to be vegan. That’s a philosophy. What’s being asked is that people reduce their consumption of animal byproducts. U don’t need meat. Period.
2019,"Have a Super Veggie Wrap and a superb day!! 
😋😋😋
💚💚💚
💪💪💪
📸Photo by @goodcakesfran 🙏🏻

#eatwell #healthyliving #eatclean #veganfood #plantbasedfood #eatyourveggies #itsawrap #whatveganseat #superb #superveggiewrap… https://t.co/FAJudWkdtL"
2019,"From start to finish. Boycemode is nutritional, organic plant-based meal prep.  Delicious and nutritious variety with a focus on whole food sources. We are what we eat . Give us a try and see what the buzz is all… https://t.co/bDL4iMtkQE"
2019,"@roseforthedead Sounds like some ""plant based"" Tyson Foods bullshit to me."
2019,"@sean84607652 @IMWHorvitz @lansberg @drpablocorral However, I would argue that the majority of chronic disease has been instigated by the constant push to get us to shift away from animal towards plant based food. #seedoils #sugar  #flour  #ultraprocessed"
2019,"KFC Vegan Burger sold out in 4 days

Sales of meatless alternatives soared by 268%

Plant-based meat market expected to be worth $27.9 billion by 2025

Every single vegan implementation of fast food has exceeded expectations tenfold. Congrats Arby’s, u played yourself. https://t.co/NcohBXBf69"
2019,@trillsAP Yes where all the plant based food is. The small aisle by itself
2019,"June 8, 2019 in Philadelphia, PA!  Our Philly-based Pinups for Pitbulls, Inc. team will there for the 2nd-year revival of Philadelphia VegFest 2019, Philadelphia’s own celebration of vegan and whole-food-plant-based… https://t.co/n90BuZtwJe"
2019,You know summer is near when shishkabobs are on the menu!  It's something about eating food off a stick that says summer 🌞creating plant-based versions of dishes everyone loves.  healthier nutritious versions that's… https://t.co/49d87CZSPe
2019,"Fun in the sun on Memorial Day with awesome friends and lots of delicious plant-based food!! 
➡️ Swipe right &amp; check out vegan &amp; GF crabcakes &amp; pizza
🍕🍕🍕
🇺🇸🇺🇸🇺🇸
🍉🍉🍉
#funinthesun #memorialday #gratitude… https://t.co/2XabEsV2oi"
2019,"Come get some yummy vegan tacos for @PhillyVRW 
All day long: from 9am-9pm!!
🌮💚🌮💚
💚🌮💚🌮
🌮💚🌮💚
#tacos #eattacos #alldaylong #plantbasedfood #plantbased #vegantacos #phillyveganrestaurantweek… https://t.co/4BOcVBGIwg"
2019,"@DisneyParks Plant-based implies no animal products. But your ""Plant-Based Cuisine"" menu has a majority of food containing dairy/eggs. 

It'll confuse a lot of people who assume it's truly plant-based (think internationals w/ allergies). Just call it ""Veggie Cuisine"" &amp; mark the vegan options."
2019,When someone says they can’t go plant-based because the options are limited ... Show them this post .. Banana Bread with walnuts and carb chips... made with whole food ingredients ...… https://t.co/gVo0hKyPKz
2019,"Could you give up eating meat and animal products?
Here's how some of my friends reacted when I told them about my whole food plant-based diet | https://t.co/E32Ol1UzEW
#WFPB #meatfree #HealthyLiving"
2019,"I stuck to my New Year's resolution to eat a whole food plant-based diet and dropped 25 pounds, never a bad thing when you're in your 40's. I talk on my YouTube program about this nutrition strategy also adopted by Tom Brady and Venus Williams: https://t.co/1IjIQQ7uQk #WFPB"
2019,"An easy, unfussy way of eating more plant-based foods! 🥬 This colorful recipe book makes cooking simple and tasty. Come by and check out all our new spring arrivals. Shop hours are… https://t.co/tPBOFmLunJ"
2019,@eatingveganwme Yes!! I need more plant based foods in my life
2019,"Love trying new vegan spots when I travel! Puerto Rican inspired plant based food @barbombon ...
•
•
•
#vegan #matchalover #blackvegan #blossoms #vegangoddess #NY #instapics #foodie… https://t.co/fOtAwJguuR"
