date,content
2019,@mokiesunshine I’ve been eating mostly Whole Foods plant based the past 2 weeks. No meat at all. Recipes I’ve found for making cheese sauce uses nutritional yeast. Haven’t tried it yet but I will
2019,"@NanciGuestRDPhD @dougkalmanphdrd @JoseAntonioPhD I don't think your examples demonstrate what you think they demonstrate

And all ""plant-based"" definitions outside of vegan/vegetarian circles use word ""mostly"" (or similar) in regards to plant food in that diet. That's operative word."
2019,The entire ED staff here is crushing salads and plant based food tonight after we have been talking about the @gcmovie all week. Woop! #healthyinhc #plantsareyummytoo #TeamGameChangers #teamnightshift https://t.co/Er5jIhTW7J
2019,"Here's a little behind the scenes of a project my wife and I have been working on to share all the fun we've been having experimenting with whole food, plant based recipes and lifestyle. Stay tuned.... @ Dublin, Ohio https://t.co/qrnbCRaVYV"
2019,"Appreciation to the hardworking folks on our Farm and in our Kitchens  who provide such a wealth of amazing and delicious plant-based options—and an education in food—for our campus community! 🌱 #WorldVeganDay

https://t.co/8Jm1K1vLDY"
2019,@b3nbohrer Does it talk about plant based foods replacing meat? Just curious.
2019,just wanna make music forever and travel the world and eat all the exotic plant-based foods is that so much to ask
2019,"@SpookCentral i like all the foods that are bad for me, but i’ve been eating plant based here for the past few months to benefit my health and actually like eating those foods too! i cheated tonight though and ended up going to OG to get some food😂"
2019,"When Mom comes to visit and have her first whole food, plant based meal with us, we pull out all the stops. 

Made-from-scratch whole food veggie burgers with vegan big mac sauce, baked sweet potato home fries,… https://t.co/i9MTkcLZkW"
2019,"@varnicakes @herbivore_club @manuzero3 @mari_morenitaa If we’d stop raising and feeding animals for consumption, there would be enough plant- based food for everyone!"
2019,"Plant-based Whopper now available in Licking County.  Got one.  I’m a fan, ⁦@BurgerKing⁩. #plantbasedfood https://t.co/BOYWBUO22U"
2019,"@AngeloJohnGage @bigfatsurprise What about vegetable/plant based oils, processed foods, etc? It's an interesting subject."
2019,Crane watch.  ⁦@Natures_One⁩ building on ⁦@OhioPort⁩ campus is going up fast. #plantbasedfood  #Manufacturing https://t.co/RKaW5CDReR
2019,"""i do eat plant-based. I think that’s one of the reasons why I recover well. I don’t have allergies that I used to have any more”, relying on healthy, gluten-free, plant-based foods for higher energy and faster recovery time.👏

#plantbasedfood #poweredbyplants #WimbledonFinal https://t.co/tl8RRRxLm5"
2019,@Jack_Hutch98 @BeyondMeat Have you had the impossible slider @WhiteCastle ? there is some delicious innovation in plant based foods!
2019,Saturday June 8 - Business Insider Select:       Impossible Foods' and Beyond Meat's plant-based burgers aren't actually healthier than the fast-food originals      Via @businessinsider        https://t.co/bxmY4ZMBLT https://t.co/dM7zwzbmcG
2019,"High Bank Distillery is proud to bring you Food Truck Sundays!!! 
Beginning this Sunday, June 2nd — we will Bring in different food trucks at 3pm.
Seitan's Realm, a plant-based food truck is first up!
we will still… https://t.co/XN2Gor0f8G"
2019,Almost too pretty to eat and the best thing about it is it's all healthy good plant based food. Ambiance exceptional and a beautiful patio! 5 ⭐⭐⭐⭐⭐ #614 #columbus #asseenincolumbus #food #plantbased https://t.co/L9QnB3zO0A
