date,content
2019,"why is “plant based” even a thing if they eat meat ?? like when u see “plant based” foods they’re made of plants, so why call yourself “plant based” if you’re eating meat lmao"
2019,"Animal Welfare Org Says Plant-Based Fast Food Burgers Are Saving 250,000 Animals A Year via @forbes https://t.co/WVbuRPUExe"
2019,"Soul food, from inception, was not inherently unhealthy. Slaves cooked mainly plant based meals because meats &amp; high sugar meals were not readily available. https://t.co/JqRdDbDn1Z"
2019,@mari_morenitaa Not gone lie most plant based food taste like hot garbage I’d rather eat:drink unhealthy bs tbh 😂
2019,"I’m going to try a plant based diet, I was giving it a shot today. The food was very good and I I had a lot of energy. Tomorrow I’m prepping for the week and I’ll be ready to start on Monday."
2019,@helloamygarner @TomSteyer Unicorns and pixie dust if you think you're going to get people to stop eating meat. You can't force people to do something against their will. That's fascism &amp; that's the road you're going down. Plant-based food processed into a meat product is horrible for you.
2019,"@wholewhole CEO hypocrisy. Plant based is NOT vegan diet. Of course you come down on plant burgers, the company has a HUGE stake in selling animal flesh. Foods CEO: Plant-based “meat” not all that good for you https://t.co/fKuru0lOfT via @thetakeout"
2019,"[ FOOD FEATURE ] 
Meet Felisa Cargile of Poetically Vegan, a 1st-time food vendor at The Black Foodie Summit 2019.  As a Vegan/Plant-based transition coach, Felisa uses her platform to help others. 

Please welcome, Poetically Vegan to #TBFS2019. 
#MyChefIsBlack #EatRealFood https://t.co/eJDLa947AV"
2019,Eat foods that heal!  Read this inspiring story of restoration and redemption thru a plant-based lifestyle!  https://t.co/nLfLx1WncB
2019,Impossible Foods Raises Another $300 Million to Boost Production of its Bleeding Plant-Based Burger https://t.co/qRAvUSqxsg
2019,"The best plant based yogurt I've ever tried. This is the bourbon vanilla flavor. So delicious! 
#culinayogurt #plantbasedfood #delicious #yogurtinaterracottapot https://t.co/Ue3bNvD2SR"
2019,"Focus on Proteins #3
Replacing red and processed red meat with sources such as beans, soy foods, nuts, fish, or poultry reduces risk of heart disease. Plant-based protein sources are more unsaturated, which lowers cholesterol—an established risk factor for heart disease. https://t.co/BE18ITa1PL"
2019,"With a plant-based food court of almost 20 local vendors and about 40 other exhibitors from the region, the first Tulsa #VegFest is an event you won't want to miss!  https://t.co/O8Wf4YVmIR"
2019,Doctors heal themselves and the Planet! Come check it out with samples of vegan and plant-based food alternatives from our own OUhousing and Food services. https://t.co/drNtIkJkGe
2019,"@wethepeople1137 @SBakerMD @jerodmcdaniel And what do you even know about processed food? Again, you don’t know anything about plant based veganism so you ask about processed food? Are you going to fight me for my Fritos? I support &amp; raise  grass fed beef and see it as healthier alternative"
2019,"Today's the day! Come out to the BU taproom and enjoy some beer from @CrossedCannonsB while getting some henna designs from Hokulani Henna and eating some plant-based Mediterranean food from Plato's Provision! It's a big night and we hope you'll share it with us!
🍻 https://t.co/atcLvAabES"
2019,"Our Trail Mix is better than ever with our new granola! No sugar, no oil-just whole food, plant-based goodness great for snacking! https://t.co/PaJm3rsyNQ"
