date,content
2019,"@Dumebibaby You can definitely have a lot of veggies if you’re plant based. You’re really cutting out refined sugars and grains, fast food, packaged foods, and processed meats. I followed @plantbasedvibes for inspo and motivation"
2019,@catorano Actually going all plant-based food and no alcohol. A mental thing to help me do my clean diet again.
2019,"As we finish out 2019 we have adopted a more whole food, plant based eating style. Parker turned up his culinary skills by making these yummy, stuffed mushrooms that were gone in no time. While shopping for new… https://t.co/W1DBJLyhVr"
2019,Is this where we are going with plant based diets?  Seek the wisdom of a nutrition expert aka RDN when you decide to eliminate food groups. Not the darn internet !!! https://t.co/ZcCOgnTRVA
2019,"@herbivore_club I disagree. I think that fast food chains and the like, offering plant based options is a step in the right direction and should be supported. I know several meat eaters who’ve opted for the plant based options and that saves animals and that’s a good thing."
2019,Soulgood awarded a multi year catering contract with Dallas ISD! Plant-based catering is making a move in Dallas. #itsamovement #vegan #food #plantbased #chefcynthia #Soulgood #healthy #kids @Dallas_Observer @DallasInnovates https://t.co/JHbXR0tqAp
2019,"this is ""the carolina."" forget everything you think you know about plant based food and come try this sandwich. 🌿🍺😁 @ The Beer Plant https://t.co/AhK28VQy32"
2019,"#transformationtuesday 

Mediterranean food is a great gateway into transitioning to a Vegan or Plant-Based Omnivore Diet🌱 | It’s never too late to elevate your plate ✊🏽💫 #veganfood #brunchimwithbae #plantbased… https://t.co/SsOMD6dFjV"
2019,"@AlyssaRDN Is it your professional view that people are unhealthy if they choose to only eat whole foods plant based meals with no meat, dairy and eggs?"
2019,"@AlyssaRDN Whaaat? You realize that sounds crazy? You had clients who came to you claiming they consumed nutrient-rich, 100% whole foods plant based meals, and they lost their hair, and had no energy? And not just one client, but “a lot”? Hmmm...."
2019,"@AlyssaRDN You know “a lot” of people who went whole foods plant based and then went back to eating meat, dairy, eggs, and processed foods? Why did they go back?"
2019,"@RealtorWeldon Depends hospital food services company used, produce sourced, organic, conventional. 

At least there’s now a plant based option!"
2019,"In Dallas this week and found some restaurants with vegetarian options! 
Plant Based Foods for the Win!
#vegetarian #plantbased #yummy"
2019,"And in case your #CyberMonday needs #gift ideas:
-sub service to a health app (like Headspace)
-gym or yoga studio membership
-gift certificate to a plant-based🌱food delivery service
-Health books and cookbooks
-Audiobook service sub
-Habit tracking app sub https://t.co/Psgwv3DYz8"
2019,I tried the whopper twice with the plant based (highly processed) burger. It was so so. Then I read somewhere it contains more sodium than the beef patty. Sorbet cream is great though. Love it. Have no experience with vegan cheese yet.The New Vegan Kid likes unprocessed food best https://t.co/L7ONzgCpvV
2019,"Each dish is vegan- creamy spinach &amp; artichoke dip, gluten free plant based brownies and ginger spiced sweet potato pie with and almond flour crust! 

Omg!! Yes to comfort foods! #vidalocahealthfitness #vegan… https://t.co/Ba5eZsYbsO"
2019,Picking up a pizza on the way home. For the kids. Then I need to go back out for a few pie items. Not trekking to Sprouts or whole foods so there won’t be any plant based pie for me tomorrow. But it will have dairy so my fam should enjoy it.
2019,"On Dec. 1, let’s have some fun decorating cookies together with ALL NATURAL plant-based food dyes. Free admission -just bring a donation for Vogel Alcove! Sign up here:… https://t.co/go2qVZSoXq"
2019,"@atheist_bad Some diets are concocted not with the health of the eater but with the economic well-being of food industries in mind. Because plant-based diets have slowed dairy &amp; meat consumption, the industries spawned the Paleo diet. So the books promoting Paleo are disinformation."
2019,"@rad_mattie yeah, red meats &amp; dairy products have the most research behind them, so lots of doctors just recommend whole food plant based diets for people w/ severe health problems!"
2019,"After seeing all these new products and foods advertised...
Before this EVER Happens...
There should NEVER be a plant based CHICKEN FRIED STEAK!!!"
2019,"@VigorGains Caloric restriction mainly. Changed up intake to be more plant based, lots of beans. This helps address any hunger issues. As 30 grams of protein in lentils is a TON of food."
2019,"@robertdos Your statement is valid, but it is not the point. If someone chooses a plant based diet for religious or ethical reasons (or any reason)... more power to them. You have 1 life to live, be happy with your food choices.

My statement is specifically about packing on muscle mass."
2019,"Hey @BurgerKing I'm all about that #impossiblepossible 
Thanks for the plant based fast food option. 
Definitely satisfies my burger fix!"
2019,"Day 4 of eating a plant based diet and amazing things have been happening. We've discovered a whole new set of foods that we normally pass up in the aisles lol.
Our group has lost inches &amp; pounds. More importantly,… https://t.co/L7xY8p5nnT"
2019,Might have to change up my diet now after watching game changers on Netflix 🤔 #PlantBasedFood #ILoveMeatTooMuchTho
2019,"@RanoCeros @KetoDocCLT Ah, basically a study that shows those eating mainly plant based foods like in Okinawa and Sardinia live longer."
2019,"@DanielLaw99 More plant based food mate &amp; way less processed crap, helps many ailments after a few weeks"
2019,Do you want to know where the hottest new #vegan restaurants and innovative #plant-based foods are? Follow @chefcynthiaeats to find out. #restaurant #america #veganfood #chefcynthia #whatveganseat #foodie #news #video #photo #chefcynthia #Soulgood https://t.co/GFBepVk16Q
2019,It’s real. it’s a slow build and it will be more ubiquitous than you ever thought it could. #plantbasedfood #agriculture #FoodForThought https://t.co/omvGikjeEn
2019,I need to go back to a plant based Whole Foods diet and also stop drinking sodas. My skin was so much better and I felt so much better. Someone give me the motivation
2019,Shout out to brother King Taliek ! The black business owner of @soulfoodveganh1 thx for the great service and Healthy Plant Based options in the 3rd Ward.                      🌱🤲🏾🐐👑 @ Soul Food Vegan https://t.co/KQMA8pJwOQ
2019,Is the plant based burger from Burger King any good???? I been eating plant based type food for a hot minute and it’s going very well
2019,"I rarely eat fast food, but heard the new plant-based/vegan I guess Burger King Impossible Whopper is good. It was &amp; tastes, smells, &amp; feels (not that I feel my food lol jk) like a real one. It’s filling, but no… https://t.co/lIGscgXeHf"
2019,"being vegan is hard in my house bc i ate all of my vegetables + bread throughout the week, so now all i have left is fruit &amp; oats,,,,, &amp; i can’t eat my families food bc they aren’t plant based so i’m kinda stuck asdfghjkl"
2019,It makes me strangely happy to see all of these fast food places starting to carry plant based items on their menu
2019,"Headed to @Plantrician Plant Based Nutrition Healthcare Conference in Oakland, CA! Let the learning, networking, and eating lots of vegan food begin! #plantbased #nutritionconference"
2019,"To my new followers I don’t want to mislead you. Lol! I’m NOT vegan. I’m a flexitarian. I label myself more so as an advocate for all good/quality foods, plant-based or not. 🤗"
2019,"Me: I’m plant based 

People: so do you eat fish/sea food?

Me: no 😐........"
2019,I need a chef that’s going to make me only plant based food 😭
2019,"More than 10,000 studies in peer-reviewed medical journals show that a diet based on whole plant foods leads to higher life expectancy and lower rates of #cancer, #heartdisease, Type 2 #diabetes, #Alzheimers and most other chronic ailments. #MensHealth 

https://t.co/FCxBbxOmiV"
2019,"A part time plant based diet never hurt nobody! 
•
•
📍 birdbirdbiscuit 
•
•
#Post #Food #FoodPost #FoodLove #FoodLovers #ATX #HTX #ATXFoodies #HTXFoodies #Biscuit #BirdBirdBiscuits #Breakfast #Sandwich #PlantBased… https://t.co/OTR2x0aJYC"
2019,"@QDaMadVillain I’m talking about REAL vegan/vegetarian food made from scratch bub. Again, plant based meals DO hit."
2019,"I seriously can’t believe I used to talk so badly about eating vegan food, plant based meals are 🔥🔥🔥"
2019,"@blogTO @RonaldJayQ I’m offended that they eat plant based food, plants have feelings too"
2019,"Guys, add plants 🥬 🥗 to your meals. You’ll feel better!

Before being diagnosed w/ #prostatecancer in 2010, I only ate red &amp; processed meats &amp; processed foods. 

I live w/ prostate cancer (9 yrs) so I am 100% whole foods plant-based, but just start by adding 🥬 🍏 to your meals https://t.co/ijdIAF93fp"
2019,If I ever decided to go Vegan I’m not eating plant based meat substitutes. The whole point is to get away from processed food
2019,@ErinMichos Where is starting a Whole Food Plant Based Diet on the algorithm????🤦🏽‍♀️🤷🏽‍♀️🤔
2019,"AGREE

INSIDER: 'I will not endorse that': The CEO of Whole Foods says eating plant-based 'meats' is unhealthy.
https://t.co/OhukpvwiMA

via @GoogleNews"
2019,"KFC is testing meatless chicken wings and nuggets #veganfood
#veganlife
Beyond Meat and KFC have partnered to offer the first fast-food plant-based chicken at one Atlanta location. https://t.co/y5ebUexPuS"
2019,"The fast food industry I would guess has led the research as it relates to fake food, wonder who thought about calling in plant based 🤗 Vegan 👀 I give this stuff 5 years 👀 y’all better listen to y’all bodies and not marketing lingo “plant based” https://t.co/fwPJtE4kSD"
2019,"Pretty good day so far. I hope yours is also going well. 

#SelfCareSaturday #Snacks #NXT #Wrestling #Motorcycle #Kettlebell #Workout #PlantBasedFood #Thor #ComicBooks https://t.co/bcNkmPaitc"
2019,"I threw away/gave my roommates all of the food I had that wasn’t vegan. And I’m so excited to try all these plant based options that have come out, it makes me wish I’d switched over way sooner tbh!!"
2019,"CNBC: Whole Foods CEO on plant-based meat boom: Good for the environment but not for your health.
https://t.co/gzXVQpSKmz

via @GoogleNews"
2019,"This weekend I had the honor of demonstrating how #socialimpact can work right here in Oak Cliff and West Dallas. 

Where bringing healthy organic meatless plant-based food can be served in underserved communities… https://t.co/QUxkiD63pK"
2019,"Why are so many plant based fast food options closed on Saturday's, I just want a burger. 😢"
2019,Plant-based diets are influencing food companies’ innovation strategy and investments according to @PwCUS @Steven_J_Barr via @forbes https://t.co/imZmmiNSMY #plantstrong 🌱
2019,#ValEatsDallas Episode #2: The Hearts of Palm tacos are everything and they are this week’s special! You don’t have to be vegan or vegetarian or heavy into #plantbasedfood to appreciate this amazing dish! BELIEVE… https://t.co/n4m9pwKQCI
2019,"Big thanks to Adrienne and Simone with @SFClocal for joining us today to share with our teams about food access, social justice and why plant-based meals are important. #AISDproud #AISDGameChangers https://t.co/Z570Hg3cM4"
2019,"I literally tried everything!! They even have vegan 🌱dishes for my plant-based eaters!! SWIPE LEFT
.
.
.
.
#SpikedRose🌹#LifestyleByStef #FoodieGram #houstonfoodie #houston #food #instafood #instagood #lunch #fresh… https://t.co/fTsK1zCQd1"
2019,So I’m really interested in this plant based eating. But what do plant based foods or vegan foods taste like? I seen vegan wings &amp; I’m intrigued.
2019,Update: Just picked up this bad boy for lunch and y’all 👀 it is pretty good for a fast food plant based burger. 10/10 https://t.co/9QrRDKgQoK
2019,"Next up at #HEBQuest is All Y’alls Foods. Their mission: to offer more enjoyable, plant-based snack food options. Their jerky is made from whole soybeans &amp; is non-GMO https://t.co/UOPx2qTSQa"
2019,"Went vegan at 16 after researching and realising how shitty the food I was eating was. 

I never stopped eating a vegan diet but I consider myself moreso “plant based” now. My goal is to continue to eat whole foods that nourish me. 

A lighter diet improves my spiritual work. https://t.co/SSJ6iN0TvT"
2019,Is it bad to eat in moderation? 😭I mean I eat healthy foods &amp; plant based foods but I cannot let meat go.
2019,"We’re celebrating the launch into HEB stores with our best GIVEAWAY yet! 🎉 We are giving THREE lucky winners a 12-count variety pack of our insanely good, super satisfying Real Food Bars! 
-
With 15g of plant-based… https://t.co/9Ty3NiwK7n"
2019,"@TheJaredTorres Hi! I want to personally invite you to come visit our business! I’m the business director and event coordinator for El Juice Bar. We’re a mobile food truck. We sale protein shakes, açaí bowls,&amp; freshly squeezed juice blends. We’re also plant based vegan friendly! @eljuicebarsa210"
2019,"@Cassandra_TV @ClarissaSerna @CassieTeaka Hi! I want to personally invite you to come visit our business! I’m the business director and event coordinator for El Juice Bar. We’re a mobile food truck. We sale protein shakes, açaí bowls,&amp; freshly squeezed juice blends. We’re also plant based vegan friendly! @eljuicebarsa210"
2019,"@niuhhhh Hi! I want to personally invite you to come visit our business! I’m the business director and event coordinator for El Juice Bar. We’re a mobile food truck. We sale protein shakes, açaí bowls, &amp; freshly squeezed juice blends.We’re also plant based vegan friendly! @eljuicebarsa210"
