date,content
2019,But I think truly she was genuine in it. And though I still get teased about meat a lot and it bothers me she showed me that my choices are respected and that means the world. The amount of exposure that plant based foods are getting in the media is incredible
2019,"Plant Based Meatballs. 

Walnuts, cooked lentils, ground flax seed, spices, and a little water. Put in a food processor and fried in a skillet. No measuring done.

#plantbased #plantbasedlifestyle #homemade… https://t.co/dQunbxTPtl"
2019,"Just...ugh...
Arby’s makes 'meat-based vegetable' to rival plant-based meat craze https://t.co/LT71v55b57 #FoxBusiness #alternativemeat #food #why #arbys"
2019,"Breakfast time!
@RippleFoods dairy-free plant based milk
@ParkersMaple syrup
Off The Grid blueberry waffles
and incredible edible eggs!

#ripple #breakfast #plantbased #nondairy #eggs #offthegrid #waffles #protein #yum #food #maplesyrup #parkerssyrup https://t.co/Gn8sAKOLcE"
2019,yesterday sal was talking about eating more plant based food but thanksgivings in a month. the time to eat healthier comes after the holidays.
2019,@Amouranth I love this photo showing off you gains! 💪 What I had for lunch today were tacos and used a vegan plant based alternative meat product from the Impossible Foods company as the main protein. It was really good!
2019,"@CarlLippert That is the reason I am cautious about plant based meat substitutes, plus when one looks at the entire picture the carbon footprint isn’t that much difference, cattle consuming bi-products of food processing isn’t ever added into the calculation that I can find"
2019,"@Senortangerino @ForwardMSNFC @HomeSweetSoccer Should have clarified -- I've had the burger &amp; tacos, they're great -- what I (and a lot of vegans) would love is *more* plant-based ""ballpark food"" -- lemme get a vegan corn dog, nachos, slices of pizza 🍕🍕🍕 (cc: @TomatoPies)"
2019,Happy earth day! Try eating more plant based foods it is the easiest thing you can do to lower your carbon foot print!
2018,"Yes do ur best to be plant-based but remember not all cultures are entirely plant-based, or have plant-based substitutions for food. Remember that people struggle with accessibility to plant based food. Remember the cost/time of being more plant based."
2018,.@CarcassBand we've got some plant-based food for you at Darkness Day. Come see us. (Insert carcass emoji here).
2018,"Sign up for Daily Harvest using my code and get three free cups. Fast, easy, plant-based foods — I'm obsessed! https://t.co/150DAsUt51"
2018,Shared  the top discoveries of our whole food plant-based no oil adventure when my husband and I… https://t.co/Rr545Vh3BP
2018,Shared  the top discoveries of our whole food plant-based no oil adventure when my husband and I… https://t.co/ZhrotGclea
2018,Midwest Vegan Fest is proud to announce another amazing plant-based culinary artist to the food… https://t.co/NlNnRromBL
2018,We need to stop sugar-coating the true causes of these food-related issues. A plant-based diet… https://t.co/A7YrFcDK65
2018,"Beerline Café is one of our favorite places for Vegetarian and Vegan foods! If it's plant based,… https://t.co/uGApyCv3nW"
2018,“Let food be thy medicine...” -Hippocrates. Becoming plant-based eaters has been very good for… https://t.co/CCou4fBnWE
2018,"Since shifting to a whole food plant-based no oil eating lifestyle last summer, my husband and I… https://t.co/1c7HAtFpzp"
