date,content
2021,"@StephanieBauwe @FunkyFoodArt Aren't those amazing, Stephanie? I don't know all the ingredients she used, except that they are mostly plant based foods (although I think cake was used for one of the creations)"
2021,@SportsFanGirl22 😂😂😂 funny fact I get actual plants and make my food from it. Most I grow myself. And others I always test to make sure it’s actual Organic if it’s bought from a store. His plant based soy toxins can go to Hell-0
2021,Ate healthy for a couple days and I can feel a difference from the increased fibre/fiber intake #plantbasedfood #eatlessjunk
2021,"Chef Maria Parra Cano of Sana Sana Foods shows Deborah Sedillo Dugan or #PHXTV how to make a plant based Green Chile Pozole with Jackfruit! #Vegan #vegetarian 

https://t.co/wvjoppVlob"
2021,Plant-Based Crumble by Alpha Foods https://t.co/QoHEzr9M5t
2021,"Expert say don’t eat processed foods, only eat plant based or minimally processed food. But isn’t a plant based burger 🍔 the epitome of processed food 😳 https://t.co/LVwcacJ1En"
2021,"Another day, another masterful whole-foods plant-based culinary creation by Elizabeth 🌱😋 @ NOVEL Midtown Phoenix https://t.co/anMxzKYoys"
2021,"Healthy whole-foods plant-based oatmeal and black coffee to start the day, compliments of my wonderful wife, Elizabeth ❤️ @ NOVEL Midtown Phoenix https://t.co/F2ZkWq99Sx"
2021,"@luckykittah Totally get that, I rely on plant based, beans, &amp; eggs. I do eat fish though, so that can give me a decent boost too. There are some decent 'convenience food' options that only require a bit of fussing to make them yummy, but it takes time to find what you like."
2021,"Another mouthwatering, disease-fighting, whole-foods plant-based dinner, compliments of Elizabeth. @ NOVEL Midtown Phoenix https://t.co/t5q6jM4du7"
2021,"Tasty and healthy whole-foods plant-based burrito bowl with quinoa, local salsa, diced red onions, black beans, yellow corn, mixed greens, and fresh avocado, compliments of Elizabeth 😋🌱 @ NOVEL Midtown Phoenix https://t.co/oaSLq4GxR2"
2021,"tf“Recipe Wednesday: Let’s Create!” with @LiveLynnette and Plant-based Food   FeWellness. Wednesday, Aug 4 at 9:00 AM MST in @clubhouse! https://t.co/4kl3JIWrfX CD e seey gvx"
2021,#independenceday open at 4:00PM in case you need last minute appetizers like our #homemade potstickers (choice of @impossible_foods plant based or pork) order 📞4809667660 delivery @postmates @doordash @ubereats #asu #downtowntempe #localfirstaz #supportsmallbusiness https://t.co/bbwCGptJ5v
2021,"Mouthwatering and massive vegan and whole-foods-plant-based poke bowl Elizabeth made from scratch for me yesterday! It was so, so good! @ NOVEL Midtown Phoenix https://t.co/Zgc8f4pjod"
2021,For the next 30 days starting tomorrow I'm going to try plant-based foods and just strictly water see how my body reacts to it I don't think I'll be that hard because of the mindset of doing it and not worrying about anything else😁😁😁
2021,"@KeyThreeOne3 @autietoons Stack ‘em up! 

Two of my base habits are making my bed (something I couldn’t conquer as a child) &amp; putting lotion on my elbows. 

Small but they hold up the Tetris of my life - hydration, exercise, whole, plant-based foods, crying, networking, comedy, prayer &amp; meditation, etc."
2021,"Inferno meal from basic, to organic and plant-based we can handle all of your meal prep needs. PVC/Macros/calories #mealprep #food #az #fitlife #inferno #teaminferno #results #azmealprep #foodie #fitness @ Arizona https://t.co/lEeFQNtxJC"
2021,Is it that some foods can be vegan but not plant-based?
2021,"WFPB (Whole Food Plant Based) diet doesn’t include any meat, poultry, fish, dairy, or eggs. But IT'S NOT the same as a vegan diet, which is defined only by what it eliminates. WFPB diet is defined also by what it emphasizes: a large variety of whole foods."
2021,@muhhlissa_ @mulburies @prettyliltyanna @ShesAltard Some vegans will eat a bunch of processed and junk food because it’s more about the animals and less about health.. where has someone to eat plant-based is more focused on health
2021,"@muhhlissa_ @mulburies @prettyliltyanna @ShesAltard No plant based is more of a whole food plant based diet. For example oats, veggies, fruit, beans, etc... Oreos are vegan.. but not not plant based if that makes sense?"
2021,"@NotHoodlum He's eating plant based organic food in jai. Beans, I would guess."
2021,I honestly only use Pinterest for tattoos and piercings and plant based foods. They need having good finds on there.
2021,Another workout complete! Now a matcha latte and plant based food for the rest of the day. My 2022 body is coming in! 🔥🔥
2021,"I feel so much happier since I started eating intuitively ✨ Our bodies and mental state are always shifting. There are times where we need certain foods to nourish us. However, I am still mostly plant based."
2021,"fresh, homemade potstickers ready for dinner! can be ordered regular or plant based courtesy of @impossible_foods order 📞4809667660 delivery @postmates @doordash @ubereats #asu #downtowntempe #localfirstaz #smallbusinesssaturday #dumplings #bestofaz https://t.co/DfFhY1lBHe"
2020,"Fitness; every-day natural movement  activities ie; gardening;  eat  home-grown plant-based food, stop before full; part of a close-knit, supportive community take part in stress-relieving rituals such as prayer and siesta drink moderate amounts of wine /friends &amp; @ meal times."
2020,"Pizza Hut is now offering a plant-based meat option for their sausage, so I'm excited to try it!

Or is the truth that I just want pizza instead of all the food that's in my fridge...? 🤔"
2020,"The 5 Best Plant-Based Foods to Eat for Anxiety, Says a Harvard Psychiatrist https://t.co/qntMWZNfbU @thebeetofficial @drsebiscellfood @EatThisNotThat. @WholeFoods @KTWinATL. @bwdn2008 @Weedkillscancer #MentalHealthCareIsEssential @FoodNetwork @CASonyVA"
2020,"New #farmtotable #scratchmade dishes added to our Brewery's everyday food menu!
💫Earth Bowl—plant-based seasonal AZ produce
💫Fajita Quesadilla—grilled chicken, veggies, &amp; chipotle mayo drizzle
💫Fingers &amp; Fries—delicious inner-child fare
💫Campfire Cookie—skillet smores cookie! https://t.co/VAlmNyTIPY"
2020,@tomburka This is because of the organic food industry which has demonized the word chemical for there own profit. It’s “organic plant based Tear gas”
2020,being a vegetarian with an anxiety disorder be like “mmm yummy plant based burger! ...... a little TOO realistic... “ &amp; then you overthink &amp; never finish your food :-)
2020,Trying out new @impossible_foods plant based dishes 1) Kung Pao and 2) chow mein what do you think #downtowntempe ? #thegreatamericantakeout #aztakeoutweek #asu #localfirstaz #foodspiration 📞4809667660 https://t.co/sCpgKBO14z
2020,having a house that’s 80% vegan food is great bc nobody is panic buying oat milk and plant based meat (‘:
2020,plant based milk doesn’t need to be refrigerated until you open it....food for thought https://t.co/jVwuBH46TU
2020,"@Badflower Works for us. I owe my daughter a meet and greet with you, and I’m already plant based. She’s  not, but eats the food I cook. Throw down? 😉"
2020,"Senator @HeatherCarterAZ spent all morning talking to students at the Barry Goldwater High School about her passion for policy, and since they are in Culinary Arts, she shared her personal story about her whole food plant based no oil diet!

The students loved it!🥦🍎🥕🥑🥒 

#AZ https://t.co/11CIfLrwjj"
