date,content
2021,@elonmusk Funding for education in healthy food choices and gardening would be beneficial as well . Teaching how eating plant based could eradicate diseases Im the future.
2021,"CEO’s of SPOT, OGGFF, COIN and ENTEF Riding Trillion Dollar Millennial Lifestyle Trends in: Crypto, Digital Entertainment, Plant-Based Foods $COIN https://t.co/ztDxWNn7Q5"
2021,"@raymcgovern @freedomrideblog Be well Ray. And keep on a whole foods plant based diet so we can keep you around and cogent for decades longer! See Physicians Committee for Responsible Medicine web site at:
https://t.co/dODAWEL5hx"
2021,"Thank you Little Pine! Incredible burger, fennel flatbread, broccolini and fries. Of course all plant based.  #AnimalRights #AnimalsAreFamily #vegan #plantbasedfood https://t.co/suWaqRppKj"
2021,"They’re working overtime to normalize their plant-based, soylent green foods.
For once, I’m glad I’m old. I’m not doing it!"
2021,Our very own Co-Founder Chris Glab is featured in this recent article in the North Bay Business Journal discussing the explosion of the plant-based food market. https://t.co/ee06c00tzG #plantbasedfoods #foodindustry #media
2021,"Excited to release a new podcast episode with Jenny Goldfarb aka Mrs. Goldfarb, Founder of Unreal Deli.  Jenny Goldfarb Mrs. Goldfarb's Unreal Deli

Jenny and I discuss how she created and scaled a plant based food company with no…https://t.co/aVjNaBLQz3 https://t.co/rJOif57fBe"
2021,$EWG Eat Well Group to Acquire Majority Stake in Plant-Based Baby Food Company https://t.co/aMOZpMJfOE
2021,"In the last few years, two California companies have dominated the headlines about alt-proteins.

Los Angeles-based Beyond Meat launched its plant-based meats in 2012; San Francisco’s Impossible Foods burger followed in 2016.

https://t.co/OCNWZMkh87 https://t.co/FMKT5RXvSB"
2021,"These chewy oat bars are flourless and plant-based, and would be perfect for a day like this. Happy #NationalChocolateDay. Check out these banana chocolate oat bars and discover the healthy substitutions in this recipe from our Food For Health blog. https://t.co/bWk4Ud5YfN https://t.co/axoX53gffz"
2021,"@JohnTillinghast @wil_da_beast630 …fad diets are not effective in the long term.  The only tried &amp; true diet that works is primarily a plant based whole food diet - but political &amp; economic reasons keep it from being adopted.

Obesity should be looked at like smoking - not looked at as laziness but as addiction."
2021,"We generally have plant-based menus and impossible meat tacos for lunch on campus, but today there's this: ""DONUT CHIPOTLE CHICKEN SANDWICH: glazed donut, fried chicken, jalapeño, bacon, fried egg, chipotle sauce.""

Ah, the extremes of California hipster food..."
2021,Future Food 🎙️: Soylent CEO on shift towards middle America &amp; the future of plant-based https://t.co/LEjgotmMbh
2021,Eat Well Group to Acquire Majority Stake in Plant-Based Baby Food Company https://t.co/5e551uWQsM
2021,ELLA’S FLATS – Plant Based Whole Food in a Convenient package https://t.co/9PLmmuuyZy
2021,"@kyrakaz Yes! Way too many people are asleep on SJ’s food scene. It has awesome options, including some of the best vegan restaurants/options, imho. (I’m not vegan, but I like to eat plant-based meals a lot, so they’re my favorite finds.)"
2021,"アメブロを投稿しました。
『伝統・自然療法の枠を超えてお伝えしたい！Plant-based Food Diet』
#アメブロ #ロサンゼルス
 https://t.co/25T0bN0cFh"
2021,"Shiru Closes $17M Series A to Develop Novel Plant-Based Food Ingredients
https://t.co/u1RzouYGjr
Biotech startup's patent-pending discovery platform combines ML and biofermentation to produce plant-based alternatives to eggs, meat, dairy, and gelatin--using a fraction of the land"
2021,"Shiru Closes $17M Series A to Develop Novel Plant-Based Food Ingredients
https://t.co/WxeYqfbMBV
Biotech startup's patent-pending discovery platform combines ML and biofermentation to produce plant-based alternatives to eggs, meat, dairy, and gelatin--using a fraction of the land"
2021,If you haven’t tried @DaringFoods you are missing out! I’m pumped to be part of the journey with @DaringFoods  #plantbasedfood #plantbasedchicken https://t.co/7F3aezFCGQ
