date,content
2021,"Healthy Nutella? Plant-based ice cream?

Better-for-you snax are 🔥 right now, but is it a fad or a longterm trend?!

Tomorrow @ 2pm ET, join me @mrsharma, @KatColeATL, @Cflexman of @Stardayfoods and @AylonSteinhart of @eclipse_foods for an open chat!

👉 https://t.co/EZyZP1D8sS https://t.co/f3MB8sbJ1w"
2021,@DietHeartNews @Taxpayers1234 High estrogen foods definitely is not healthy. Our bodies are made to process meat protein and does so very efficiently compared to plant based. Can’t wait to see how they make a plant based steak cooked medium rare so I can laugh.
2021,"@blenster Yeah I try not to use meat substitutes either, they may be plant based but they’re still like super processed foods. I like to rely on herbs and spices to do the heavy lifting 😋"
2021,Are you plant-based curious? Check out our December 9 cooking demo with recipes and generous food tastings of at least four scratch-made dishes. The cost is only $10.  Space is limited; register today to make sure you get a spot in the class. https://t.co/KxDXjXdg9R #Greeley https://t.co/F8tZtjqJeb
2021,Boulder plant-based protein startup readies to reach plates nationwide | #Boulder #Colorado #RestaurantNews #food #business https://t.co/TKI1rx0w2h
2021,How to Diversify Your Brand by Adapting Plant-Based Food Trends https://t.co/Dqhpwh7Emt https://t.co/NrlmcsSv96
2021,15 Soothing Ginger-y Plant-Based Recipes https://t.co/jifzR6ZJNg from Food Editorial Team #vegan #veganrecipe #recipe https://t.co/oJCrzQdZya
2021,"@CassyWearsHeels I don't know about your situation, but I have heard some who suffer as you have their hormones and eating habits out of whack. You don't need to reply, just a concerned fellow conservative wanting to help out. My wife and I began a whole-food, plant-based diet. FYI"
2021,Daring Foods Partners with Restaurants to Help Add Plant-Based Options to Their Menus https://t.co/agLiKI1San from Abigail Jane #vegan #veganrecipe #recipe https://t.co/RbQTpyvXHo
2021,"Jeez, is this worth the time, effort, cash? C'mon #savecasabonita, it's owned by Scottsdale based company &amp; The Source is a now awesome former smelting plant! South Park has done wonders for Casa Bonita's recognition, maybe they can make their food edible!
https://t.co/tK9Mrru1od"
2021,"literally that’s why I changed my plant based food IG handle from krueltyfreekat to my current Twitter handle - I listened, researched, reflected and realized I was promoting a inaccurate idealize version of veganism"
2021,"Festival foods are my favorite ❤️ This was a peach panini! The palisade peaches this year are so freaking yummy 😋

Went to the plant based living festival to get some yummy vegan treats and veggies for dinner! https://t.co/F0WLh3PgIg"
2021,@markgrimes I’ve been vegan + plant based 8 years. Plant based is healthy! Vegan can include delicious vegan junk food. All of this was my Covid 60 ;)
2021,"All my food is plant based. That’s right all my food EATS plants, cows are plant based right? https://t.co/l1TjEh6q8f"
2021,Happy 81 to my whole food plant based mom for 50 years and not suffering from protein deficiency- and knows how to use a cell phone pretty good. The more plants the better. 🥦 https://t.co/jVUyw9IQIw
2021,@DrAlanDesmond @Plant_proof @RealisticView33 Here is my mom. Happy Birthday 81 years old. Whole food plant based - 50 + years. Not protein deficient 🍎 https://t.co/GRKtrElZ5l
2021,It’s amazing how committed to “the look” people are. It’s 90 degrees. Yet I’ve seen two people wearing wool beanies. We get it. You eat plant based food and ride your bike everywhere. But you’re also really impractical. https://t.co/3p8hUfnuqm
2021,"What you eat affects your health and the health of our planet.

With 1/3 of greenouse gasses generated from food production and distribution, eating a plant-based diet and locally-grown foods can make a positive impact. 

#plantbaseddiet
#climatechange

https://t.co/tp0uErXR88"
2021,"Free plant based burgers !!!
Orange food truck. 

1485 E 61st Ave
Denver, CO  80216
United States"
2021,@maryellen61201 I know the Type A’s tend toward a plant-based diet but that includes more than one food group. Maybe she observed a stricter protocol due to her health history?
2021,Can you really be a good athlete while only eating plant-based food? We will talk with @RobertCheeke about it at 6:54 AM on @KOAColorado
2021,"@DanielHayes31 @incogmeato Exactly. Really, really bad and they add it to all the ""healthy"" plant-based foods they are trying to convince people are better for them 🙄
Beef burger ingredients: beef. 
Plant-based burgers: dozens of ingredients.
Why? I just buy grass-fed, organic meat."
2021,"bro I cannot w some vegans lately lol I do not claim that title anymore I cannot be associated with someone who compares eating meat to being a slave owner. I eat vegan food but I will no longer claim to call myself vegan, I’m sticking to plant based cause some of y’all are nuts https://t.co/9gWfPlAuPF"
2021,❤️ Plant based cheese! We have the most delicious cheese at our shop @peacefulrebel2017 @ Azteca Gourmet Foods https://t.co/dOVtm3iOSe
2021,@JinDenver Why do you hate plant based foods?
2021,@RepBoebert You also realize that farmers in Colorado also grow vegetables and other ingredients that go into plant- based foods.
2021,"@lessantman Anyway, I think that Bittman especially and Klein are basically good people. Unfortunately, they are deluded by the ""green"" if you will notion that a plant-based/plant-only food world is somehow optimal."
2021,Easy way to package up your grains and beans. Spread them out on a Silpat mat. Freeze. Use the mat as a funnel to pour your frozen whole food into a standup reusable bag. #vegan #plantbasedfood #grainsaregood https://t.co/gW2I2q4Kep
2021,"Korean vegan lettuce wraps with a yummy tossed salad of purple brussel sprouts, watermelon radish, kohlrabi, and a new bitter spring mix from Native Hill Farms. #eatlocalgrown #plantbasedfood @ Fort Collins, Colorado https://t.co/zWU981Oz73"
2021,"https://t.co/SDZkgg2fDv. Beautiful. On to marketing.#FoodELEVATED  #vegancolorado  #plantbasedfood #plantbasedlifestyle #EatwellCO #NoCoIsTheBest @ Fort Collins, Colorado https://t.co/6zFz9Dg0LC"
2021,"This picture turned out well. Carry potatoes with dark dal, What did spinach in a coconut sauce. Served over mashed sweet potatoes with ginger garlic and coconut paste. #plantbasedfood #beans #Vegan https://t.co/xpLW10tp0M"
2021,"Potatoes, dark dal, wilted spinach and lots of spices. A bit of coconut milk to balance things out. Served over mashed sweet potato with coconut ginger garlic paste. #vegancolorado  #vegan #plantbasedfood https://t.co/AyYjLRQAfL"
2021,"Mediterranean salad. Double peeled fava beans, lentils, carrots, peas, spices, herbs and more. #plantbasedfood  #veganColorado #vegancookingclass @ Fort Collins, Colorado https://t.co/fuFZpe9VVf"
2021,"Glossy peas, bean, asparagus, and cinnamon cap mushrooms. What I taught in Veg Around the World yesterday.  #vegancookingclass #vegancolorado #plantbasedfood @ Fort Collins, Colorado https://t.co/tutHt3DAIX"
2021,"Grilled Italian shiitake piadina with spinach and Mushroom bechamel. #plantbasedfood @ Fort Collins, Colorado https://t.co/IqnK8tLa5t"
2021,"Grilled Italian shiitake mushrooms for my piadina. #plantbasedfood @ Fort Collins, Colorado https://t.co/IyD5Z6ULFh"
2021,"Coming soon to a bookstore near you. #plantbasedfood #NoCo #eatingwell #cookbook #ColoradoEats #eatfresh #cookseasonal @ Fort Collins, Colorado https://t.co/uaP06Ty0xp"
2021,"Texas ruby red grapefruit. Soooo good and juicy.#plantbasedfood  #grapefruit @ Fort Collins, Colorado https://t.co/R8j8sOzvZ9"
2021,"I love this time of year when we get fresh Texas Ruby Red grapefruit. Do you know how to section a grapefruit? #plantbasedfood @ Fort Collins, Colorado https://t.co/thmhcMy3Gl"
2021,"New technique for a puree and mash. Can't wait to share at my class next Saturday. And lends itself to many cuisines. #plantbasedfood #cookingclass https://t.co/wbcvZwLxLf @ Fort Collins, Colorado https://t.co/21mbREtgsK"
2021,"Yummy sticky gooey spicy, pulled trumpet mushroom funghanitas for street tacos. #plantbasedfood @ Fort Collins, Colorado https://t.co/vv1vuVbb1p"
2021,"King trumpet spicy street tacos. #plantbasedfood @ Fort Collins, Colorado https://t.co/rPbkcaojqk"
2021,"Italian asparagus pea mushroom medley over sweet potato orzo. #plantbasedfood. Black garlic from #oldtownspiceshop  #hazeldellmushrooms #pappardellepasta @ Fort Collins, Colorado https://t.co/bkKv5IVep9"
2021,"Pumpkin tomato sage gnocchi.#plantbasedfood @ Fort Collins, Colorado https://t.co/CSOcWdGYik"
2021,"Sweet kale salad mix bean saffron soup. Microwave caramelized onions. A touch of mushroom broth and tomato powder. The world needs the warmth of #saffron. #plantbasedfood @ Fort Collins, Colorado https://t.co/duqug6A9v6"
2021,"Portuguese #staycation with a traditional arroz e tomate. Simplu elegant. #plantbasedfood @ Fort Collins, Colorado https://t.co/mybmQuFZnr"
2021,"Pumpkin bean soup, mushroom broth, smoked bittersweet paprika. #plantbasedfood Portuguesestaycation @ Fort Collins, Colorado https://t.co/JxRnUmTAlS"
2021,Thinking about going whole food or plant-based with your diet? 🥕 Learn 8 ways to get started here: https://t.co/psqY7eAS6J @ Jazzercise Ft Collins https://t.co/liBOUaAErL
2021,"Aquafaba meringue. #plantbasedfood @ Fort Collins, Colorado https://t.co/tLriqHFpCv"
2021,"Portuguese bolo do caco. #plantbasedfood @ Fort Collins, Colorado https://t.co/I64oBsRRED"
2021,"Vegan caldo verde and bolo do caco. #plantbasedfood @ Fort Collins, Colorado https://t.co/FRVXJsTd8i"
2021,"Piri piri Sweet Earth chicken with paprika aoili and spinach. #plantbasedfood @ Fort Collins, Colorado https://t.co/mjf1QR5QqC"
2021,"Piri piri Sweet Earth chicken with paprika aoili. Spinach not shown. #plantbasedfood @ Fort Collins, Colorado https://t.co/3XNuSVSEMj"
2021,"Happy hour with Shak Shouka broccoli mutabal, Healthy Harvest olives, The Olive Tree Market fava beans, my giardineiri and hubby's sourdough. #plantbasedfood #eatlocalgrown #veganuary @ Fort Collins, Colorado https://t.co/lYgt63VJry"
