date,content
2021,"Plant Based Lifestyle Diet Vegan Health Eat More Plants Zip Hoodie Plant Base... https://t.co/A9tsRhGPgX via 
@amazon
 prime eligible - in EIGHT colors #amazon #amazonseller #amazonproduct #plantbasedfood #vegan #healthylifestyle #health #diet #hoodie #fashion #beachpausedesigns"
2021,"@agvBruceAdams There is human being in most plant based meat, just like all. Fast food burgers. 🤮"
2021,"I stopped running, changed my workouts, embraced whole foods, plant-based. Stopped protein powder! My muscles are inflating, crazy progress.  I've taken chances &amp; made changes to comply with research, that's my method. I did so much damage to myself, I'm shocked.  #wfpb #veganfit https://t.co/XuGCMeRYS5"
2021,"@zabmo @KatieKat13x Oh I know the difference haha! And she doesn’t eat Whole Foods only. She’s plant based bc she care about animals and the environment, but I’m trying to get the idea through that leaving animals off your plate but still in your makeup, clothes, etc defeats the purpose"
2021,"@EtienneCote4 @theworstkirst @SwampCommunist @meowsinsadness I’m vegan because I don’t want animals killed and abused. 

I’m whole food plant based to be superior to you."
2021,"Donut call SEED Food &amp; Wine a regular-degular food festival! 🍩 Dig into a day-long smorgasbord of incredible plant-based food, drink, speakers, demos, wellness, shopping, and much, much more!

🔗 Link in Bio⁠ or https://t.co/mw9AIBs0tF
#SeedFW #SeedFW21⁠
⁠ https://t.co/YQZhopGz8Y"
2021,"Trading at a market value of only $195 MM, this stock is speculative, but it has a number of characteristics that could be framed as conservative
#Global #BabyFood #Foods #Consumer Spending #PlantBasedFood #HealthFood #MoneyShow #InvestSmarter
https://t.co/V3CYtLQVlc"
2021,"Plant Based Lifestyle Diet Vegan Health Eat More Plants Tote Bag Plant Based ... https://t.co/nlaxmURDlG via 
@amazon

 prime eligible #amazon #amazonseller #amazonproduct #plantbasedfood #healthylifestyle #health #veganfood #vegan #totebag #sustainableLiving  #beachpausedesigns"
2021,This was 🔥🔥 a win for the #Vegan community. #thai 🔥🔥 #plantbasedfood #glutenfree #healthyfoods https://t.co/c0J9xsBggh
2021,"We have added a Whole Food Plant Based Menu to our offerings due to increased demand from our customers. We are happy to be able to offer quality menu items, all made in house from scratch. Appetizers, BaKon BLT's, Non-dairy cheeses, Beet Burgers, Eggplant PaRM-Esan and more! https://t.co/WZo1J3TM4r"
2021,"Plant Based Lifestyle Diet Vegan Health Eat More Plants Tote Bag Plant Based ... https://t.co/nlaxmURDlG via 
@amazon
 prime eligible #amazon #amazonseller #amazonproduct #plantbasedfood #healthylifestyle #veganfood #vegan #health #totebag #sustainableLiving  #beachpausedesigns"
2021,"Breaking: The animal activist lobby wants to force everybody to go vegan. ""Animal rights activists scaled the Defra and Home Office building in London today as they demanded 'government support for a plant-based food system' at Cop26.""
https://t.co/mPdkNSGUGp"
2021,When #October it’s almost gone… you need to refill for November. Here are your best allies 🍫💕😌 #JUSTANNOUNCED #UnitedNationsDay #BreastCancerAwarenessMonth #halloween2021 #Chocolate #Food #Vegan #PlayToEarn #plantbasedfood #ARIAsTaylorSwift #doge #cbdedibles #ad #plantbased https://t.co/yAHe6PazJc
2021,"One of the best things of @iiiPoints this year besides their music line up, was their food selections. Almost every single vendor had a plant based option. We planned our Saturday meals here with delight."
2021,"@glovrba @suxelamai Whole Food Plant Based consistently ranks highest in almost every category, including cost/access and overall health. But because it’s not as easy as microwaving a burrito, it loses points in “ease.” 

So it gets ranked on the same level as keto and SAD."
2021,"@Unabogie @sunnysongbird @navin391 @AngryBlackLady Doesn’t matter. More people go plant based, farm workers have more food to pick. It’s cause and effect. Your way of life does just as much harm as someone who eats meat."
2021,@Unabogie @sunnysongbird @navin391 @AngryBlackLady Hey just so you know the welfare of actual PEOPLE is hurt when you eat an all plant based diet. The people who pick your food suffer just as much as the animals you care so much about.
2021,"@ErikaU0525 @TiMoudou Eat colorful food, reds and greens, yellow, blue. Eat some meat but mostly plant based"
2021,"I hate eating plant based foods, yes they are very good for you &amp; tasty but you’re body wants some actual nutrition you can’t get from plants"
2021,"@GF11160030 Yeah my husband and I both lost our jobs at the start of the pandemic, and mine won’t start up again until the pandemic is over. 

Whole food plant based is the healthiest diet, and the cheapest!"
2021,"@GF11160030 No more than any other diet. We’re whole food plant based, which is just one kind of vegan diet. I know other vegans that get the more complete and prepared foods (usually frozen or packaged) which is a lot easier. 

We’re financially struggling so we do whole food plant based."
2021,Prince Khaled To Discuss Sustainable Food Systems At Major Pre-Summit Event - Plant Based News https://t.co/KCvXk96nmp
2021,"For food, the change is still the same: plant based diet, healthy, delicious, ethical and (depending) affordable. That one is less of an issue. Vegan tasty recipes here, share your own too. 
4/
https://t.co/RKcakME7QY"
2021,The First Country Giving a Boost to Plant-Based Food. https://t.co/igyYw3YVpa
