date,content
2021,"#Impossible #Foods, a Redwood City, Calif.-based plant-based meat alternative company, is in talks to raise $500 million in funding, which would value the company at $7 billion, per Bloomberg. #consumer"
2021,"Trending plant proteins.
#plantbased #foodtrends #trends #plantbasedfood #plantprotein #plantbasedprotein #protein #foodnews #foodbusiness #foodindustry #foodindustrynews Food Business News  https://t.co/z4jkmVMv8d"
2021,No it wouldn’t. This is dumb. Cows get slaughtered so I can have food. That’s part of life. Stop this shit. This genuinely pisses me off. Next they’re going to say the baseball shouldn’t have leather and they should use plant based leather or some shit https://t.co/ofNfirJixf
2021,@BobbyKingDeal I know she being funny but the fact she got it from dunkin is the reason it’s gross. Being plant based is way different than chasing down fast food meat substitutes
2021,"Recipe packed article on how to make authentic African food and stay plant based. Take a read. #food #Africa #plantbased #recipe 

https://t.co/5YywDe7yzV"
2021,"Do you take fish oil pills? Most studies have shown that taking fish oil does not help against preventing diseases; stroke, heart disease, or any other diseases. So it's better to eat a plant-based whole food diet that prevents many diseases &amp; protects the earth, animals, &amp; you. https://t.co/yKI26aYs0s"
2021,Trying to decided if I wanna go plant based or just stay with my regular foods.
2021,"Tattooed Chef Inc., a maker of plant-based foods, has entered into an agreement to acquire Belmont Confections Inc., a private label co-manufacturer of nutrition bars, for approximately $18 million in cash and stock.

https://t.co/E2L1nctv4H"
2021,My uncle gave us a talk about get on a plant-based diet or else we are done for the way my mum rushed us to Whole Foods today.
2021,"Say what you want about Burger King, but their partnership with Impossible Foods is really setting a precedent by making plant based options more convenient for consumers. First the launch of the Impossible Whopper and now the plant based chicken nuggets 👏🏾"
2021,its so wild knowing people think of me as big and bad based on how i tweet when in reality i'm a plant mom that has trouble with public speaking. how do you beef with someone that can't order food for themselves.
2021,"#NFL Game Day PACK 

#viberzone #alklane #nutrition #plantbasedfood #smoothies #seamoss #nfl #sundayvibes #energy #natural #vegan #sportsdrink https://t.co/zPQNzCFSEb"
2021,"A vegetarian diet is rich in antioxidants and vitamins and provides some of the most essential nutrients we need. Plant-based foods can also significantly lower body mass index, which also promotes a healthy heart. Add some color to your diet! https://t.co/Sc3qNgbeUn"
2021,"you have options with your food choices - I promise. 

Whether cooking yourself, scarfing McDonald’s, being plant based or even pulling up on @upbeet  - optionality exists. 

Choose wisely, as there is a consequence to all action 🙃"
2021,@FormerlyCBM I think you’d be surprised. I was firmly in the same camp as you but have come around on plant based food/ diets. Undeniably much more healthy for you and really delicious. Although now it’s not just Americans that have a huge taste for meat/dairy China/India does too.
2021,for the people that eat fried and processed vegan food all the time and complain about others not having a plant based diet . you do know you’re being counterproductive doing that ? 😂
